,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
2890,1,"[3981, 1894, 1890, 198, 311, 266, 2589, 1892, 3416, 3451, 1900, 851, 3492, 2910, 993, 852, 3843, 1144, 1125, 1482, 2130, 758, 3284, 2669, 143, 1345, 3210, 1903, 1326, 384]",10.163543676505398,8,False
2520,1,"[508, 1793, 1346, 685, 683, 198, 1892, 3608, 3843, 180, 1125, 386, 2776, 688, 3223, 3451, 1890, 1900, 1479, 290, 2589, 475, 266, 143, 1894, 1326, 3289, 1129, 3171, 1657]",11.263172680053255,9,False
1642,1,"[3843, 198, 1890, 2910, 1894, 2589, 1892, 2776, 851, 3981, 993, 1900, 2130, 2669, 1345, 1144, 1903, 1657, 3492, 1353, 311, 3608, 3451, 758, 3416, 1125, 852, 2225, 1668, 1129]",9.952018830119567,13,False
427,1,"[1353, 4049, 2335, 1657, 3787, 179, 2190, 2225, 2776, 2033, 2331, 2221, 180, 257, 191, 30, 3843, 1371, 3844, 2910, 1890, 1894, 2669, 1668, 3981, 2130, 1345, 198, 255, 2589]",11.718916165182266,19,False
123,1,"[714, 637, 3398, 2420, 565, 4120, 606, 2229, 3921, 2392, 20, 640, 2481, 3205, 3371, 706, 529, 460, 518, 636, 618, 711, 299, 324, 328, 2452, 516, 3342, 703, 2149]",9.084117261355686,6,False
1681,1,"[3897, 456, 3789, 3286, 2266, 4135, 1500, 1951, 3062, 1381, 2953, 3791, 657, 2923, 2600, 3127, 2034, 2432, 3294, 1492, 416, 3243, 2853, 557, 2848, 426, 4136, 4095, 1160, 2941]",12.08927640363887,11,True
3160,1,"[715, 3179, 241, 125, 1063, 1533, 2342, 2551, 423, 2456, 2198, 894, 3945, 1218, 1064, 242, 904, 3802, 235, 243, 2312, 2453, 900, 1995, 295, 248, 2041, 4024, 1219, 3196]",6.236115784880217,7,True
1018,1,"[2795, 2798, 3501, 2913, 2033, 1396, 997, 3685, 1005, 2991, 996, 3581, 1927, 254, 1942, 1931, 3126, 2611, 1926, 3787, 4049, 1345, 1371, 2335, 1668, 1364, 2793, 2592, 1948, 1730]",10.574026363592761,8,False
2929,1,"[3687, 1691, 4082, 1342, 1678, 1919, 2405, 3048, 3368, 2915, 2926, 3915, 3666, 2992, 1649, 551, 574, 3369, 1658, 4132, 598, 1797, 510, 3305, 2962, 2407, 2425, 3563, 2397, 1787]",10.981146406803756,11,True
2373,1,"[3199, 2219, 671, 202, 3200, 422, 3489, 3177, 2189, 625, 2383, 2386, 2492, 2056, 639, 2, 10, 3809, 3273, 791, 2286, 2300, 563, 59, 210, 2350, 4168, 221, 105, 972]",11.05202471624798,12,True
2304,1,"[2592, 3498, 857, 3210, 2130, 27, 1668, 3981, 311, 993, 1144, 2991, 179, 1926, 2910, 1894, 1482, 1167, 1353, 1345, 84, 2589, 2335, 3772, 852, 3263, 2798, 4049, 1890, 1652]",10.709138257480944,11,True
80,1,"[1330, 2759, 3769, 3170, 2303, 2586, 483, 363, 766, 22, 2289, 3185, 2771, 3040, 2773, 745, 1002, 2839, 790, 2671, 1355, 3898, 847, 1166, 3497, 3565, 77, 3256, 89, 4172]",10.866803617778514,9,True
237,1,"[238, 239, 306, 2171, 1824, 2115, 2711, 3380, 3190, 148, 1054, 1531, 1988, 242, 3945, 894, 2456, 2380, 3716, 547, 2342, 520, 125, 715, 3179, 241, 619, 2198, 1063, 3906]",5.052051682725557,3,False
718,1,"[1824, 239, 2171, 306, 2711, 2115, 3380, 3190, 1054, 148, 1531, 1988, 238, 242, 3945, 2456, 894, 125, 3716, 2342, 715, 3179, 2380, 241, 547, 520, 1063, 2198, 619, 1533]",5.091212605773731,4,True
2340,1,"[351, 461, 3565, 3571, 3339, 2662, 1910, 4172, 1924, 548, 3898, 3256, 2665, 77, 489, 3170, 22, 2163, 483, 289, 2289, 1369, 656, 790, 2771, 4160, 527, 1875, 1909, 3579]",11.32595903954392,11,True
1819,1,"[1414, 2083, 2807, 2969, 1189, 1822, 1044, 2704, 4146, 1515, 3797, 2035, 3626, 3518, 1401, 356, 1043, 2338, 4099, 3896, 2254, 1523, 1758, 2087, 1525, 2366, 2703, 1719, 1709, 94]",11.644185965237899,11,True
3468,1,"[1817, 3512, 1744, 359, 889, 370, 2543, 2701, 3826, 3515, 887, 1410, 1820, 3004, 1415, 582, 1406, 3239, 1745, 3702, 3184, 184, 1742, 1036, 1510, 2535, 3799, 2536, 480, 1954]",12.411556293708315,11,True
3156,1,"[102, 2230, 798, 3759, 3246, 257, 2436, 2190, 3852, 3171, 3223, 2315, 775, 3844, 3451, 3865, 91, 143, 475, 3284, 683, 3775, 2202, 782, 3289, 508, 2331, 780, 266, 2225]",13.070037241108395,10,False
1429,1,"[239, 306, 238, 2115, 1824, 2171, 3380, 2711, 148, 3190, 1054, 1988, 1531, 242, 3945, 894, 2456, 3716, 2380, 2342, 125, 547, 520, 715, 3179, 241, 2198, 619, 1063, 1533]",5.128563946218529,3,False
2860,1,"[3799, 3239, 1820, 1410, 4020, 2543, 3705, 2701, 1817, 362, 3798, 3515, 1745, 370, 582, 1036, 1510, 466, 3004, 887, 3826, 480, 373, 2535, 1742, 1744, 2536, 2958, 1406, 3863]",12.712233085840245,10,False
2364,1,"[2178, 339, 156, 3339, 253, 599, 2662, 1659, 1909, 992, 1687, 26, 461, 502, 503, 2138, 1932, 3574, 4160, 3895, 3286, 3571, 489, 351, 1492, 1910, 1372, 228, 2475, 426]",12.50396381499708,15,False
1639,1,"[1912, 1319, 1311, 1881, 3982, 1135, 3778, 1599, 3765, 1797, 2896, 1646, 1684, 3326, 3653, 600, 3563, 3658, 3558, 3663, 597, 509, 2382, 1309, 4038, 4127, 2915, 552, 3654, 2898]",9.947004918307217,10,True
2388,1,"[3912, 2329, 3907, 3556, 2430, 1594, 964, 3035, 2651, 2281, 3663, 1099, 2891, 771, 3028, 1118, 3656, 1575, 3344, 1467, 3654, 1113, 1281, 1592, 4002, 2387, 2745, 1870, 2382, 1309]",9.357260554829676,10,True
665,1,"[627, 544, 3180, 663, 679, 741, 521, 601, 3323, 2448, 2325, 2439, 699, 519, 444, 132, 589, 212, 2145, 331, 799, 3938, 2376, 3157, 692, 219, 702, 3254, 541, 3161]",9.224732746913489,10,True
