,testID,currentParameterID,nearestNeighbors,expectedValue,actualValue,correctAssignment
1757,0,13,"[2088, 3244, 4104, 1759, 2542, 1199, 4106, 1977, 3082, 1756, 3520, 359, 2368, 3184, 355, 3989, 4105, 1206, 3797, 375, 3079, 1047, 1423, 2972, 334, 2540, 1985, 1752, 1744, 2199]",13.336445018075366,11,False
3760,0,13,"[2092, 2322, 2294, 3555, 3291, 3287, 2021, 3883, 3094, 327, 308, 3657, 433, 388, 1884, 728, 382, 2017, 960, 1611, 3495, 2020, 70, 973, 3808, 3935, 594, 854, 96, 2655]",10.628933111347461,9,True
3363,0,13,"[1622, 556, 2897, 4036, 1619, 3763, 1876, 1320, 1314, 1600, 3764, 3558, 600, 1119, 4074, 3982, 3326, 1291, 552, 1787, 1608, 1612, 628, 509, 1859, 576, 3765, 1597, 2388, 1620]",10.50274025258461,10,True
1601,0,13,"[552, 3558, 1787, 1885, 1638, 3931, 1619, 1622, 1630, 3982, 2897, 530, 509, 3563, 600, 556, 595, 628, 2992, 1654, 576, 3728, 1314, 4036, 1658, 1320, 3764, 3915, 1612, 3567]",10.947922272507943,9,True
1773,0,13,"[3728, 2387, 2388, 3907, 1768, 621, 1283, 835, 2651, 2881, 1281, 1104, 3764, 1099, 3914, 3027, 4074, 1876, 1291, 2329, 1608, 1859, 1600, 771, 554, 3651, 3321, 4001, 3549, 3758]",9.886717513029845,10,True
437,0,13,"[2557, 2100, 3476, 1546, 913, 1250, 2631, 1247, 3357, 1074, 3532, 3601, 2820, 1836, 3635, 3324, 2196, 1834, 2127, 2042, 3969, 825, 915, 3534, 2871, 2872, 1070, 3236, 2869, 2508]",7.131002751702187,14,False
4055,0,13,"[3788, 3294, 24, 3461, 1923, 2676, 859, 3508, 3703, 4053, 4098, 1399, 1939, 3127, 1378, 3680, 2959, 93, 1004, 1670, 363, 2409, 1802, 3423, 3214, 2600, 4135, 867, 2263, 3147]",10.784116427505824,9,True
1191,0,13,"[1192, 1518, 2619, 2708, 2858, 1025, 1822, 2700, 2707, 3828, 1728, 2809, 1026, 1189, 1401, 2705, 2472, 3067, 2250, 2966, 3388, 3896, 2366, 4146, 3241, 3589, 3794, 1520, 1418, 94]",11.643951276407075,10,True
2950,0,13,"[2533, 1173, 1505, 4091, 4142, 1733, 3587, 1713, 338, 3191, 1965, 2995, 3392, 335, 3690, 3259, 3068, 1721, 862, 3616, 2846, 2944, 2792, 1516, 1176, 1948, 3589, 2687, 2699, 3681]",11.201765858476241,11,True
495,0,13,"[3283, 1666, 153, 3194, 3256, 3773, 426, 3565, 363, 1655, 2289, 3269, 1932, 1369, 1910, 2409, 2074, 2596, 1722, 3296, 789, 3288, 89, 4095, 3282, 2665, 461, 790, 4160, 1809]",10.965654766210521,15,False
