,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,F,I,M
922,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,False,True,False
1090,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,False,True,False
3007,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,False,False,True
3686,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,True,False,False
3861,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,True,False,False
1681,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,True,False,False
4007,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,True,False,False
4138,0.63,0.49,0.155,1.229,0.535,0.29,0.335,False,False,True
4144,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,False,False,True
1341,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,False,False,True
1929,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,False,False,True
2014,0.47,0.375,0.105,0.441,0.167,0.0865,0.145,False,True,False
3211,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,True,False,False
3675,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,False,False,True
3862,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,False,False,True
838,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,True,False,False
1111,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,False,True,False
2741,0.46,0.35,0.1,0.471,0.252,0.077,0.123,False,True,False
2766,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,True,False,False
2827,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,False,True,False
3662,0.55,0.45,0.14,0.753,0.3445,0.1325,0.24,False,True,False
4071,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,False,True,False
105,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,True,False,False
1969,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,True,False,False
2084,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,True,False,False
3923,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,False,False,True
16,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,False,True,False
1231,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,False,True,False
606,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,False,False,True
1470,0.53,0.43,0.13,0.7045,0.346,0.1415,0.189,False,True,False
1887,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,False,True,False
2784,0.6,0.45,0.145,0.877,0.4325,0.155,0.24,False,False,True
1216,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,False,True,False
278,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,False,False,True
