,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
684,1,"[314, 637, 19, 309]",2,2,True
396,1,"[314, 19, 309, 637]",2,2,True
35,1,"[314, 19, 637, 309]",2,2,True
423,1,"[19, 637, 116, 489]",2,2,True
324,1,"[314, 309, 637, 19]",2,2,True
306,1,"[314, 309, 637, 19]",2,2,True
448,1,"[314, 637, 19, 309]",2,2,True
290,1,"[314, 637, 19, 309]",2,2,True
644,1,"[314, 637, 19, 309]",2,2,True
352,1,"[296, 86, 63, 148]",2,2,True
687,1,"[314, 19, 234, 637]",2,2,True
685,1,"[314, 637, 19, 309]",2,2,True
598,1,"[314, 19, 637, 309]",2,2,True
666,1,"[637, 19, 116, 314]",2,2,True
477,1,"[19, 314, 637, 489]",2,2,True
332,1,"[19, 637, 116, 12]",2,2,True
176,1,"[314, 19, 309, 637]",2,2,True
607,1,"[314, 637, 19, 309]",2,2,True
407,1,"[314, 637, 19, 309]",2,2,True
454,1,"[314, 637, 19, 234]",2,2,True
189,1,"[314, 637, 309, 234]",2,2,True
194,1,"[314, 19, 309, 637]",2,2,True
542,1,"[19, 637, 116, 489]",2,2,True
408,1,"[314, 637, 309, 12]",2,2,True
512,1,"[19, 637, 314, 116]",2,2,True
426,1,"[637, 116, 232, 19]",2,2,True
76,1,"[314, 637, 19, 309]",2,2,True
532,1,"[314, 309, 637, 19]",2,2,True
257,1,"[314, 19, 637, 309]",2,2,True
630,1,"[19, 637, 116, 489]",2,2,True
595,1,"[19, 637, 314, 489]",2,2,True
181,1,"[314, 637, 19, 309]",2,2,True
178,1,"[19, 314, 637, 309]",2,2,True
94,1,"[314, 19, 309, 637]",2,2,True
363,1,"[637, 12, 489, 116]",2,2,True
369,1,"[314, 637, 19, 309]",2,2,True
573,1,"[314, 637, 19, 309]",2,2,True
593,1,"[19, 637, 314, 116]",2,2,True
679,1,"[314, 637, 19, 309]",2,2,True
537,1,"[19, 637, 489, 116]",2,2,True
37,1,"[19, 489, 309, 116]",2,2,True
494,1,"[637, 25, 12, 86]",4,2,False
97,1,"[19, 489, 637, 116]",2,2,True
182,1,"[19, 116, 489, 637]",2,2,True
527,1,"[19, 314, 637, 309]",2,2,True
343,1,"[314, 637, 19, 309]",2,2,True
277,1,"[314, 637, 19, 309]",2,2,True
553,1,"[489, 637, 12, 309]",4,2,False
115,1,"[314, 309, 637, 19]",2,2,True
31,1,"[314, 19, 309, 637]",2,2,True
325,1,"[314, 234, 637, 19]",2,2,True
362,1,"[637, 489, 19, 314]",2,2,True
405,1,"[314, 637, 19, 309]",2,2,True
108,1,"[314, 234, 637, 19]",2,2,True
513,1,"[314, 19, 637, 309]",2,2,True
331,1,"[19, 489, 637, 116]",2,2,True
287,1,"[314, 19, 637, 309]",2,2,True
609,1,"[19, 637, 314, 116]",2,2,True
458,1,"[19, 637, 314, 116]",2,2,True
606,1,"[19, 637, 314, 489]",2,2,True
244,1,"[314, 309, 637, 19]",2,2,True
531,1,"[19, 637, 314, 489]",2,2,True
682,1,"[19, 489, 116, 637]",2,2,True
415,1,"[12, 25, 296, 234]",4,2,False
638,1,"[19, 314, 637, 489]",2,2,True
387,1,"[637, 489, 19, 116]",2,2,True
521,1,"[19, 314, 637, 489]",2,2,True
497,1,"[19, 314, 637, 489]",2,2,True
473,1,"[19, 314, 637, 489]",2,2,True
259,1,"[86, 55, 296, 230]",4,2,False
10,1,"[314, 309, 637, 19]",2,2,True
451,1,"[19, 637, 314, 116]",2,2,True
351,1,"[314, 19, 309, 637]",2,2,True
504,1,"[314, 637, 19, 309]",2,2,True
3,1,"[55, 296, 232, 63]",4,2,False
445,1,"[314, 637, 19, 309]",2,2,True
