,buying_high,buying_low,buying_med,buying_vhigh,maint_high,maint_low,maint_med,maint_vhigh,doors_2,doors_3,doors_4,doors_5more,persons_2,persons_4,persons_more,lug_boot_big,lug_boot_med,lug_boot_small,safety_high,safety_low,safety_med
0,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False
3,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False
4,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True
5,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False
7,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True
8,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False
9,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False
10,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True
11,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False
12,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
13,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True
14,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False
15,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
16,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True
17,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False
18,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
19,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
20,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False
21,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
22,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True
23,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False
26,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False
28,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
29,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False
30,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
31,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True
32,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
34,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
35,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
36,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
37,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
38,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False
