,class
0,unacc
1,unacc
2,unacc
3,unacc
4,unacc
5,unacc
6,unacc
7,unacc
8,unacc
9,unacc
10,unacc
11,unacc
12,unacc
13,unacc
14,unacc
15,unacc
16,unacc
17,unacc
18,unacc
19,unacc
20,unacc
21,unacc
22,unacc
23,unacc
24,unacc
25,unacc
26,unacc
27,unacc
28,unacc
29,unacc
30,unacc
31,unacc
32,unacc
33,unacc
34,unacc
35,unacc
36,unacc
37,unacc
38,unacc
39,unacc
40,unacc
41,unacc
42,unacc
43,unacc
44,unacc
45,unacc
46,unacc
47,unacc
48,unacc
49,unacc
50,unacc
51,unacc
52,unacc
53,unacc
54,unacc
55,unacc
56,unacc
57,unacc
58,unacc
59,unacc
60,unacc
61,unacc
62,unacc
63,unacc
64,unacc
65,unacc
66,unacc
67,unacc
68,unacc
69,unacc
70,unacc
71,unacc
72,unacc
73,unacc
74,unacc
75,unacc
76,unacc
77,unacc
78,unacc
79,unacc
80,unacc
81,unacc
82,unacc
83,unacc
84,unacc
85,unacc
86,unacc
87,unacc
88,unacc
89,unacc
90,unacc
91,unacc
92,unacc
93,unacc
94,unacc
95,unacc
96,unacc
97,unacc
98,unacc
99,unacc
100,unacc
101,unacc
102,unacc
103,unacc
104,unacc
105,unacc
106,unacc
107,unacc
108,unacc
109,unacc
110,unacc
111,unacc
112,unacc
113,unacc
114,unacc
115,unacc
116,unacc
117,unacc
118,unacc
119,unacc
120,unacc
121,unacc
122,unacc
123,unacc
124,unacc
125,unacc
126,unacc
127,unacc
128,unacc
129,unacc
130,unacc
131,unacc
132,unacc
133,unacc
134,unacc
135,unacc
136,unacc
137,unacc
138,unacc
139,unacc
140,unacc
141,unacc
142,unacc
143,unacc
144,unacc
145,unacc
146,unacc
147,unacc
148,unacc
149,unacc
150,unacc
151,unacc
152,unacc
153,unacc
154,unacc
155,unacc
156,unacc
157,unacc
158,unacc
159,unacc
160,unacc
161,unacc
162,unacc
163,unacc
164,unacc
165,unacc
166,unacc
167,unacc
168,unacc
169,unacc
170,unacc
171,unacc
172,unacc
173,unacc
174,unacc
175,unacc
176,unacc
177,unacc
178,unacc
179,unacc
180,unacc
181,unacc
182,unacc
183,unacc
184,unacc
185,unacc
186,unacc
187,unacc
188,unacc
189,unacc
190,unacc
191,unacc
192,unacc
193,unacc
194,unacc
195,unacc
196,unacc
197,unacc
198,unacc
199,unacc
200,unacc
201,unacc
202,unacc
203,unacc
204,unacc
205,unacc
206,unacc
207,unacc
208,unacc
209,unacc
210,unacc
211,unacc
212,unacc
213,unacc
214,unacc
215,unacc
216,unacc
217,unacc
218,unacc
219,unacc
220,unacc
221,unacc
222,unacc
223,unacc
224,unacc
225,unacc
226,unacc
227,acc
228,unacc
229,unacc
230,acc
231,unacc
232,acc
233,acc
234,unacc
235,unacc
236,unacc
237,unacc
238,unacc
239,acc
240,unacc
241,acc
242,acc
243,unacc
244,unacc
245,unacc
246,unacc
247,unacc
248,unacc
249,unacc
250,unacc
251,unacc
252,unacc
253,unacc
254,acc
255,unacc
256,unacc
257,acc
258,unacc
259,acc
260,acc
261,unacc
262,unacc
263,acc
264,unacc
265,acc
266,acc
267,unacc
268,acc
269,acc
270,unacc
271,unacc
272,unacc
273,unacc
