,p,k,e,s,AveragePerformance,TestsRun
22,2,3,10,1,205.95567789940296,10
11,1,4,10,2,165.21043712892686,10
32,2,5,5,1,153.22988502213752,10
31,2,5,3,2,156.48945301184278,10
4,1,3,10,1,202.16682271090886,10
3,1,3,5,2,205.35612481003028,10
16,1,5,10,1,159.99602802165518,10
25,2,4,3,2,173.8230703470829,10
19,2,3,3,2,215.72581075491672,10
14,1,5,5,1,128.54100263837998,10
13,1,5,3,2,138.7652175844363,10
27,2,4,5,2,190.21756049131284,10
10,1,4,10,1,158.97998157748034,10
18,2,3,3,1,210.6339524010029,10
21,2,3,5,2,221.73417351203582,10
24,2,4,3,1,185.41950525193386,10
23,2,3,10,2,196.69742182981273,10
34,2,5,10,1,163.58124452505388,10
9,1,4,5,2,176.2466040281184,10
20,2,3,5,1,226.73566157892344,10
