,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
4,1,"[150, 190, 98, 121, 189]",178.57776224457427,132,False
178,1,"[87, 16, 37, 100, 177]",27.799472877143796,38,False
10,1,"[80, 25, 14, 84, 28]",38.80315625877936,38,True
112,1,"[113, 183, 86, 174, 182]",31.399179678888828,40,False
11,1,"[28, 25, 48, 14, 80]",42.39352149999403,40,True
52,1,"[55, 128, 129, 175, 44]",66.40106408398988,138,False
15,1,"[79, 17, 175, 77, 72]",47.38973849418032,35,False
171,1,"[100, 157, 182, 139, 159]",19.999537182566183,30,False
176,1,"[177, 100, 139, 157, 182]",22.99840354137139,30,False
26,1,"[24, 28, 48, 25, 84]",46.19909878616627,33,False
115,1,"[128, 129, 175, 55, 42]",62.39761381221019,76,False
29,1,"[28, 48, 25, 24, 84]",46.192417225935344,27,False
105,1,"[80, 84, 28, 25, 14]",38.8015185757114,32,False
68,1,"[72, 18, 183, 87, 86]",30.001703793112924,32,True
106,1,"[48, 80, 28, 84, 24]",35.597902532997914,32,True
35,1,"[34, 32, 33, 94, 189]",125.23252141245591,208,False
124,1,"[47, 57, 111, 103, 102]",17.799577398085987,20,True
59,1,"[57, 47, 111, 102, 103]",17.79881295686409,20,True
85,1,"[86, 183, 125, 139, 113]",32.599378352414845,29,True
56,1,"[55, 101, 182, 48, 100]",35.997928657869146,71,False
132,1,"[133, 140, 101, 55, 142]",49.80505623220652,26,False
67,1,"[177, 157, 72, 18, 183]",22.99885346721935,26,True
53,1,"[100, 48, 142, 157, 182]",26.598883754030037,36,False
40,1,"[126, 38, 127, 37, 133]",46.59858874932279,36,False
206,1,"[142, 161, 185, 139, 86]",42.40007735928227,52,False
43,1,"[42, 126, 128, 129, 118]",59.201773075992925,60,True
141,1,"[140, 180, 142, 133, 127]",61.79637901754702,60,True
45,1,"[44, 133, 185, 183, 126]",45.793331147686494,72,False
202,1,"[100, 182, 157, 177, 139]",23.0006028641379,18,False
109,1,"[47, 111, 57, 103, 102]",17.79375310183865,18,True
49,1,"[182, 48, 101, 100, 28]",39.40381639205593,62,False
117,1,"[113, 174, 84, 100, 177]",32.398726938094896,24,False
50,1,"[57, 47, 207, 111, 48]",35.22452745977304,24,False
200,1,"[100, 182, 157, 177, 139]",23.0006028641379,12,False
122,1,"[103, 102, 47, 111, 57]",17.813027993318375,12,False
201,1,"[100, 182, 157, 177, 139]",23.0006028641379,14,False
104,1,"[47, 25, 14, 57, 80]",25.399391259678325,16,False
131,1,"[142, 161, 159, 133, 157]",26.19707555161179,16,False
110,1,"[47, 111, 57, 103, 102]",17.79375310183865,22,True
61,1,"[57, 47, 111, 102, 103]",17.79881295686409,22,True
63,1,"[64, 12, 89, 172, 140]",80.96169682874421,144,False
66,1,"[177, 157, 72, 159, 18]",21.99970950209696,17,True
114,1,"[142, 127, 38, 113, 139]",50.19823337525537,50,True
75,1,"[74, 77, 78, 79, 44]",57.81355519183873,50,False
134,1,"[42, 135, 136, 128, 129]",64.20364779644031,45,False
208,1,"[207, 80, 84, 28, 25]",50.20209740404856,45,False
116,1,"[128, 129, 175, 55, 42]",62.39731843141074,66,True
119,1,"[118, 126, 42, 38, 127]",54.602468261817684,66,False
95,1,"[6, 7, 96, 153, 191]",415.69026052565573,465,False
151,1,"[155, 152, 5, 191, 1]",306.15857184204384,277,False
181,1,"[182, 25, 100, 28, 14]",38.20556497177437,6,False
108,1,"[47, 111, 102, 103, 57]",17.798733077492265,11,False
162,1,"[163, 161, 127, 38, 142]",48.6053516983225,34,False
167,1,"[146, 147, 13, 150, 189]",148.81904803110262,100,False
193,1,"[185, 180, 140, 149, 133]",73.19773829606069,70,True
154,1,"[34, 190, 121, 94, 194]",152.6086082777172,214,False
156,1,"[153, 6, 7, 96, 192]",447.13030355942414,510,False
203,1,"[100, 182, 157, 177, 139]",23.0006028641379,21,True
204,1,"[142, 161, 159, 157, 139]",27.798548744453047,42,False
205,1,"[133, 140, 180, 101, 55]",61.605399994077935,46,False
173,1,"[174, 182, 100, 28, 25]",46.203430923348705,25,False
4,2,"[150, 190, 98, 121, 189]",178.57776224457427,132,False
178,2,"[87, 16, 37, 100, 177]",27.799472877143796,38,False
10,2,"[80, 25, 14, 84, 28]",38.80315625877936,38,True
112,2,"[113, 183, 86, 174, 182]",31.399179678888828,40,False
11,2,"[28, 25, 48, 14, 80]",42.39352149999403,40,True
52,2,"[55, 128, 129, 175, 44]",66.40106408398988,138,False
15,2,"[79, 17, 175, 77, 72]",47.38973849418032,35,False
171,2,"[100, 157, 182, 139, 159]",19.999537182566183,30,False
176,2,"[177, 100, 139, 157, 182]",22.99840354137139,30,False
26,2,"[24, 28, 48, 25, 84]",46.19909878616627,33,False
115,2,"[128, 129, 175, 55, 42]",62.39761381221019,76,False
29,2,"[28, 48, 25, 24, 84]",46.192417225935344,27,False
105,2,"[80, 84, 28, 25, 14]",38.8015185757114,32,False
68,2,"[72, 18, 183, 87, 86]",30.001703793112924,32,True
106,2,"[48, 80, 28, 84, 24]",35.597902532997914,32,True
35,2,"[34, 32, 33, 94, 189]",125.23252141245591,208,False
124,2,"[47, 57, 111, 103, 102]",17.799577398085987,20,True
59,2,"[57, 47, 111, 102, 103]",17.79881295686409,20,True
85,2,"[86, 183, 125, 139, 113]",32.599378352414845,29,True
56,2,"[55, 101, 182, 48, 100]",35.997928657869146,71,False
132,2,"[133, 140, 101, 55, 142]",49.80505623220652,26,False
67,2,"[177, 157, 72, 18, 183]",22.99885346721935,26,True
53,2,"[100, 48, 142, 157, 182]",26.598883754030037,36,False
40,2,"[126, 38, 127, 37, 133]",46.59858874932279,36,False
206,2,"[142, 161, 185, 139, 86]",42.40007735928227,52,False
43,2,"[42, 126, 128, 129, 118]",59.201773075992925,60,True
141,2,"[140, 180, 142, 133, 127]",61.79637901754702,60,True
45,2,"[44, 133, 185, 183, 126]",45.793331147686494,72,False
202,2,"[100, 182, 157, 177, 139]",23.0006028641379,18,False
109,2,"[47, 111, 57, 103, 102]",17.79375310183865,18,True
