,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
195,1,"[1, 5, 34, 151, 166]",217.14900375751597,208,False
120,1,"[121, 187, 135, 188, 164]",84.16250141761728,100,False
131,1,"[204, 142, 161, 159, 126]",35.59331336923883,16,False
183,1,"[85, 86, 125, 139, 113]",34.0004652045843,22,False
91,1,"[64, 1, 71, 116, 52]",136.14486554946234,189,False
66,1,"[67, 157, 18, 36, 125]",22.40094006547081,17,False
143,1,"[144, 164, 116, 52, 162]",74.00169173637602,66,False
16,1,"[18, 72, 67, 86, 174]",33.81047545300011,19,False
104,1,"[47, 11, 25, 28, 84]",45.612623257943966,16,False
141,1,"[142, 127, 161, 114, 126]",44.993951243489946,60,False
170,1,"[100, 171, 203, 53, 182]",24.39761547404348,25,True
44,1,"[204, 52, 126, 114, 142]",64.99252060295666,72,False
179,1,"[204, 114, 53, 92, 87]",36.99215467008544,60,False
2,1,"[1, 5, 151, 190, 4]",233.53360287970673,220,False
137,1,"[22, 23, 17, 81, 68]",46.95487321386733,30,False
167,1,"[130, 146, 150, 4, 189]",152.66120450170146,100,False
152,1,"[151, 5, 1, 190, 189]",244.7097680941488,370,False
50,1,"[47, 207, 111, 48, 11]",40.83087287972911,24,False
96,1,"[151, 5, 1, 153, 190]",309.3089114797933,465,False
79,1,"[77, 15, 114, 92, 87]",38.98792539587095,84,False
196,1,"[197, 153, 5, 151, 19]",323.16741478176016,307,False
102,1,"[47, 111, 11, 25, 28]",48.74643114683097,7,False
155,1,"[151, 5, 1, 190, 189]",244.71087406207883,326,False
20,1,"[17, 68, 18, 86, 72]",30.601710683659228,30,True
55,1,"[52, 204, 116, 142, 53]",66.34257724832446,60,False
191,1,"[151, 5, 1, 189, 190]",244.8528716263817,248,True
21,1,"[18, 86, 92, 87, 85]",31.398291364503958,33,True
184,1,"[18, 86, 92, 87, 135]",36.40176629426212,33,True
24,1,"[26, 29, 28, 48, 25]",49.2183127435697,23,False
