,p,k,e,s,AveragePerformance,TestsRun
19,2,5,5,2,11258.027619016368,10
25,2,7,5,2,12591.041172857425,10
7,1,7,5,2,11563.21289925863,10
27,2,7,10,2,12693.981446716683,10
31,2,10,5,2,13274.677684882301,10
24,2,7,5,1,12492.381131058492,10
1,1,5,5,2,9918.755955209412,10
14,1,10,10,1,13424.202867942737,10
10,1,7,15,1,11188.086671705003,10
0,1,5,5,1,9760.836054806503,10
11,1,7,15,2,11193.811702193041,10
8,1,7,10,1,10985.878991479132,10
9,1,7,10,2,11607.72331141657,10
30,2,10,5,1,13357.415055735572,10
26,2,7,10,1,12660.300564108029,10
33,2,10,10,2,12215.136138383761,10
6,1,7,5,1,10892.276572417475,10
4,1,5,15,1,10145.173412533979,10
34,2,10,15,1,13657.382219422081,10
21,2,5,10,2,11302.198861108356,10
