,testID,currentParameterID,nearestNeighbors,expectedValue,actualValue,correctAssignment
103,0,19,"[102, 111, 124, 58, 59]",19.60371919703353,13,False
198,0,19,"[199, 8, 91, 3, 1]",471.8711642130044,915,False
160,0,19,"[161, 159, 37, 204, 85]",28.200719719600865,21,False
80,0,19,"[84, 25, 28, 10, 105]",47.59947472819465,16,False
88,0,19,"[91, 128, 116, 52, 136]",105.5553340399459,134,False
168,0,19,"[155, 151, 152, 13, 189]",259.7011908016448,140,False
201,0,19,"[203, 171, 100, 182, 181]",18.39882123651426,14,True
205,0,19,"[180, 55, 185, 56, 119]",72.79606423272044,46,False
33,0,19,"[166, 165, 136, 184, 149]",73.99597116939117,63,False
194,0,19,"[91, 136, 121, 42, 35]",129.39144661392214,114,False
117,0,19,"[171, 113, 112, 100, 203]",29.799824016443957,24,False
7,0,19,"[96, 153, 8, 152, 155]",461.25635249088214,489,False
133,0,19,"[185, 55, 180, 119, 149]",79.60205049523877,32,False
140,0,19,"[180, 55, 119, 185, 114]",68.5925955578946,62,False
73,0,19,"[74, 78, 17, 84, 75]",35.99825876137773,36,True
156,0,19,"[153, 96, 8, 152, 155]",460.8425090233667,510,False
61,0,19,"[58, 59, 50, 124, 111]",23.004212548323427,22,True
99,0,19,"[10, 25, 105, 28, 84]",47.59981990917085,6,False
30,0,19,"[31, 64, 13, 166, 165]",162.54115636393763,274,False
110,0,19,"[111, 124, 58, 59, 102]",19.596796366020094,22,True
51,0,19,"[124, 50, 58, 59, 111]",23.004583661009754,24,True
145,0,19,"[13, 121, 136, 64, 128]",109.98901091928268,74,False
83,0,19,"[25, 10, 28, 84, 181]",42.397235938358556,16,False
109,0,19,"[111, 124, 58, 59, 102]",19.596796366020094,18,True
101,0,19,"[37, 49, 56, 204, 203]",44.999498796503126,45,True
177,0,19,"[100, 203, 171, 158, 182]",19.59968702467102,32,False
115,0,19,"[116, 52, 128, 55, 175]",76.79603915964441,76,True
208,0,19,"[10, 105, 28, 25, 84]",47.60234518785051,45,True
147,0,19,"[13, 121, 136, 64, 128]",109.96714429708446,111,True
69,0,19,"[68, 185, 86, 85, 184]",38.39974426437758,32,False
65,0,19,"[64, 13, 31, 180, 121]",178.20446106727675,259,False
94,0,19,"[35, 121, 189, 151, 155]",226.43786549498373,237,False
38,0,19,"[161, 37, 204, 114, 159]",32.40070715938881,71,False
108,0,19,"[124, 111, 58, 59, 102]",19.598322432651837,11,False
134,0,19,"[42, 41, 119, 136, 128]",58.60198508951206,45,False
40,0,19,"[37, 204, 161, 159, 119]",35.600349848688445,36,True
154,0,19,"[35, 121, 136, 187, 150]",138.9971440725003,214,False
63,0,19,"[64, 180, 13, 185, 136]",102.73803420869723,144,False
6,0,19,"[96, 153, 8, 152, 155]",461.25635249088214,367,False
107,0,19,"[124, 111, 58, 59, 102]",19.5970180397346,11,False
192,0,19,"[153, 189, 195, 152, 155]",320.33671292120596,405,False
200,0,19,"[203, 171, 100, 182, 181]",18.399026544778344,12,False
103,0,19,"[104, 207, 106, 14, 27]",30.39581010281804,13,False
198,0,19,"[197, 90, 19, 5, 9]",428.18882899284796,915,False
160,0,19,"[142, 127, 139, 131, 126]",41.399038879364205,21,False
80,0,19,"[27, 29, 26, 14, 174]",29.401980298358957,16,False
88,0,19,"[135, 186, 129, 144, 2]",114.02479558713348,134,False
168,0,19,"[169, 167, 146, 148, 191]",159.13958533394617,140,False
201,0,19,"[202, 176, 53, 157, 139]",26.40079097508731,14,False
205,0,19,"[132, 141, 138, 179, 54]",44.39981882843042,46,True
33,0,19,"[32, 193, 135, 188, 34]",75.04345602134674,63,False
194,0,19,"[2, 34, 135, 190, 90]",138.78305183988286,114,False
117,0,19,"[174, 202, 176, 53, 29]",32.19807036491843,24,False
7,0,19,"[95, 191, 5, 2, 190]",283.99031124935146,489,False
133,0,19,"[132, 141, 138, 54, 126]",41.400888876746905,32,False
140,0,19,"[141, 132, 138, 54, 127]",43.59845996543136,62,False
73,0,19,"[76, 72, 18, 16, 62]",30.598395624993202,36,False
156,0,19,"[169, 19, 95, 191, 5]",273.42169803316597,510,False
61,0,19,"[104, 207, 106, 14, 48]",33.003930765666986,22,False
99,0,19,"[104, 14, 27, 29, 26]",22.606531980123513,6,False
30,0,19,"[169, 19, 148, 12, 146]",131.7004071169613,274,False
110,0,19,"[104, 207, 106, 14, 27]",30.385489476887727,22,False
51,0,19,"[104, 207, 14, 106, 27]",30.41491178677722,24,False
145,0,19,"[146, 148, 12, 186, 172]",99.78108320899973,74,False
83,0,19,"[27, 14, 29, 26, 48]",27.403183324115325,16,False
109,0,19,"[104, 207, 106, 14, 27]",30.39187659277724,18,False
101,0,19,"[54, 132, 138, 176, 39]",31.60001113638156,45,False
177,0,19,"[67, 176, 66, 157, 202]",19.799126338237432,32,False
115,0,19,"[129, 44, 43, 138, 118]",62.19454308110055,76,False
208,0,19,"[104, 14, 27, 29, 26]",22.60285547077899,45,False
147,0,19,"[146, 148, 167, 186, 12]",111.59650359803068,111,True
69,0,19,"[87, 92, 70, 21, 18]",36.601471622751156,32,True
65,0,19,"[169, 19, 148, 12, 146]",131.8549606565384,259,False
94,0,19,"[148, 191, 34, 146, 190]",152.6032419262333,237,False
38,0,19,"[127, 142, 126, 118, 138]",49.999611036878704,71,False
108,0,19,"[104, 207, 106, 14, 27]",30.409504284838235,11,False
134,0,19,"[135, 43, 44, 120, 129]",73.20397337995746,45,False
40,0,19,"[126, 127, 131, 39, 142]",38.59978338308893,36,True
154,0,19,"[34, 190, 135, 186, 2]",136.64288763467195,214,False
63,0,19,"[193, 89, 12, 148, 70]",86.6317006728038,144,False
6,0,19,"[95, 191, 5, 2, 190]",283.99031124935146,367,False
107,0,19,"[104, 207, 106, 14, 27]",30.40905255404812,11,False
192,0,19,"[169, 191, 5, 95, 148]",277.02623161212125,405,False
200,0,19,"[202, 176, 53, 157, 139]",26.4011392704487,12,False
103,0,19,"[102, 111, 46, 57, 59]",18.8027008857557,13,False
198,0,19,"[199, 8, 3, 2, 152]",495.48955197310676,915,False
160,0,19,"[125, 126, 158, 138, 178]",34.40090818131158,21,False
80,0,19,"[25, 11, 173, 14, 182]",30.997609068010973,16,False
88,0,19,"[128, 144, 136, 135, 143]",68.1989221297517,134,False
168,0,19,"[169, 151, 152, 13, 148]",227.934192431144,140,False
201,0,19,"[176, 100, 173, 182, 53]",25.19990603555391,14,False
205,0,19,"[132, 180, 179, 138, 55]",61.00153219326938,46,False
33,0,19,"[32, 136, 135, 188, 35]",94.44920991620015,63,False
194,0,19,"[136, 135, 121, 35, 120]",112.03059465211854,114,True
117,0,19,"[113, 173, 100, 176, 182]",24.79964669833221,24,True
7,0,19,"[95, 153, 152, 151, 3]",358.0555010126363,489,False
133,0,19,"[132, 138, 185, 179, 126]",47.80269555395219,32,False
140,0,19,"[180, 132, 138, 55, 179]",60.998882463359614,62,True
73,0,19,"[74, 78, 18, 16, 113]",32.79702928957112,36,True
156,0,19,"[153, 169, 95, 152, 151]",365.4993635257787,510,False
61,0,19,"[57, 59, 50, 46, 111]",22.20357295431899,22,True
99,0,19,"[11, 14, 104, 25, 181]",28.196719686567008,6,False
30,0,19,"[169, 148, 172, 32, 13]",112.91852660155631,274,False
110,0,19,"[46, 111, 57, 59, 102]",18.797758303380288,22,True
51,0,19,"[104, 46, 50, 57, 59]",17.999879845369893,24,False
145,0,19,"[148, 13, 121, 172, 188]",113.5875213669179,74,False
83,0,19,"[25, 14, 11, 173, 181]",29.997686397593814,16,False
