,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
306,1,"[33, 324, 375, 55, 155, 275, 107, 103, 384, 353, 365, 385]",republican,republican,True
135,1,"[55, 33, 324, 107, 375, 353, 365, 215, 155, 275, 103, 384]",republican,republican,True
392,1,"[384, 155, 33, 324, 375, 55, 385, 117, 215, 107, 353, 365]",republican,republican,True
430,1,"[353, 107, 33, 73, 215, 402, 384, 55, 275, 323, 117, 324]",republican,republican,True
148,1,"[55, 33, 324, 215, 375, 384, 353, 365, 155, 107, 385, 3]",republican,republican,True
330,1,"[55, 33, 324, 375, 365, 215, 155, 107, 384, 353, 385, 275]",republican,republican,True
374,1,"[33, 324, 375, 384, 55, 155, 107, 117, 215, 353, 365, 385]",republican,republican,True
369,1,"[33, 324, 107, 375, 384, 55, 365, 3, 155, 275, 117, 215]",republican,republican,True
11,1,"[324, 33, 375, 55, 155, 215, 384, 107, 365, 385, 3, 275]",democrat,republican,False
427,1,"[353, 107, 33, 140, 402, 55, 147, 73, 117, 324, 80, 215]",republican,republican,True
349,1,"[107, 33, 117, 402, 384, 353, 129, 323, 73, 324, 140, 80]",republican,republican,True
58,1,"[33, 55, 324, 215, 107, 375, 384, 353, 365, 155, 117, 323]",republican,republican,True
432,1,"[33, 324, 375, 384, 55, 155, 107, 353, 215, 365, 385, 3]",republican,republican,True
132,1,"[33, 55, 107, 324, 353, 215, 375, 365, 155, 275, 384, 103]",republican,republican,True
166,1,"[402, 80, 107, 353, 176, 73, 117, 215, 129, 323, 103, 384]",republican,republican,True
315,1,"[107, 215, 129, 352, 33, 117, 3, 20, 275, 103, 294, 375]",democrat,republican,False
339,1,"[155, 324, 375, 384, 55, 385, 33, 275, 107, 103, 353, 365]",republican,republican,True
71,1,"[176, 402, 129, 107, 73, 140, 80, 20, 294, 110, 323, 117]",republican,republican,True
28,1,"[73, 117, 140, 107, 147, 402, 129, 33, 80, 155, 103, 384]",republican,republican,True
340,1,"[375, 55, 353, 107, 33, 324, 215, 384, 365, 155, 402, 275]",republican,republican,True
65,1,"[33, 117, 384, 155, 324, 107, 375, 55, 353, 385, 103, 73]",republican,republican,True
99,1,"[55, 324, 33, 375, 107, 353, 365, 215, 155, 275, 384, 385]",republican,republican,True
283,1,"[33, 324, 107, 375, 384, 55, 353, 155, 275, 117, 215, 103]",republican,republican,True
231,1,"[33, 55, 107, 324, 215, 375, 384, 353, 365, 155, 323, 73]",republican,republican,True
305,1,"[55, 33, 324, 107, 375, 353, 365, 215, 155, 275, 103, 384]",republican,republican,True
136,1,"[55, 33, 324, 215, 375, 384, 353, 365, 3, 155, 107, 385]",republican,republican,True
250,1,"[33, 324, 375, 55, 155, 107, 384, 365, 385, 215, 275, 117]",republican,republican,True
122,1,"[33, 107, 375, 55, 353, 324, 215, 402, 103, 384, 365, 155]",republican,republican,True
