,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
0,n,y,n,y,y,y,n,n,n,y,,y,y,y,n,y
1,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,
2,,y,y,,y,y,n,n,n,n,y,n,y,y,n,n
3,n,y,y,n,,y,n,n,n,n,y,n,y,n,n,y
4,y,y,y,n,y,y,n,n,n,n,y,,y,y,y,y
5,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
6,n,y,n,y,y,y,n,n,n,n,n,n,,y,y,y
7,n,y,n,y,y,y,n,n,n,n,n,n,y,y,,y
8,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
9,y,y,y,n,n,n,y,y,y,n,n,n,n,n,,
10,n,y,n,y,y,n,n,n,n,n,,,y,y,n,n
11,n,y,n,y,y,y,n,n,n,n,y,,y,y,,
12,n,y,y,n,n,n,y,y,y,n,n,n,y,n,,
13,y,y,y,n,n,y,y,y,,y,y,,n,n,y,
14,n,y,n,y,y,y,n,n,n,n,n,y,,,n,
15,n,y,n,y,y,y,n,n,n,y,n,y,y,,n,
16,y,n,y,n,n,y,n,y,,y,y,y,,n,n,y
17,y,,y,n,n,n,y,y,y,n,n,n,y,n,y,y
18,n,y,n,y,y,y,n,n,n,n,n,,y,y,n,n
19,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
20,y,y,y,n,n,,y,y,n,n,y,n,n,n,y,y
21,y,y,y,n,n,n,y,y,y,n,n,n,,,y,y
22,y,,y,n,n,n,y,y,y,n,n,,n,n,y,y
23,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
24,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,
25,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
26,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
27,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
28,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
29,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
30,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
31,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,
32,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
33,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
34,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
35,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
36,y,,n,y,y,y,n,n,n,y,n,y,,y,n,y
37,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
38,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
39,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
40,y,y,y,n,n,n,y,y,y,n,,n,n,n,n,
41,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,
42,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
43,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
44,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,
45,y,y,y,n,n,n,y,y,,n,y,n,n,n,y,
46,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
47,y,n,y,n,n,n,y,y,,n,n,n,n,n,n,
48,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
49,n,,n,y,y,y,n,n,n,n,n,y,y,y,n,n
50,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
51,n,y,n,y,y,y,n,,n,n,n,y,y,y,n,y
52,y,y,y,n,n,n,y,y,y,n,n,n,n,n,,
53,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
54,y,y,y,n,n,y,,y,n,n,y,y,n,y,n,
55,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
56,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
57,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
58,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
59,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,
60,y,y,y,n,n,,y,y,y,y,n,n,n,n,y,
61,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
