,testID,nearestNeighbors,expectedValue,actualValue,correctAssignment
296,1,"[13, 368, 90, 375, 337, 32, 311, 282, 34, 365, 155, 442, 289, 446, 23, 324]",1.2404352419025042,0.6418538861723948,False
198,1,"[137, 386, 44, 348, 315, 261, 323, 173, 269, 265, 482, 455, 73, 307, 52, 217]",1.0184677616545121,2.50470927708418,False
3,1,"[4, 186, 229, 7, 304, 220, 37, 472, 298, 203, 142, 343, 76, 239, 403, 442]",0.9165694827580602,0.0,False
175,1,"[325, 174, 431, 262, 180, 321, 187, 457, 507, 308, 386, 339, 41, 195, 398, 87]",1.2591154530117283,1.7101878155342434,True
462,1,"[217, 244, 460, 180, 174, 242, 457, 431, 438, 261, 308, 187, 443, 321, 386, 325]",1.6373621477003113,1.5496879080283263,True
214,1,"[69, 471, 241, 41, 355, 356, 234, 317, 43, 48, 225, 316, 302, 152, 173, 51]",1.1391714703461324,3.389799336709786,False
450,1,"[504, 502, 269, 265, 230, 52, 496, 167, 316, 218, 45, 367, 225, 144, 15, 355]",1.4436869647353858,2.005525858729668,False
128,1,"[323, 315, 255, 137, 348, 340, 44, 307, 115, 157, 367, 302, 283, 52, 316, 218]",0.6799345183584385,0.0,False
447,1,"[283, 115, 284, 417, 69, 261, 276, 48, 302, 471, 315, 265, 348, 52, 144, 62]",0.7674135764941648,0.0,False
245,1,"[482, 244, 246, 386, 225, 307, 455, 427, 507, 41, 195, 180, 348, 355, 356, 230]",1.6044997952685869,0.5653138090500605,False
392,1,"[431, 398, 180, 377, 187, 457, 325, 237, 438, 507, 339, 427, 321, 425, 87, 308]",1.4397803293548908,4.27332721775054,False
491,1,"[481, 230, 504, 317, 50, 496, 355, 356, 474, 197, 316, 52, 225, 218, 269, 45]",1.719822999063823,0.0,False
215,1,"[69, 471, 241, 41, 355, 356, 234, 317, 43, 48, 225, 316, 302, 152, 173, 51]",1.1391714703461324,3.389799336709786,False
204,1,"[90, 375, 69, 349, 442, 304, 368, 347, 302, 471, 150, 43, 284, 234, 137, 324]",1.5613530932998299,2.7073833121145063,False
334,1,"[339, 340, 64, 65, 308, 157, 386, 217, 140, 242, 244, 180, 237, 62, 187, 262]",1.7528913383189244,0.0,False
411,1,"[284, 196, 176, 37, 239, 304, 469, 282, 23, 514, 442, 224, 186, 159, 479, 417]",1.8881724698140947,1.7263316639055997,True
164,1,"[220, 17, 343, 446, 9, 229, 7, 472, 181, 203, 25, 13, 4, 479, 375, 224]",1.8295190227230598,1.1019400787607843,False
166,1,"[365, 364, 13, 324, 170, 161, 254, 368, 167, 357, 375, 253, 266, 218, 446, 15]",1.3721134180479528,1.1908875647772805,True
