,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
4,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
12,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
20,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
29,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
30,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
37,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11
41,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
42,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
44,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
47,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
66,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
67,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
