,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
1447,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
1567,I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
1094,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
3213,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
4169,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
3579,F,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
2037,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
2358,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
2343,I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
838,F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8
904,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
1960,F,0.65,0.51,0.185,1.375,0.531,0.384,0.3985,10
180,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
2302,M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
2743,I,0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
1433,I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,6
3479,I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7
499,M,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
2761,I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
471,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
2998,F,0.635,0.51,0.17,1.2235,0.532,0.271,0.354,9
3563,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
3254,F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
811,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
3964,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
3572,F,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
2795,M,0.63,0.47,0.15,1.1355,0.539,0.2325,0.3115,12
228,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
736,M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
2531,M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10
2417,M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
1579,I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
1361,F,0.605,0.475,0.175,1.076,0.463,0.2195,0.335,9
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
2755,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
640,M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
822,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
137,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
1347,I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
2295,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
2717,I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
2885,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
946,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
1690,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
