,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Shell_weight,9.953321364452425,"{'belowMean': 1, 'aboveMean': 2}",7.219952236123295,0,False,False
1,1,0,{'Shell_weight': 'belowMean'},True,Sex,8.43287037037037,"{'F': 3, 'M': 4, 'I': 5}",4.581139352387142,1,False,False
2,2,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.581164807930607,"{'aboveMean': 6, 'belowMean': 7}",8.703126266525294,1,False,False
3,3,1,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Height,9.881656804733728,"{'belowMean': 8, 'aboveMean': 9}",5.798276766435657,2,False,False
4,4,1,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,9.333333333333334,"{'aboveMean': 10, 'belowMean': 11}",4.224252793115069,2,False,False
5,5,1,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.456896551724138,"{'belowMean': 12, 'aboveMean': 13}",3.5489396968182576,2,False,False
6,6,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Length,11.431918008784773,"{'aboveMean': 14, 'belowMean': 15}",8.018572745512717,2,False,False
7,7,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,12.403225806451612,"{'F': 16, 'M': 17, 'I': 18}",11.536225377247673,2,False,False
8,8,3,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean'}",True,Diameter,9.49074074074074,"{'belowMean': 19, 'aboveMean': 20}",5.301455624985037,3,False,False
9,9,3,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean'}",True,Shucked_weight,10.573770491803279,"{'aboveMean': 21, 'belowMean': 22}",5.2972211632143,3,False,False
10,10,4,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean'}",True,Shucked_weight,9.625,"{'aboveMean': 23, 'belowMean': 24}",3.2255859375,3,False,False
11,11,4,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean'}",True,Diameter,9.221556886227544,"{'belowMean': 25, 'aboveMean': 26}",4.126648290720147,3,False,False
12,12,5,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Length,7.176328502415459,"{'belowMean': 27, 'aboveMean': 28}",3.0248170079776298,3,False,False
13,13,5,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Diameter,9.78,"{'belowMean': 29, 'aboveMean': 30}",5.4299358974358976,3,False,False
14,14,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Length': 'aboveMean'}",True,Viscera_weight,11.451851851851853,"{'aboveMean': 31, 'belowMean': 32}",7.9877121609798785,3,False,False
15,15,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Length': 'belowMean'}",True,Diameter,9.75,"{'aboveMean': 33, 'belowMean': 34}",5.583333333333333,3,False,False
16,16,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'F'}",True,Diameter,12.980392156862745,"{'belowMean': 35, 'aboveMean': 36}",14.529411764705882,3,False,False
17,17,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'M'}",True,Diameter,12.517857142857142,"{'belowMean': 37, 'aboveMean': 38}",8.940070346320345,3,False,False
18,18,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'I'}",True,Height,10.294117647058824,"{'aboveMean': 39, 'belowMean': 40}",5.025210084033613,3,False,False
19,19,8,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean', 'Diameter': 'belowMean'}",True,Viscera_weight,9.659340659340659,"{'belowMean': 41, 'aboveMean': 42}",6.030374120261761,4,False,False
20,20,8,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean', 'Diameter': 'aboveMean'}",True,Length,8.588235294117647,"{'aboveMean': 43, 'belowMean': 44}",1.025735294117647,4,False,False
21,21,9,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Whole_weight,8.944444444444445,"{'aboveMean': 45, 'belowMean': 46}",0.6819444444444445,4,False,False
22,22,9,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Length,11.255813953488373,"{'aboveMean': 47, 'belowMean': 48}",7.029516994633274,4,False,False
23,23,10,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Diameter,8.71875,"{'aboveMean': 49, 'belowMean': 50}",0.6487068965517242,4,False,False
24,24,10,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Viscera_weight,10.53125,"{'belowMean': 51, 'aboveMean': 52}",5.357772435897436,4,False,False
25,25,11,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean', 'Diameter': 'belowMean'}",True,Length,9.042857142857143,"{'belowMean': 53, 'aboveMean': 54}",4.0661764705882355,4,False,False
26,26,11,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean', 'Diameter': 'aboveMean'}",True,Viscera_weight,10.148148148148149,"{'aboveMean': 55, 'belowMean': 56}",3.846296296296296,4,False,False
27,27,12,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean', 'Length': 'belowMean'}",True,Diameter,7.038860103626943,"{'belowMean': 57, 'aboveMean': 58}",3.1409470726966906,4,False,False
28,28,12,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean', 'Length': 'aboveMean'}",True,Shucked_weight,9.071428571428571,"{'belowMean': 59, 'aboveMean': 60}",1.119047619047619,4,False,False
