,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
609,M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12
839,I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
1108,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
2000,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
681,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
2512,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
2425,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
3538,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
3911,I,0.355,0.27,0.1,0.216,0.083,0.037,0.075,10
2660,I,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8
271,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
3237,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
865,F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
2170,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7
1209,F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
1835,I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
1140,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
3647,I,0.485,0.365,0.125,0.426,0.163,0.0965,0.151,8
1394,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
4054,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
1464,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
1770,I,0.455,0.335,0.105,0.422,0.229,0.0865,0.1,6
3796,F,0.675,0.54,0.21,1.593,0.686,0.318,0.45,11
3583,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
2253,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
1054,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
955,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
2209,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
3823,F,0.615,0.455,0.135,1.059,0.4735,0.263,0.274,9
305,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
1195,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
1419,F,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
1698,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
3984,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
1442,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
3443,I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7
2892,M,0.53,0.405,0.15,0.8315,0.352,0.187,0.2525,10
4107,I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086,7
2235,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
1748,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
1724,F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
398,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
1060,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
3327,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
436,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
3446,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
3940,M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
2589,M,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
3287,M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12
2961,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
1903,M,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10
1152,M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8
2451,M,0.35,0.26,0.09,0.198,0.0725,0.056,0.06,10
1258,I,0.43,0.315,0.095,0.378,0.175,0.08,0.1045,8
1459,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
2924,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
3793,F,0.665,0.525,0.18,1.5785,0.678,0.229,0.456,14
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
2723,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
2135,M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12
934,I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8
2022,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
365,M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
782,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
3221,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
2201,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
446,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
3114,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
2069,M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
2877,I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
165,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
2032,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,12
2720,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7
3772,M,0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
3396,M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
1837,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
811,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
1133,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
2893,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
2147,M,0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12
2148,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8
3211,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10
3410,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
961,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
3415,F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9
3978,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
3311,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,12
3713,M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
3177,F,0.505,0.41,0.135,0.657,0.291,0.133,0.195,15
3210,M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12
899,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
2090,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
3528,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
3640,I,0.445,0.345,0.12,0.4035,0.169,0.0825,0.13,7
3111,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8
284,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14
2395,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
3679,M,0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
2040,I,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,8
4120,M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
1363,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
3551,I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
469,M,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
2120,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
4041,I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
2577,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
3678,F,0.605,0.49,0.15,1.1345,0.4305,0.2525,0.35,10
3028,I,0.515,0.385,0.125,0.572,0.237,0.1435,0.165,7
2434,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
2023,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
617,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
3169,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
3246,M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13
1273,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
1012,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
3607,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8
2083,M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11
3296,F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
2963,F,0.67,0.525,0.19,1.527,0.5755,0.353,0.44,12
1171,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
30,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10
683,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
4025,I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
4008,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
826,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
3770,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
3140,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20
3839,M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
1955,F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
455,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
500,F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12
2265,F,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13
1163,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
2505,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
1411,F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
2527,M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
3189,M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7
1935,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
3078,F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
385,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
2131,M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
424,I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
3961,M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
3279,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
3725,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
1173,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
3632,I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5
4114,F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9
145,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
1336,M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
1799,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
1912,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
1270,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8
2452,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
2167,F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
2931,F,0.615,0.515,0.135,1.1215,0.545,0.2305,0.29,9
767,M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9
2826,M,0.5,0.365,0.13,0.5945,0.309,0.1085,0.1535,9
822,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
2003,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6
1222,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
2633,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
3921,M,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10
1090,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
3710,M,0.685,0.535,0.175,1.432,0.637,0.247,0.46,11
1871,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
3283,F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11
1388,M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
3540,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
3119,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
360,M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
2932,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
3096,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
