,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,229,144,9.0,36.0,1
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,244,156,9.0,1.0,1
7,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,27,11,16.0,0.0,1
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,243,156,9.833333333333334,0.6944444444444454,1
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,27,11,16.0,9.0,1
11,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,146,79,9.0,1.0,1
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,138,74,10.0,0.0,1
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,71,32,8.0,4.0,1
18,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,230,145,9.5,6.25,1
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,223,140,8.0,1.0,1
24,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,186,107,17.0,49.0,1
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,111,56,16.0,16.0,1
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,158,87,11.0,16.0,1
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,92,43,8.5,90.25,1
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,157,86,10.2,77.44000000000001,1
34,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,159,88,11.17123287671233,3.344389191217863,1
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,27,11,16.0,25.0,1
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,198,120,8.5,6.25,1
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,68,31,14.0,36.0,1
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,230,145,9.5,6.25,1
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,218,136,12.0,4.0,1
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,223,140,8.0,0.0,1
57,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,243,156,9.833333333333334,3.3611111111111134,1
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,146,79,9.0,4.0,1
61,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,226,143,8.0,1.0,1
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,223,140,8.0,4.0,1
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,146,79,9.0,4.0,1
65,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,243,156,9.833333333333334,3.3611111111111134,1
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,219,136,8.833333333333334,1.3611111111111098,1
70,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,113,57,10.0,9.0,1
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,71,32,8.0,0.0,1
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,55,24,13.88888888888889,37.34567901234568,1
75,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,182,105,13.0,4.0,1
78,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,27,11,16.0,25.0,1
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,180,104,11.1,8.410000000000002,1
81,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,55,24,13.88888888888889,3.567901234567903,1
86,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,55,24,13.88888888888889,0.7901234567901242,1
88,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,134,72,15.0,36.0,1
89,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,27,11,16.0,16.0,1
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,113,57,10.0,25.0,1
91,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,113,57,10.0,4.0,1
92,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,175,100,11.5,2.25,1
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,164,91,11.0,16.0,1
96,M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,190,112,12.6,12.959999999999997,1
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,241,153,13.5,30.25,1
100,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,203,123,9.0,4.0,1
101,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,113,57,10.0,25.0,1
107,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,76,35,8.0,4.0,1
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,217,135,11.5,6.25,1
114,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,224,141,9.333333333333334,2.777777777777776,1
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,71,32,8.0,9.0,1
116,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,76,35,8.0,9.0,1
119,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,230,145,9.5,2.25,1
120,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,71,32,8.0,1.0,1
121,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,124,65,8.0,1.0,1
123,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,81,37,10.0,16.0,1
128,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,164,91,11.0,64.0,1
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,211,131,9.74468085106383,7.5332729741964695,1
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,119,62,8.0,1.0,1
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,213,132,9.6,2.5599999999999987,1
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,27,11,16.0,36.0,1
144,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,243,156,9.833333333333334,0.027777777777777582,1
146,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,242,155,12.076923076923077,4.3136094674556205,1
152,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,184,106,12.058823529411764,4.238754325259515,1
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,179,104,11.666666666666666,2.777777777777776,1
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,27,11,16.0,9.0,1
158,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,27,11,16.0,9.0,1
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,27,11,16.0,9.0,1
161,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,55,24,13.88888888888889,0.7901234567901242,1
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,172,97,8.5,12.25,1
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,159,88,11.17123287671233,46.63206042409457,1
164,F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,161,89,10.22222222222222,33.38271604938274,1
168,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,165,91,13.0,1.0,1
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,184,106,12.058823529411764,0.003460207612456723,1
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,162,90,11.437299035369774,6.56743623411669,1
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,27,11,16.0,81.0,1
172,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,110,56,14.0,36.0,1
174,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,119,62,8.0,9.0,1
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,198,120,8.5,12.25,1
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,101,51,10.0,1.0,1
180,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,174,100,12.666666666666666,1.7777777777777795,1
183,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,180,104,11.1,1.2099999999999993,1
184,F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,49,22,9.0,9.0,1
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,172,97,8.5,20.25,1
193,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,124,65,8.0,0.0,1
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,27,11,16.0,9.0,1
206,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,204,125,10.176470588235292,1.3840830449826933,1
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,27,11,16.0,9.0,1
209,I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,124,65,8.0,1.0,1
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,217,135,11.5,2.25,1
213,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,154,84,16.0,49.0,1
214,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,219,136,8.833333333333334,26.69444444444444,1
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,242,155,12.076923076923077,16.621301775147927,1
220,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,134,72,15.0,36.0,1
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,206,126,9.6,0.16000000000000028,1
234,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,206,126,9.6,5.760000000000002,1
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,198,120,8.5,0.25,1
237,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,197,118,7.050632911392405,16.407626982855312,1
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,197,118,7.050632911392405,4.205095337285693,1
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,110,56,14.0,9.0,1
243,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,198,120,8.5,0.25,1
244,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,198,120,8.5,0.25,1
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,202,123,8.4,0.3599999999999996,1
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,175,100,11.5,2.25,1
255,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,110,56,14.0,1.0,1
256,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19,110,56,14.0,25.0,1
260,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,181,105,14.0,9.0,1
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4,119,62,8.0,16.0,1
264,M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,233,148,8.0,4.0,1
268,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,190,112,12.6,12.959999999999997,1
272,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,55,24,13.88888888888889,0.012345679012345592,1
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,173,99,12.5,6.25,1
276,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12,55,24,13.88888888888889,3.567901234567903,1
279,F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,11,27,11,16.0,25.0,1
280,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,27,11,16.0,1.0,1
282,F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9,216,133,13.333333333333334,18.777777777777782,1
284,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14,110,56,14.0,0.0,1
286,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,154,84,16.0,36.0,1
287,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17,217,135,11.5,30.25,1
290,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,110,56,14.0,9.0,1
291,F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12,184,106,12.058823529411764,0.003460207612456723,1
292,M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,174,100,12.666666666666666,5.444444444444447,1
293,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19,27,11,16.0,9.0,1
295,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6,198,120,8.5,6.25,1
297,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4,198,120,8.5,20.25,1
299,M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,81,37,10.0,1.0,1
300,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,71,32,8.0,1.0,1
304,F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10,218,136,12.0,4.0,1
306,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3,197,118,7.050632911392405,16.407626982855312,1
311,M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,110,56,14.0,0.0,1
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23,183,106,12.4,112.36,1
316,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14,161,89,10.22222222222222,14.271604938271624,1
319,I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6,198,120,8.5,6.25,1
325,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,124,65,8.0,1.0,1
