,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Shell_weight,9.884500299222022,"{'belowMean': 1, 'aboveMean': 2}",7.329060414149533,0,False,False
1,1,0,{'Shell_weight': 'belowMean'},True,Sex,8.242178447276942,"{'M': 3, 'F': 4, 'I': 5}",4.842943149239874,1,False,False
2,2,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.63861386138614,"{'belowMean': 6, 'aboveMean': 7}",8.680550184716335,1,False,False
3,3,1,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,9.105504587155965,"{'belowMean': 8, 'aboveMean': 9}",5.760176457320303,2,False,False
4,4,1,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Height,9.695652173913045,"{'aboveMean': 10, 'belowMean': 11}",4.69878163643545,2,False,False
5,5,1,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.369834710743802,"{'belowMean': 12, 'aboveMean': 13}",3.790223516153268,2,False,False
6,6,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,12.78813559322034,"{'F': 14, 'M': 15, 'I': 16}",12.692014920489497,2,False,False
7,7,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Height,11.442028985507246,"{'aboveMean': 17, 'belowMean': 18}",7.745554316636516,2,False,False
8,8,3,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean'}",True,Viscera_weight,8.806060606060607,"{'belowMean': 19, 'aboveMean': 20}",5.037845818640521,3,False,False
9,9,3,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean'}",True,Length,10.037735849056604,"{'belowMean': 21, 'aboveMean': 22}",7.201401617250673,3,False,False
10,10,4,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean'}",True,Whole_weight,10.471698113207546,"{'belowMean': 23, 'aboveMean': 24}",5.1247494643721065,3,False,False
11,11,4,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean'}",True,Viscera_weight,9.314814814814817,"{'belowMean': 25, 'aboveMean': 26}",3.950566893424036,3,False,False
12,12,5,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Length,7.154545454545454,"{'belowMean': 27, 'aboveMean': 28}",3.56707189411267,3,False,False
13,13,5,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Shucked_weight,9.522727272727272,"{'belowMean': 29, 'aboveMean': 30}",3.684011164274322,3,False,False
14,14,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'F'}",True,Height,13.54054054054054,"{'belowMean': 31, 'aboveMean': 32}",15.399155405405404,3,False,False
