,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
2303,F,0.58,0.455,0.12,0.94,0.399,0.257,0.265,11
1216,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
534,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
3414,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
1222,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
2023,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
1576,I,0.49,0.375,0.115,0.4615,0.204,0.0945,0.143,8
2214,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
3001,M,0.64,0.495,0.165,1.307,0.678,0.292,0.266,11
1981,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12
2656,M,0.545,0.42,0.12,0.7865,0.403,0.185,0.17,7
3232,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
4088,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
414,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,15
4000,I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
4066,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
3554,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
382,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
2918,I,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
3569,I,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
3017,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115,8
627,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
1460,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
3478,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
