,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,Shell_weight,9.906642728904847,"{'belowMean': 1, 'aboveMean': 2}",7.67389688088554,0,False,False
1,1,1,0,{'Shell_weight': 'belowMean'},True,Sex,8.320557491289199,"{'M': 3, 'I': 4, 'F': 5}",5.118387240637727,1,False,False
2,2,2,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.592592592592592,"{'aboveMean': 6, 'belowMean': 7}",9.041829076390323,1,False,False
3,3,3,1,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,9.055555555555555,"{'belowMean': 8, 'aboveMean': 9}",4.420688657407407,2,False,False
4,4,4,1,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.464212678936605,"{'belowMean': 10, 'aboveMean': 11}",4.180887910090364,2,False,False
5,5,5,1,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Height,9.987179487179487,"{'belowMean': 12, 'aboveMean': 13}",6.632438316400581,2,False,False
6,6,6,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Height,11.395953757225431,"{'aboveMean': 14, 'belowMean': 15}",8.424678587927751,2,False,False
7,7,7,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,12.745762711864408,"{'F': 16, 'M': 17, 'I': 18}",11.173554756605604,2,False,False
8,8,8,3,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean'}",True,Diameter,8.68125,"{'belowMean': 19, 'aboveMean': 20}",3.632545970266041,3,False,False
9,9,9,3,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean'}",True,Length,10.125,"{'belowMean': 21, 'aboveMean': 22}",4.915389527458493,3,False,False
10,10,10,4,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Length,7.264444444444444,"{'belowMean': 23, 'aboveMean': 24}",3.797953431372549,3,False,False
11,11,11,4,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Shucked_weight,9.76923076923077,"{'belowMean': 25, 'aboveMean': 26}",6.938186813186813,3,False,False
12,12,12,5,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean'}",True,Shucked_weight,9.556603773584904,"{'aboveMean': 27, 'belowMean': 28}",6.3875618894687545,3,False,False
13,13,13,5,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean'}",True,Whole_weight,10.9,"{'belowMean': 29, 'aboveMean': 30}",4.742857142857143,3,False,False
14,14,14,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Height': 'aboveMean'}",True,Viscera_weight,11.43157894736842,"{'aboveMean': 31, 'belowMean': 32}",8.53883014623172,3,False,False
15,15,15,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Height': 'belowMean'}",True,Sex,10.51851851851852,"{'M': 33, 'F': 34, 'I': 35}",4.728703703703704,3,False,False
16,16,16,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'F'}",True,Viscera_weight,13.795454545454543,"{'aboveMean': 36, 'belowMean': 37}",16.930555555555557,3,False,False
17,17,17,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'M'}",True,Diameter,12.74074074074074,"{'belowMean': 38, 'aboveMean': 39}",7.839484126984127,3,False,False
18,18,18,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'I'}",True,Whole_weight,10.45,"{'belowMean': 40, 'aboveMean': 41}",3.023529411764706,3,False,False
19,19,19,8,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean', 'Diameter': 'belowMean'}",True,Viscera_weight,8.56338028169014,"{'belowMean': 42, 'aboveMean': 43}",3.665033680342927,4,False,False
20,20,20,8,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean', 'Diameter': 'aboveMean'}",True,Length,9.61111111111111,"{'aboveMean': 44, 'belowMean': 45}",2.3851851851851853,4,False,False
21,21,21,9,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean', 'Length': 'belowMean'}",True,Shucked_weight,11.37037037037037,"{'belowMean': 46, 'aboveMean': 47}",8.75925925925926,4,False,False
22,22,22,9,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean', 'Length': 'aboveMean'}",True,Shucked_weight,8.96551724137931,"{'belowMean': 48, 'aboveMean': 49}",0.8705647176411794,4,True,True
23,23,23,10,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean', 'Length': 'belowMean'}",True,Diameter,7.15625,"{'belowMean': 50, 'aboveMean': 51}",4.011194666915006,4,False,False
24,24,24,10,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean', 'Length': 'aboveMean'}",True,Whole_weight,8.588235294117647,"{'belowMean': 52, 'aboveMean': 53}",1.0137867647058822,4,False,False
25,25,25,11,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Viscera_weight,9.8125,"{'belowMean': 54, 'aboveMean': 55}",8.272321428571429,4,False,False
26,26,26,11,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Diameter,9.571428571428571,"{'aboveMean': 56, 'belowMean': 57}",0.4047619047619047,4,False,False
27,27,27,12,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean', 'Shucked_weight': 'aboveMean'}",True,Viscera_weight,8.833333333333334,"{'belowMean': 58, 'aboveMean': 59}",1.6714285714285717,4,False,False
28,28,28,12,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean', 'Shucked_weight': 'belowMean'}",True,Length,9.648936170212766,"{'belowMean': 60, 'aboveMean': 61}",6.954462895692787,4,False,False
29,29,29,13,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean', 'Whole_weight': 'belowMean'}",True,Length,11.885714285714286,"{'aboveMean': 62, 'belowMean': 63}",5.97640977443609,4,False,False
