,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
1,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
11,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
14,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
18,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
20,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
24,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
25,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
36,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
41,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
42,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
54,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
58,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
66,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12
67,F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10
75,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15
77,F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10
78,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
80,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
81,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
83,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
89,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
92,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
95,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
101,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
102,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
104,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
117,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
120,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
121,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
125,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
131,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
133,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
137,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
138,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
139,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
144,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10
147,I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
148,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
149,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15
154,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
156,F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
161,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13
163,F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
168,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
182,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
183,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
192,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
211,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
214,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
215,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
221,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
222,F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
225,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
228,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
229,F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13
232,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
