,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Shell_weight,9.926989826451226,"{'aboveMean': 1, 'belowMean': 2}",7.221189830446722,0,False,False
1,1,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.612546125461254,"{'aboveMean': 3, 'belowMean': 4}",8.949120576508129,1,False,False
2,2,0,{'Shell_weight': 'belowMean'},True,Sex,8.32983682983683,"{'M': 5, 'I': 6, 'F': 7}",4.4289997579471265,1,False,False
3,3,1,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Height,11.402349486049927,"{'aboveMean': 8, 'belowMean': 9}",8.194020324389268,2,False,False
4,4,1,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,12.696969696969697,"{'M': 10, 'F': 11, 'I': 12}",11.616965881919768,2,False,False
5,5,2,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,9.105263157894736,"{'aboveMean': 13, 'belowMean': 14}",4.632330827067669,2,False,False
6,6,2,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.5,"{'belowMean': 15, 'aboveMean': 16}",3.617543160407014,2,False,False
7,7,2,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Shucked_weight,9.837837837837839,"{'belowMean': 17, 'aboveMean': 18}",4.521856639247944,2,False,False
8,8,3,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Height': 'aboveMean'}",True,Sex,11.454545454545455,"{'M': 19, 'F': 20, 'I': 21}",8.344359531671996,3,False,False
9,9,3,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Height': 'belowMean'}",True,Diameter,10.34375,"{'aboveMean': 22, 'belowMean': 23}",4.373958333333333,3,False,False
10,10,4,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'M'}",True,Viscera_weight,12.703703703703704,"{'belowMean': 24, 'aboveMean': 25}",8.282578875171467,3,False,False
11,11,4,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'F'}",True,Whole_weight,13.50909090909091,"{'belowMean': 26, 'aboveMean': 27}",16.676848484848485,3,False,False
12,12,4,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'I'}",True,Height,10.73913043478261,"{'aboveMean': 28, 'belowMean': 29}",5.004262574595055,3,False,False
13,13,5,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean'}",True,Shucked_weight,9.8,"{'aboveMean': 30, 'belowMean': 31}",4.307013574660633,3,False,False
14,14,5,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean'}",True,Diameter,8.857142857142858,"{'belowMean': 32, 'aboveMean': 33}",4.246026139173437,3,False,False
15,15,6,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Diameter,7.242424242424242,"{'belowMean': 34, 'aboveMean': 35}",3.336157562244519,3,False,False
16,16,6,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Length,9.584905660377359,"{'aboveMean': 36, 'belowMean': 37}",4.653584905660377,3,False,False
17,17,7,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Shucked_weight': 'belowMean'}",True,Height,10.04,"{'aboveMean': 38, 'belowMean': 39}",4.740309139784947,3,False,False
18,18,7,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Shucked_weight': 'aboveMean'}",True,Whole_weight,8.73913043478261,"{'aboveMean': 40, 'belowMean': 41}",1.3752860411899313,3,False,False
