,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
1542,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
646,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
1900,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
1123,F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
3472,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
2174,F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13
1622,I,0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
3910,M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
2248,M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6
3825,M,0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
2803,M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,12
1498,M,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,11
369,F,0.69,0.56,0.215,1.719,0.68,0.299,0.47,17
2775,I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
3173,M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
2806,F,0.675,0.525,0.17,1.711,0.8365,0.352,0.475,9
3549,I,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9
4090,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11
733,M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
1143,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
1923,F,0.61,0.46,0.145,1.1185,0.478,0.2945,0.2985,10
673,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
3252,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
3362,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
711,M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11
450,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
2050,M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8
2013,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
457,I,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9
3219,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
3048,I,0.59,0.47,0.145,0.974,0.453,0.236,0.289,8
995,M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9
1133,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
2777,I,0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
2394,I,0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
3282,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
2152,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
2102,I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
3245,F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
1232,I,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
3857,M,0.655,0.515,0.2,1.373,0.443,0.3375,0.49,16
1017,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
455,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
362,F,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
1586,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
4054,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
4163,I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
117,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
636,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7
1468,M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8
2298,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7
2874,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
81,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
3452,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
2086,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
2212,F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13
2938,F,0.625,0.5,0.16,1.217,0.5725,0.207,0.355,11
373,F,0.7,0.575,0.17,1.31,0.5095,0.314,0.42,14
3150,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
1638,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
2848,F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
4108,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
2161,F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
1216,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
4053,F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36,10
4152,I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
1795,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
1983,F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
3889,M,0.62,0.5,0.2,1.221,0.4605,0.263,0.43,12
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
843,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
1552,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
1690,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
2838,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
3996,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
1875,F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
1066,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
2290,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
876,M,0.635,0.51,0.17,1.3555,0.619,0.305,0.39,9
2450,F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10
2528,F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
2114,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
529,M,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9
3239,F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
3499,F,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9
1702,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
2366,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
1044,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8
663,F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12
2952,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12
823,I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
