,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,Shell_weight,10.014961101137043,"{'belowMean': 1, 'aboveMean': 2}",8.062379981031569,0,False,False
1,1,1,0,{'Shell_weight': 'belowMean'},True,Sex,8.380069524913093,"{'I': 3, 'F': 4, 'M': 5}",5.175663119560466,1,False,False
2,2,2,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.761138613861386,"{'aboveMean': 6, 'belowMean': 7}",9.742159906780152,1,False,False
3,3,3,1,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.476890756302521,"{'belowMean': 8, 'aboveMean': 9}",3.50445755225167,2,False,False
4,4,4,1,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Height,10.136094674556212,"{'aboveMean': 10, 'belowMean': 11}",7.311354384481915,2,False,False
5,5,5,1,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,8.990825688073395,"{'belowMean': 12, 'aboveMean': 13}",5.324017911290209,2,False,False
6,6,6,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Viscera_weight,11.58187134502924,"{'aboveMean': 14, 'belowMean': 15}",9.103206526846137,2,False,False
7,7,7,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,12.75,"{'M': 16, 'F': 17, 'I': 18}",12.490029628150072,2,False,False
8,8,8,3,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Diameter,7.173076923076923,"{'belowMean': 19, 'aboveMean': 20}",3.170258380859647,3,False,False
9,9,9,3,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Diameter,9.583333333333334,"{'aboveMean': 21, 'belowMean': 22}",3.967931547619048,3,False,False
10,10,10,4,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'aboveMean'}",True,Shucked_weight,11.052631578947368,"{'belowMean': 23, 'aboveMean': 24}",7.104801477377656,3,False,False
11,11,11,4,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Height': 'belowMean'}",True,Shucked_weight,9.669642857142858,"{'belowMean': 25, 'aboveMean': 26}",5.954584478021978,3,False,False
12,12,12,5,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'belowMean'}",True,Diameter,8.802395209580839,"{'belowMean': 27, 'aboveMean': 28}",5.234863606121091,3,False,False
13,13,13,5,"{'Shell_weight': 'belowMean', 'Sex': 'M', 'Height': 'aboveMean'}",True,Length,9.607843137254902,"{'aboveMean': 29, 'belowMean': 30}",3.230360531309298,3,False,False
14,14,14,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Viscera_weight': 'aboveMean'}",True,Sex,11.637904468412945,"{'I': 31, 'F': 32, 'M': 33}",9.29992123712352,3,False,False
15,15,15,6,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean', 'Viscera_weight': 'belowMean'}",True,Sex,10.542857142857144,"{'M': 34, 'I': 35, 'F': 36}",4.629770229770229,3,False,False
16,16,16,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'M'}",True,Diameter,12.96078431372549,"{'aboveMean': 37, 'belowMean': 38}",9.297081623347012,3,False,False
17,17,17,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'F'}",True,Height,13.052631578947368,"{'aboveMean': 39, 'belowMean': 40}",16.3504873294347,3,False,False
18,18,18,7,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean', 'Sex': 'I'}",True,Length,11.0,"{'aboveMean': 41, 'belowMean': 42}",5.0625,3,False,False
