,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
3991,M,0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
1138,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
2732,I,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8
1074,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
3074,M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11
2279,M,0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,10
973,M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
512,F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
2320,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10
1748,F,0.705,0.545,0.17,1.58,0.6435,0.4565,0.265,11
1786,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
2642,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
328,M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8
4099,M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9
334,F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
3745,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
803,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
1821,F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9
2323,I,0.395,0.325,0.105,0.306,0.111,0.0735,0.095,8
3316,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
3502,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
2386,F,0.485,0.365,0.14,0.6195,0.2595,0.1445,0.177,14
4173,M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
413,M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
2002,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
331,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
3485,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7
515,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6
2000,I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
3795,M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
3130,M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
2357,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
1861,M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
2816,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
758,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
2585,F,0.55,0.425,0.125,0.964,0.5475,0.159,0.215,8
3590,F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
3862,M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
2024,M,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11
2217,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
449,F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
684,M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
1967,M,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
1718,M,0.65,0.505,0.19,1.274,0.59,0.23,0.391,11
562,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
2063,M,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
3657,M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
798,M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
2471,M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20
3184,F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13
2082,F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
214,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
3262,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14
3758,I,0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
3708,F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
2864,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
3289,M,0.535,0.42,0.16,0.72,0.275,0.164,0.225,15
815,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
2873,I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6
508,M,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
1619,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
213,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
3534,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
751,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
2142,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
901,I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037,6
1793,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10
1874,I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
3190,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
1280,M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
4009,M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
4158,I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
1808,F,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,10
330,M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12
538,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
2849,M,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10
1554,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
1465,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
2327,M,0.475,0.395,0.135,0.592,0.2465,0.1645,0.2,13
1004,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
3616,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
1948,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
799,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
2919,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
3126,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11
190,M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13
1662,F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
