,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
0,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
1,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10
19,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10
25,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
44,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
56,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
59,F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7
65,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
73,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
80,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
83,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
84,M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
92,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
99,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10
100,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
101,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
102,M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15
104,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9
113,M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
116,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
117,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
119,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
121,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
122,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
126,I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6
128,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
129,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
130,M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16
145,F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10
146,M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
149,I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4
151,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
159,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
160,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
167,F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
173,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
174,I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
178,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11
180,M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16
198,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
205,F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
215,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
218,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
223,F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
228,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11
233,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
237,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
241,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
242,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
253,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
255,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
257,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,13
