,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Height,9.819269898264512,"{'belowMean': 1, 'aboveMean': 2}",7.57358454265526,0,False,False
1,1,0,{'Height': 'belowMean'},True,Sex,8.128865979381443,"{'F': 3, 'M': 4, 'I': 5}",4.755829090555351,1,True,True
2,2,0,{'Height': 'aboveMean'},True,Shell_weight,11.28491620111732,"{'aboveMean': 6, 'belowMean': 7}",8.762629533736126,1,False,False
3,3,1,"{'Height': 'belowMean', 'Sex': 'F'}",True,Viscera_weight,9.803149606299211,"{'belowMean': 8, 'aboveMean': 9}",6.519398711524696,2,True,True
4,4,1,"{'Height': 'belowMean', 'Sex': 'M'}",True,Shell_weight,9.131979695431472,"{'belowMean': 10, 'aboveMean': 11}",4.749737972420313,2,False,False
5,5,1,"{'Height': 'belowMean', 'Sex': 'I'}",True,Diameter,7.221238938053097,"{'belowMean': 12, 'aboveMean': 13}",3.6734654992022446,2,False,False
6,6,2,"{'Height': 'aboveMean', 'Shell_weight': 'aboveMean'}",True,Shucked_weight,11.497304582210242,"{'belowMean': 14, 'aboveMean': 15}",8.931787425396676,2,False,False
7,7,2,"{'Height': 'aboveMean', 'Shell_weight': 'belowMean'}",True,Length,10.254901960784316,"{'aboveMean': 16, 'belowMean': 17}",6.117526395173454,2,False,False
8,8,3,"{'Height': 'belowMean', 'Sex': 'F', 'Viscera_weight': 'belowMean'}",True,Shucked_weight,9.61818181818182,"{'belowMean': 18, 'aboveMean': 19}",6.422337662337663,3,False,False
9,9,3,"{'Height': 'belowMean', 'Sex': 'F', 'Viscera_weight': 'aboveMean'}",True,Shucked_weight,11.0,"{'aboveMean': 20, 'belowMean': 21}",3.5126050420168067,3,True,True
10,10,4,"{'Height': 'belowMean', 'Sex': 'M', 'Shell_weight': 'belowMean'}",True,Diameter,8.842105263157896,"{'belowMean': 22, 'aboveMean': 23}",4.156854922694865,3,False,False
11,11,4,"{'Height': 'belowMean', 'Sex': 'M', 'Shell_weight': 'aboveMean'}",True,Shucked_weight,11.038461538461538,"{'belowMean': 24, 'aboveMean': 25}",6.378079436902966,3,True,True
