,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
3128,F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
2992,I,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
1346,M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
2383,F,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
3364,M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
388,M,0.49,0.42,0.125,0.609,0.239,0.1435,0.22,14
932,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
867,F,0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
2632,I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
3787,M,0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
3190,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
4052,M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
1075,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
2796,M,0.63,0.525,0.195,1.3135,0.4935,0.2565,0.465,10
3141,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
1860,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
3955,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
3325,M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
4016,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
3122,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8
397,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
1390,F,0.635,0.5,0.165,1.4595,0.705,0.2645,0.39,9
1424,F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
2261,M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11
3988,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
3104,M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10
106,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11
2264,I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14
2409,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
3274,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18
2830,F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
1396,M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
2746,I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8
777,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
1329,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
1456,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
2561,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
3615,M,0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
2250,M,0.655,0.59,0.2,1.5455,0.654,0.3765,0.415,11
342,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
2614,M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
1267,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
64,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
3003,F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
2167,F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
4174,M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308,9
2899,I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8
3087,I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7
3466,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
501,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
2025,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
1252,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
1731,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
820,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7
3173,M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
3031,I,0.525,0.4,0.11,0.6275,0.3015,0.126,0.18,8
869,M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
1687,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9
3629,I,0.27,0.205,0.05,0.084,0.03,0.0185,0.029,6
2257,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
1164,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
2897,I,0.545,0.43,0.15,0.742,0.3525,0.158,0.208,10
4122,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
849,M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
2458,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
1750,F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
10,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
2526,M,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9
3192,F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14
3644,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
1332,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
2789,F,0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,9
1451,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
195,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
1594,I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,7
904,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
1894,M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11
1795,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
3725,M,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9
1128,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
1254,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
1500,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
1302,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
4106,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
2012,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
579,F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
3213,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13
3795,M,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
3187,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
398,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
2031,F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10
380,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
1139,F,0.575,0.47,0.165,0.869,0.435,0.197,0.238,9
1454,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
444,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
3748,I,0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
1269,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
1938,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
1400,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
1586,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
3643,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
727,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
1714,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
2708,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
1912,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
1505,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
2693,M,0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
2056,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
2495,M,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
1465,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
2377,I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12
1955,F,0.645,0.51,0.18,1.6195,0.7815,0.322,0.4675,12
2115,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
1837,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
3269,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
3021,I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
2421,I,0.52,0.415,0.16,0.595,0.2105,0.142,0.26,15
3197,I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7
2345,F,0.71,0.565,0.195,1.7265,0.638,0.3365,0.565,17
2920,M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
587,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
2322,M,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,12
2732,I,0.41,0.325,0.11,0.326,0.1325,0.075,0.101,8
3130,M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
848,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
2591,F,0.585,0.45,0.16,0.9045,0.405,0.2215,0.2335,8
3843,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
3242,M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15
357,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18
1213,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
1492,F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
2650,I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
3589,M,0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
3971,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
3167,M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
3397,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12
944,F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
2491,F,0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
3534,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
1486,F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,9
