,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Shell_weight,9.922800718132855,"{'belowMean': 1, 'aboveMean': 2}",7.5799105750108975,0,False,False
1,1,0,{'Shell_weight': 'belowMean'},True,Sex,8.306451612903226,"{'F': 3, 'I': 4, 'M': 5}",4.842130995815916,1,False,False
2,2,0,{'Shell_weight': 'aboveMean'},True,Shucked_weight,11.669987546699875,"{'aboveMean': 6, 'belowMean': 7}",9.120559323385768,1,False,False
3,3,1,"{'Shell_weight': 'belowMean', 'Sex': 'F'}",True,Shucked_weight,9.852941176470589,"{'belowMean': 8, 'aboveMean': 9}",5.8203081232492995,2,False,False
4,4,1,"{'Shell_weight': 'belowMean', 'Sex': 'I'}",True,Height,7.435318275154004,"{'aboveMean': 10, 'belowMean': 11}",3.6036094521635755,2,False,False
5,5,1,"{'Shell_weight': 'belowMean', 'Sex': 'M'}",True,Height,9.071090047393366,"{'aboveMean': 12, 'belowMean': 13}",5.181647887176591,2,False,False
6,6,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'aboveMean'}",True,Length,11.459227467811159,"{'aboveMean': 14, 'belowMean': 15}",8.429544258628912,2,False,False
7,7,2,"{'Shell_weight': 'aboveMean', 'Shucked_weight': 'belowMean'}",True,Sex,13.086538461538462,"{'M': 16, 'F': 17, 'I': 18}",12.255834454363866,2,False,False
8,8,3,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Shucked_weight': 'belowMean'}",True,Height,10.071428571428571,"{'belowMean': 19, 'aboveMean': 20}",6.2012980785697165,3,False,False
9,9,3,"{'Shell_weight': 'belowMean', 'Sex': 'F', 'Shucked_weight': 'aboveMean'}",True,Diameter,8.833333333333334,"{'aboveMean': 21, 'belowMean': 22}",1.4444444444444444,3,False,False
10,10,4,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'aboveMean'}",True,Shucked_weight,9.68,"{'belowMean': 23, 'aboveMean': 24}",5.208111888111888,3,False,False
11,11,4,"{'Shell_weight': 'belowMean', 'Sex': 'I', 'Height': 'belowMean'}",True,Length,7.178489702517163,"{'belowMean': 25, 'aboveMean': 26}",3.185600323776991,3,False,False
