,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,Uniformity_of_cell_size,2,"{'aboveMean': 1, 'belowMean': 2}",0.6639264338923953,0,False,False
1,1,1,0,{'Uniformity_of_cell_size': 'aboveMean'},True,Normal_nucleoli,4,"{'belowMean': 3, 'aboveMean': 4}",0.0778152289990881,1,False,False
2,2,2,0,{'Uniformity_of_cell_size': 'belowMean'},True,Bare_nuclei,2,"{'belowMean': 5, 'aboveMean': 6}",0.4756905281877069,1,True,True
3,3,3,1,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean'}",True,Bare_nuclei,4,"{'aboveMean': 7, 'belowMean': 8}",0.4895144220070928,2,False,False
4,4,4,1,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean'}",True,Clump_thickness,4,"{'belowMean': 9, 'aboveMean': 10}",0.0510720869913394,2,False,False
5,5,5,2,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean'}",True,Bland_chromatin,2,"{'belowMean': 11, 'aboveMean': 12}",0.5197554169776456,2,False,False
6,6,6,2,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean'}",True,Clump_thickness,4,"{'belowMean': 13, 'aboveMean': 14}",0.3433239537432204,2,True,True
7,7,7,3,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean'}",True,Bland_chromatin,4,"{'belowMean': 15, 'aboveMean': 16}",0.1661020988805407,3,False,False
8,8,8,3,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'belowMean'}",True,,2,{},0.0,3,False,True
9,9,9,4,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,Mitoses,4,"{'belowMean': 17, 'aboveMean': 18}",0.0590288132265229,3,False,False
10,10,10,4,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,,4,{},0.0,3,False,True
11,11,11,5,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Bland_chromatin': 'belowMean'}",True,,2,{},0.0,3,False,True
12,12,12,5,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Bland_chromatin': 'aboveMean'}",True,Clump_thickness,4,"{'belowMean': 19, 'aboveMean': 20}",0.999991256383202,3,False,False
13,13,13,6,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,Marginal_adhesion,2,"{'belowMean': 21, 'aboveMean': 22}",0.9999872275307352,3,False,False
14,14,14,6,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,Mitoses,4,"{'belowMean': 23, 'aboveMean': 24}",0.1080293207959336,3,True,True
15,15,15,7,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'belowMean'}",True,Single_epithelial_cell_size,2,"{'aboveMean': 25, 'belowMean': 26}",0.9999800684314308,4,False,False
16,16,16,7,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'aboveMean'}",True,Single_epithelial_cell_size,4,"{'aboveMean': 27, 'belowMean': 28}",0.0590288132265229,4,False,False
17,17,17,9,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'belowMean'}",True,Single_epithelial_cell_size,4,"{'aboveMean': 29, 'belowMean': 30}",0.0690823637758309,4,False,False
18,18,18,9,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'aboveMean'}",True,,4,{},0.0,4,False,True
19,19,19,12,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,,2,{},0.0,4,False,True
20,20,20,12,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,,4,{},0.0,4,False,True
21,21,21,13,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'belowMean', 'Marginal_adhesion': 'belowMean'}",True,,2,{},0.0,4,False,True
22,22,22,13,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'belowMean', 'Marginal_adhesion': 'aboveMean'}",True,,4,{},0.0,4,False,True
23,23,23,14,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Mitoses': 'belowMean'}",True,Marginal_adhesion,4,"{'aboveMean': 31, 'belowMean': 32}",0.3315552752320583,4,False,False
24,24,24,14,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Mitoses': 'aboveMean'}",True,,4,{},0.0,4,False,True
25,25,25,15,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,,2,{},0.0,5,False,True
26,26,26,15,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'belowMean'}",True,,4,{},0.0,5,False,True
27,27,27,16,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,Clump_thickness,4,"{'aboveMean': 33, 'belowMean': 34}",0.0690823637758309,5,False,False
28,28,28,16,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean'}",True,,4,{},0.0,5,False,True
29,29,29,17,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,Bare_nuclei,4,"{'aboveMean': 35, 'belowMean': 36}",0.0744779754797142,5,False,False
30,30,30,17,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'belowMean', 'Single_epithelial_cell_size': 'belowMean'}",True,,4,{},0.0,5,False,True
31,31,31,23,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Mitoses': 'belowMean', 'Marginal_adhesion': 'aboveMean'}",True,Bland_chromatin,2,"{'aboveMean': 37, 'belowMean': 38}",0.9999800684314308,5,False,False
32,32,32,23,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Mitoses': 'belowMean', 'Marginal_adhesion': 'belowMean'}",True,,4,{},0.0,5,False,True
33,33,33,27,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,Mitoses,4,"{'belowMean': 39, 'aboveMean': 40}",0.1188798272108459,6,False,False
34,34,34,27,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Bland_chromatin': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,,4,{},0.0,6,False,True
35,35,35,29,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean', 'Bare_nuclei': 'aboveMean'}",True,Bland_chromatin,4,{'aboveMean': 41},,6,False,False
36,36,36,29,"{'Uniformity_of_cell_size': 'aboveMean', 'Normal_nucleoli': 'aboveMean', 'Clump_thickness': 'belowMean', 'Mitoses': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean', 'Bare_nuclei': 'belowMean'}",True,,4,{},0.0,6,False,True
37,37,37,31,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Mitoses': 'belowMean', 'Marginal_adhesion': 'aboveMean', 'Bland_chromatin': 'aboveMean'}",True,,2,{},0.0,6,False,True
