,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Uniformity_of_cell_size,2,"{'belowMean': 1, 'aboveMean': 2}",0.6061876681170765,0,False,False
1,1,0,{'Uniformity_of_cell_size': 'belowMean'},True,Bare_nuclei,2,"{'belowMean': 3, 'aboveMean': 4}",0.4129270336373884,1,False,False
2,2,0,{'Uniformity_of_cell_size': 'aboveMean'},True,Marginal_adhesion,4,"{'belowMean': 5, 'aboveMean': 6}",0.1746168813293301,1,False,False
3,3,1,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean'}",True,Uniformity_of_cell_shape,2,"{'belowMean': 7, 'aboveMean': 8}",0.2768573668420767,2,False,False
4,4,1,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean'}",True,Uniformity_of_cell_shape,4,"{'belowMean': 9, 'aboveMean': 10}",0.2390172897134152,2,False,False
5,5,2,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'belowMean'}",True,Clump_thickness,4,"{'belowMean': 11, 'aboveMean': 12}",0.5994515414731008,2,False,False
6,6,2,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'aboveMean'}",True,Normal_nucleoli,4,"{'belowMean': 13, 'aboveMean': 14}",0.0433086900088471,2,False,False
7,7,3,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Uniformity_of_cell_shape': 'belowMean'}",True,Bland_chromatin,2,"{'belowMean': 15, 'aboveMean': 16}",0.1606083471386873,3,False,False
8,8,3,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Uniformity_of_cell_shape': 'aboveMean'}",True,Mitoses,2,"{'belowMean': 17, 'aboveMean': 18}",0.5440285378326915,3,True,True
9,9,4,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_shape': 'belowMean'}",True,Bland_chromatin,4,"{'aboveMean': 19, 'belowMean': 20}",0.1913641785182264,3,False,False
10,10,4,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean'}",True,,4,{},0.0,3,False,True
11,11,5,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'belowMean', 'Clump_thickness': 'belowMean'}",True,,2,{},0.0,3,False,True
12,12,5,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'belowMean', 'Clump_thickness': 'aboveMean'}",True,Bare_nuclei,4,"{'belowMean': 21, 'aboveMean': 22}",0.3544757533761294,3,False,False
