,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Uniformity_of_cell_size,2,"{'belowMean': 1, 'aboveMean': 2}",0.7102460338154478,0,False,False
1,1,0,{'Uniformity_of_cell_size': 'belowMean'},True,Bare_nuclei,2,"{'belowMean': 3, 'aboveMean': 4}",0.277467957238346,1,False,False
2,2,0,{'Uniformity_of_cell_size': 'aboveMean'},True,Marginal_adhesion,4,"{'belowMean': 5, 'aboveMean': 6}",0.2356862977894824,1,True,True
3,3,1,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean'}",True,Uniformity_of_cell_shape,2,"{'belowMean': 7, 'aboveMean': 8}",0.2047083631364054,2,False,False
4,4,1,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean'}",True,Marginal_adhesion,2,"{'belowMean': 9, 'aboveMean': 10}",0.5440285378326915,2,True,True
5,5,2,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'belowMean'}",True,Uniformity_of_cell_shape,4,"{'aboveMean': 11, 'belowMean': 12}",0.3485763999741413,2,False,False
6,6,2,"{'Uniformity_of_cell_size': 'aboveMean', 'Marginal_adhesion': 'aboveMean'}",True,,4,{},0.0,2,False,True
7,7,3,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Uniformity_of_cell_shape': 'belowMean'}",True,,2,{},0.0,3,False,True
8,8,3,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'belowMean', 'Uniformity_of_cell_shape': 'aboveMean'}",True,Bland_chromatin,2,"{'belowMean': 13, 'aboveMean': 14}",0.9999872275307352,3,False,False
9,9,4,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Marginal_adhesion': 'belowMean'}",True,Clump_thickness,2,"{'belowMean': 15, 'aboveMean': 16}",0.9999884024080972,3,False,False
10,10,4,"{'Uniformity_of_cell_size': 'belowMean', 'Bare_nuclei': 'aboveMean', 'Marginal_adhesion': 'aboveMean'}",True,,4,{},0.0,3,False,True
