,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,Bare_nuclei,2,"{'belowMean': 1, 'aboveMean': 2}",0.594049869684932,0,False,False
1,1,0,{'Bare_nuclei': 'belowMean'},True,Mitoses,2,"{'belowMean': 3, 'aboveMean': 4}",0.4915663303421069,1,True,True
2,2,0,{'Bare_nuclei': 'aboveMean'},True,Uniformity_of_cell_size,4,"{'belowMean': 5, 'aboveMean': 6}",0.2324888411861626,1,True,True
3,3,1,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean'}",True,Bland_chromatin,2,"{'belowMean': 7, 'aboveMean': 8}",0.30978817903871,2,False,False
4,4,1,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'aboveMean'}",True,Clump_thickness,4,"{'belowMean': 9, 'aboveMean': 10}",0.9999897510677292,2,True,True
5,5,2,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'belowMean'}",True,Clump_thickness,2,"{'belowMean': 11, 'aboveMean': 12}",0.6282341834259099,2,False,False
6,6,2,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean'}",True,Single_epithelial_cell_size,4,"{'aboveMean': 13, 'belowMean': 14}",0.0205194308883981,2,True,True
7,7,3,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'belowMean'}",True,Single_epithelial_cell_size,2,"{'belowMean': 15, 'aboveMean': 16}",0.2045392973276556,3,False,False
8,8,3,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean'}",True,Clump_thickness,2,"{'belowMean': 17, 'aboveMean': 18}",0.6800381811358036,3,False,False
9,9,4,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,,2,{},0.0,3,False,True
10,10,4,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,,4,{},0.0,3,False,True
11,11,5,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'belowMean', 'Clump_thickness': 'belowMean'}",True,Marginal_adhesion,2,"{'belowMean': 19, 'aboveMean': 20}",0.9999891836897136,3,False,False
12,12,5,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'belowMean', 'Clump_thickness': 'aboveMean'}",True,,4,{},0.0,3,False,True
13,13,6,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,Clump_thickness,4,"{'aboveMean': 21, 'belowMean': 22}",0.0247196427277041,3,True,True
14,14,6,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean'}",True,,4,{},0.0,3,False,True
15,15,7,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'belowMean'}",True,,2,{},0.0,4,False,True
16,16,7,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,Marginal_adhesion,2,"{'belowMean': 23, 'aboveMean': 24}",0.9999872275307352,4,False,False
17,17,8,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,,2,{},0.0,4,False,True
18,18,8,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,Single_epithelial_cell_size,4,"{'belowMean': 25, 'aboveMean': 26}",0.2010846836415274,4,False,False
19,19,11,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'belowMean', 'Clump_thickness': 'belowMean', 'Marginal_adhesion': 'belowMean'}",True,,2,{},0.0,4,False,True
20,20,11,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'belowMean', 'Clump_thickness': 'belowMean', 'Marginal_adhesion': 'aboveMean'}",True,,4,{},0.0,4,False,True
21,21,13,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean'}",True,Uniformity_of_cell_shape,4,"{'aboveMean': 27, 'belowMean': 28}",0.0188869576902108,4,True,True
22,22,13,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'belowMean'}",True,,4,{},0.0,4,False,True
23,23,16,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean', 'Marginal_adhesion': 'belowMean'}",True,,2,{},0.0,5,False,True
24,24,16,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'belowMean', 'Single_epithelial_cell_size': 'aboveMean', 'Marginal_adhesion': 'aboveMean'}",True,,4,{},0.0,5,False,True
25,25,18,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean'}",True,Marginal_adhesion,4,"{'aboveMean': 29, 'belowMean': 30}",0.2740103071367113,5,False,False
26,26,18,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean'}",True,,4,{},0.0,5,False,True
27,27,21,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean'}",True,Marginal_adhesion,4,"{'aboveMean': 31, 'belowMean': 32}",0.0228310115036895,5,True,True
28,28,21,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'belowMean'}",True,,4,{},0.0,5,False,True
29,29,25,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean', 'Marginal_adhesion': 'aboveMean'}",True,Normal_nucleoli,2,{'aboveMean': 33},,6,False,False
30,30,25,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean', 'Marginal_adhesion': 'belowMean'}",True,,4,{},0.0,6,False,True
31,31,27,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean', 'Marginal_adhesion': 'aboveMean'}",True,Normal_nucleoli,4,"{'belowMean': 34, 'aboveMean': 35}",0.0402100639720064,6,True,True
32,32,27,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean', 'Marginal_adhesion': 'belowMean'}",True,Bland_chromatin,4,"{'belowMean': 36, 'aboveMean': 37}",0.1908709185325976,6,False,False
33,33,29,"{'Bare_nuclei': 'belowMean', 'Mitoses': 'belowMean', 'Bland_chromatin': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Single_epithelial_cell_size': 'belowMean', 'Marginal_adhesion': 'aboveMean', 'Normal_nucleoli': 'aboveMean'}",True,Uniformity_of_cell_shape,2,{'aboveMean': 38},,7,False,False
34,34,31,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean', 'Marginal_adhesion': 'aboveMean', 'Normal_nucleoli': 'belowMean'}",True,Bland_chromatin,4,"{'aboveMean': 39, 'belowMean': 40}",0.0744779754797142,7,False,False
35,35,31,"{'Bare_nuclei': 'aboveMean', 'Uniformity_of_cell_size': 'aboveMean', 'Single_epithelial_cell_size': 'aboveMean', 'Clump_thickness': 'aboveMean', 'Uniformity_of_cell_shape': 'aboveMean', 'Marginal_adhesion': 'aboveMean', 'Normal_nucleoli': 'aboveMean'}",True,Mitoses,4,"{'aboveMean': 41, 'belowMean': 42}",0.0221881941819916,7,True,True
