,buying,maint,doors,persons,lug_boot,safety,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
0,3,3,0,0,0,0,unacc,2,0,unacc,True,1
2,3,3,0,0,0,2,unacc,53,17,acc,False,1
11,3,3,0,1,0,2,unacc,46,15,acc,False,1
14,3,3,0,1,1,2,unacc,46,15,acc,False,1
16,3,3,0,1,2,1,unacc,112,57,acc,False,1
17,3,3,0,1,2,2,unacc,46,15,acc,False,1
18,3,3,0,2,0,0,unacc,2,0,unacc,True,1
19,3,3,0,2,0,1,unacc,65,20,acc,False,1
20,3,3,0,2,0,2,unacc,51,16,acc,False,1
22,3,3,0,2,1,1,unacc,65,20,acc,False,1
23,3,3,0,2,1,2,unacc,51,16,acc,False,1
24,3,3,0,2,2,0,unacc,2,0,unacc,True,1
25,3,3,0,2,2,1,unacc,65,20,acc,False,1
27,3,3,1,0,0,0,unacc,2,0,unacc,True,1
29,3,3,1,0,0,2,unacc,53,17,acc,False,1
31,3,3,1,0,1,1,unacc,128,66,acc,False,1
33,3,3,1,0,2,0,unacc,2,0,unacc,True,1
35,3,3,1,0,2,2,unacc,53,17,acc,False,1
41,3,3,1,1,1,2,unacc,46,15,acc,False,1
47,3,3,1,2,0,2,unacc,51,16,acc,False,1
56,3,3,2,0,0,2,unacc,53,17,acc,False,1
59,3,3,2,0,1,2,unacc,53,17,acc,False,1
62,3,3,2,0,2,2,unacc,53,17,acc,False,1
63,3,3,2,1,0,0,unacc,2,0,unacc,True,1
64,3,3,2,1,0,1,unacc,112,57,acc,False,1
65,3,3,2,1,0,2,unacc,46,15,acc,False,1
69,3,3,2,1,2,0,unacc,2,0,unacc,True,1
70,3,3,2,1,2,1,unacc,112,57,acc,False,1
74,3,3,2,2,0,2,unacc,51,16,acc,False,1
75,3,3,2,2,1,0,unacc,2,0,unacc,True,1
76,3,3,2,2,1,1,unacc,65,20,acc,False,1
79,3,3,2,2,2,1,unacc,65,20,acc,False,1
82,3,3,3,0,0,1,unacc,128,66,acc,False,1
85,3,3,3,0,1,1,unacc,128,66,acc,False,1
87,3,3,3,0,2,0,unacc,2,0,unacc,True,1
89,3,3,3,0,2,2,unacc,53,17,acc,False,1
94,3,3,3,1,1,1,unacc,112,57,acc,False,1
95,3,3,3,1,1,2,unacc,46,15,acc,False,1
96,3,3,3,1,2,0,unacc,2,0,unacc,True,1
99,3,3,3,2,0,0,unacc,2,0,unacc,True,1
102,3,3,3,2,1,0,unacc,2,0,unacc,True,1
106,3,3,3,2,2,1,unacc,65,20,acc,False,1
109,3,2,0,0,0,1,unacc,67,21,acc,False,1
113,3,2,0,0,1,2,unacc,52,17,acc,False,1
121,3,2,0,1,1,1,unacc,109,56,acc,False,1
126,3,2,0,2,0,0,unacc,2,0,unacc,True,1
127,3,2,0,2,0,1,unacc,65,20,acc,False,1
128,3,2,0,2,0,2,unacc,51,16,acc,False,1
129,3,2,0,2,1,0,unacc,2,0,unacc,True,1
131,3,2,0,2,1,2,unacc,51,16,acc,False,1
132,3,2,0,2,2,0,unacc,2,0,unacc,True,1
133,3,2,0,2,2,1,unacc,65,20,acc,False,1
134,3,2,0,2,2,2,unacc,51,16,acc,False,1
135,3,2,1,0,0,0,unacc,2,0,unacc,True,1
138,3,2,1,0,1,0,unacc,2,0,unacc,True,1
142,3,2,1,0,2,1,unacc,67,21,acc,False,1
143,3,2,1,0,2,2,unacc,52,17,acc,False,1
144,3,2,1,1,0,0,unacc,2,0,unacc,True,1
145,3,2,1,1,0,1,unacc,109,56,acc,False,1
146,3,2,1,1,0,2,unacc,47,15,acc,False,1
154,3,2,1,2,0,1,unacc,65,20,acc,False,1
155,3,2,1,2,0,2,unacc,51,16,acc,False,1
157,3,2,1,2,1,1,unacc,65,20,acc,False,1
158,3,2,1,2,1,2,unacc,51,16,acc,False,1
160,3,2,1,2,2,1,unacc,65,20,acc,False,1
161,3,2,1,2,2,2,unacc,51,16,acc,False,1
162,3,2,2,0,0,0,unacc,2,0,unacc,True,1
164,3,2,2,0,0,2,unacc,52,17,acc,False,1
165,3,2,2,0,1,0,unacc,2,0,unacc,True,1
167,3,2,2,0,1,2,unacc,52,17,acc,False,1
169,3,2,2,0,2,1,unacc,67,21,acc,False,1
173,3,2,2,1,0,2,unacc,47,15,acc,False,1
174,3,2,2,1,1,0,unacc,2,0,unacc,True,1
176,3,2,2,1,1,2,unacc,47,15,acc,False,1
178,3,2,2,1,2,1,unacc,109,56,acc,False,1
180,3,2,2,2,0,0,unacc,2,0,unacc,True,1
182,3,2,2,2,0,2,unacc,51,16,acc,False,1
187,3,2,2,2,2,1,unacc,65,20,acc,False,1
190,3,2,3,0,0,1,unacc,67,21,acc,False,1
195,3,2,3,0,2,0,unacc,2,0,unacc,True,1
199,3,2,3,1,0,1,unacc,109,56,acc,False,1
203,3,2,3,1,1,2,unacc,47,15,acc,False,1
204,3,2,3,1,2,0,unacc,2,0,unacc,True,1
205,3,2,3,1,2,1,unacc,109,56,acc,False,1
209,3,2,3,2,0,2,unacc,51,16,acc,False,1
210,3,2,3,2,1,0,unacc,2,0,unacc,True,1
214,3,2,3,2,2,1,unacc,65,20,acc,False,1
215,3,2,3,2,2,2,unacc,51,16,acc,False,1
217,3,1,0,0,0,1,unacc,68,21,acc,False,1
218,3,1,0,0,0,2,unacc,102,54,vgood,False,1
219,3,1,0,0,1,0,unacc,2,0,unacc,True,1
221,3,1,0,0,1,2,unacc,102,54,vgood,False,1
224,3,1,0,0,2,2,unacc,102,54,vgood,False,1
225,3,1,0,1,0,0,unacc,2,0,unacc,True,1
226,3,1,0,1,0,1,unacc,58,18,acc,False,1
228,3,1,0,1,1,0,unacc,2,0,unacc,True,1
238,3,1,0,2,1,1,unacc,125,64,unacc,True,1
245,3,1,1,0,0,2,unacc,102,54,vgood,False,1
246,3,1,1,0,1,0,unacc,2,0,unacc,True,1
247,3,1,1,0,1,1,unacc,68,21,acc,False,1
248,3,1,1,0,1,2,unacc,102,54,vgood,False,1
252,3,1,1,1,0,0,unacc,2,0,unacc,True,1
255,3,1,1,1,1,0,unacc,2,0,unacc,True,1
258,3,1,1,1,2,0,unacc,2,0,unacc,True,1
261,3,1,1,2,0,0,unacc,2,0,unacc,True,1
267,3,1,1,2,2,0,unacc,2,0,unacc,True,1
274,3,1,2,0,1,1,unacc,68,21,acc,False,1
276,3,1,2,0,2,0,unacc,2,0,unacc,True,1
277,3,1,2,0,2,1,unacc,68,21,acc,False,1
279,3,1,2,1,0,0,unacc,2,0,unacc,True,1
280,3,1,2,1,0,1,unacc,58,18,acc,False,1
285,3,1,2,1,2,0,unacc,2,0,unacc,True,1
289,3,1,2,2,0,1,unacc,126,64,acc,False,1
299,3,1,3,0,0,2,unacc,102,54,vgood,False,1
