,buying,maint,doors,persons,lug_boot,safety,Class
2,3,3,0,0,0,2,unacc
8,3,3,0,0,2,2,unacc
10,3,3,0,1,0,1,unacc
12,3,3,0,1,1,0,unacc
15,3,3,0,1,2,0,unacc
16,3,3,0,1,2,1,unacc
27,3,3,1,0,0,0,unacc
32,3,3,1,0,1,2,unacc
40,3,3,1,1,1,1,unacc
43,3,3,1,1,2,1,unacc
45,3,3,1,2,0,0,unacc
49,3,3,1,2,1,1,unacc
51,3,3,1,2,2,0,unacc
54,3,3,2,0,0,0,unacc
60,3,3,2,0,2,0,unacc
63,3,3,2,1,0,0,unacc
64,3,3,2,1,0,1,unacc
65,3,3,2,1,0,2,unacc
66,3,3,2,1,1,0,unacc
68,3,3,2,1,1,2,unacc
69,3,3,2,1,2,0,unacc
70,3,3,2,1,2,1,unacc
71,3,3,2,1,2,2,unacc
72,3,3,2,2,0,0,unacc
73,3,3,2,2,0,1,unacc
78,3,3,2,2,2,0,unacc
79,3,3,2,2,2,1,unacc
82,3,3,3,0,0,1,unacc
88,3,3,3,0,2,1,unacc
93,3,3,3,1,1,0,unacc
97,3,3,3,1,2,1,unacc
99,3,3,3,2,0,0,unacc
100,3,3,3,2,0,1,unacc
101,3,3,3,2,0,2,unacc
103,3,3,3,2,1,1,unacc
104,3,3,3,2,1,2,unacc
108,3,2,0,0,0,0,unacc
109,3,2,0,0,0,1,unacc
110,3,2,0,0,0,2,unacc
113,3,2,0,0,1,2,unacc
114,3,2,0,0,2,0,unacc
116,3,2,0,0,2,2,unacc
117,3,2,0,1,0,0,unacc
119,3,2,0,1,0,2,unacc
120,3,2,0,1,1,0,unacc
123,3,2,0,1,2,0,unacc
124,3,2,0,1,2,1,unacc
128,3,2,0,2,0,2,unacc
129,3,2,0,2,1,0,unacc
130,3,2,0,2,1,1,unacc
132,3,2,0,2,2,0,unacc
133,3,2,0,2,2,1,unacc
135,3,2,1,0,0,0,unacc
137,3,2,1,0,0,2,unacc
138,3,2,1,0,1,0,unacc
140,3,2,1,0,1,2,unacc
145,3,2,1,1,0,1,unacc
147,3,2,1,1,1,0,unacc
150,3,2,1,1,2,0,unacc
155,3,2,1,2,0,2,unacc
157,3,2,1,2,1,1,unacc
158,3,2,1,2,1,2,unacc
159,3,2,1,2,2,0,unacc
160,3,2,1,2,2,1,unacc
161,3,2,1,2,2,2,unacc
163,3,2,2,0,0,1,unacc
164,3,2,2,0,0,2,unacc
167,3,2,2,0,1,2,unacc
168,3,2,2,0,2,0,unacc
171,3,2,2,1,0,0,unacc
174,3,2,2,1,1,0,unacc
177,3,2,2,1,2,0,unacc
183,3,2,2,2,1,0,unacc
185,3,2,2,2,1,2,unacc
186,3,2,2,2,2,0,unacc
191,3,2,3,0,0,2,unacc
192,3,2,3,0,1,0,unacc
197,3,2,3,0,2,2,unacc
199,3,2,3,1,0,1,unacc
204,3,2,3,1,2,0,unacc
205,3,2,3,1,2,1,unacc
207,3,2,3,2,0,0,unacc
210,3,2,3,2,1,0,unacc
212,3,2,3,2,1,2,unacc
214,3,2,3,2,2,1,unacc
217,3,1,0,0,0,1,unacc
218,3,1,0,0,0,2,unacc
219,3,1,0,0,1,0,unacc
224,3,1,0,0,2,2,unacc
226,3,1,0,1,0,1,unacc
228,3,1,0,1,1,0,unacc
235,3,1,0,2,0,1,unacc
236,3,1,0,2,0,2,unacc
238,3,1,0,2,1,1,unacc
240,3,1,0,2,2,0,unacc
246,3,1,1,0,1,0,unacc
249,3,1,1,0,2,0,unacc
250,3,1,1,0,2,1,unacc
251,3,1,1,0,2,2,unacc
255,3,1,1,1,1,0,unacc
262,3,1,1,2,0,1,unacc
264,3,1,1,2,1,0,unacc
267,3,1,1,2,2,0,unacc
270,3,1,2,0,0,0,unacc
271,3,1,2,0,0,1,unacc
272,3,1,2,0,0,2,unacc
273,3,1,2,0,1,0,unacc
275,3,1,2,0,1,2,unacc
276,3,1,2,0,2,0,unacc
280,3,1,2,1,0,1,unacc
282,3,1,2,1,1,0,unacc
288,3,1,2,2,0,0,unacc
298,3,1,3,0,0,1,unacc
300,3,1,3,0,1,0,unacc
301,3,1,3,0,1,1,unacc
302,3,1,3,0,1,2,unacc
305,3,1,3,0,2,2,unacc
306,3,1,3,1,0,0,unacc
309,3,1,3,1,1,0,unacc
312,3,1,3,1,2,0,unacc
315,3,1,3,2,0,0,unacc
321,3,1,3,2,2,0,unacc
325,3,0,0,0,0,1,unacc
326,3,0,0,0,0,2,unacc
327,3,0,0,0,1,0,unacc
328,3,0,0,0,1,1,unacc
329,3,0,0,0,1,2,unacc
330,3,0,0,0,2,0,unacc
337,3,0,0,1,1,1,unacc
344,3,0,0,2,0,2,unacc
345,3,0,0,2,1,0,unacc
346,3,0,0,2,1,1,unacc
348,3,0,0,2,2,0,unacc
351,3,0,1,0,0,0,unacc
355,3,0,1,0,1,1,unacc
357,3,0,1,0,2,0,unacc
363,3,0,1,1,1,0,unacc
366,3,0,1,1,2,0,unacc
380,3,0,2,0,0,2,unacc
381,3,0,2,0,1,0,unacc
382,3,0,2,0,1,1,unacc
383,3,0,2,0,1,2,unacc
385,3,0,2,0,2,1,unacc
388,3,0,2,1,0,1,unacc
393,3,0,2,1,2,0,unacc
397,3,0,2,2,0,1,unacc
399,3,0,2,2,1,0,unacc
402,3,0,2,2,2,0,unacc
405,3,0,3,0,0,0,unacc
408,3,0,3,0,1,0,unacc
409,3,0,3,0,1,1,unacc
411,3,0,3,0,2,0,unacc
415,3,0,3,1,0,1,unacc
420,3,0,3,1,2,0,unacc
426,3,0,3,2,1,0,unacc
429,3,0,3,2,2,0,unacc
433,2,3,0,0,0,1,unacc
435,2,3,0,0,1,0,unacc
436,2,3,0,0,1,1,unacc
440,2,3,0,0,2,2,unacc
442,2,3,0,1,0,1,unacc
444,2,3,0,1,1,0,unacc
445,2,3,0,1,1,1,unacc
449,2,3,0,1,2,2,unacc
450,2,3,0,2,0,0,unacc
451,2,3,0,2,0,1,unacc
453,2,3,0,2,1,0,unacc
455,2,3,0,2,1,2,unacc
458,2,3,0,2,2,2,unacc
459,2,3,1,0,0,0,unacc
465,2,3,1,0,2,0,unacc
471,2,3,1,1,1,0,unacc
472,2,3,1,1,1,1,unacc
479,2,3,1,2,0,2,unacc
482,2,3,1,2,1,2,unacc
486,2,3,2,0,0,0,unacc
488,2,3,2,0,0,2,unacc
489,2,3,2,0,1,0,unacc
491,2,3,2,0,1,2,unacc
494,2,3,2,0,2,2,unacc
497,2,3,2,1,0,2,unacc
