,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,safety,unacc,"{0: 1, 2: 2, 1: 3}",0.16684262986833173,0,False,False
1,1,0,{'safety': 0},True,,unacc,{},0.0,1,False,True
2,2,0,{'safety': 2},True,persons,unacc,"{0: 4, 1: 5, 2: 6}",0.28946376705754695,1,False,False
3,3,0,{'safety': 1},True,persons,unacc,"{1: 7, 2: 8, 0: 9}",0.19772741388195741,1,False,False
4,4,2,"{'safety': 2, 'persons': 0}",True,,unacc,{},0.0,2,False,True
5,5,2,"{'safety': 2, 'persons': 1}",True,maint,acc,"{3: 10, 2: 11, 1: 12, 0: 13}",0.24060379869284748,2,False,False
6,6,2,"{'safety': 2, 'persons': 2}",True,buying,acc,"{3: 14, 2: 15, 1: 16, 0: 17}",0.22332423247741276,2,False,False
7,7,3,"{'safety': 1, 'persons': 1}",True,lug_boot,unacc,"{2: 18, 0: 19, 1: 20}",0.13953416511360117,2,False,False
8,8,3,"{'safety': 1, 'persons': 2}",True,buying,acc,"{3: 21, 2: 22, 1: 23, 0: 24}",0.18317031036827863,2,False,False
9,9,3,"{'safety': 1, 'persons': 0}",True,,unacc,{},0.0,2,False,True
10,10,5,"{'safety': 2, 'persons': 1, 'maint': 3}",True,buying,unacc,"{3: 25, 2: 26, 1: 27, 0: 28}",0.4824166206109466,3,False,False
11,11,5,"{'safety': 2, 'persons': 1, 'maint': 2}",True,buying,acc,"{3: 29, 2: 30, 1: 31, 0: 32}",0.4615470825325793,3,False,False
12,12,5,"{'safety': 2, 'persons': 1, 'maint': 1}",True,buying,acc,"{3: 33, 2: 34, 1: 35, 0: 36}",0.3280903112400895,3,False,False
13,13,5,"{'safety': 2, 'persons': 1, 'maint': 0}",True,buying,acc,"{3: 37, 2: 38, 1: 39, 0: 40}",0.5333516017211019,3,False,False
14,14,6,"{'safety': 2, 'persons': 2, 'buying': 3}",True,maint,unacc,"{3: 41, 2: 42, 0: 43, 1: 44}",0.41914720674633343,3,False,False
15,15,6,"{'safety': 2, 'persons': 2, 'buying': 2}",True,maint,acc,"{3: 45, 2: 46, 1: 47, 0: 48}",0.3510110934089133,3,False,False
16,16,6,"{'safety': 2, 'persons': 2, 'buying': 1}",True,maint,acc,"{3: 49, 0: 50, 2: 51, 1: 52}",0.35379426145112436,3,False,False
17,17,6,"{'safety': 2, 'persons': 2, 'buying': 0}",True,maint,vgood,"{3: 53, 2: 54, 1: 55, 0: 56}",0.401127356202527,3,False,False
18,18,7,"{'safety': 1, 'persons': 1, 'lug_boot': 2}",True,maint,acc,"{3: 57, 2: 58, 1: 59, 0: 60}",0.2596120593037484,3,False,False
19,19,7,"{'safety': 1, 'persons': 1, 'lug_boot': 0}",True,buying,unacc,"{3: 61, 2: 62, 1: 63, 0: 64}",0.26397825166768196,3,False,False
20,20,7,"{'safety': 1, 'persons': 1, 'lug_boot': 1}",True,doors,acc,"{3: 65, 0: 66, 1: 67, 2: 68}",0.17502839816248664,3,False,False
21,21,8,"{'safety': 1, 'persons': 2, 'buying': 3}",True,maint,unacc,"{3: 69, 2: 70, 1: 71, 0: 72}",0.1437241397354233,3,False,False
22,22,8,"{'safety': 1, 'persons': 2, 'buying': 2}",True,lug_boot,acc,"{2: 73, 1: 74, 0: 75}",0.2535212954229062,3,False,False
23,23,8,"{'safety': 1, 'persons': 2, 'buying': 1}",True,maint,acc,"{3: 76, 2: 77, 1: 78, 0: 79}",0.28031168578414306,3,False,False
24,24,8,"{'safety': 1, 'persons': 2, 'buying': 0}",True,maint,good,"{3: 80, 2: 81, 1: 82, 0: 83}",0.33760196350934546,3,False,False
25,25,10,"{'safety': 2, 'persons': 1, 'maint': 3, 'buying': 3}",True,,unacc,{},0.0,4,False,True
26,26,10,"{'safety': 2, 'persons': 1, 'maint': 3, 'buying': 2}",True,,unacc,{},0.0,4,False,True
27,27,10,"{'safety': 2, 'persons': 1, 'maint': 3, 'buying': 1}",True,,acc,{},0.0,4,False,True
28,28,10,"{'safety': 2, 'persons': 1, 'maint': 3, 'buying': 0}",True,,acc,{},0.0,4,False,True
29,29,11,"{'safety': 2, 'persons': 1, 'maint': 2, 'buying': 3}",True,,unacc,{},0.0,4,False,True
30,30,11,"{'safety': 2, 'persons': 1, 'maint': 2, 'buying': 2}",True,,acc,{},0.0,4,False,True
31,31,11,"{'safety': 2, 'persons': 1, 'maint': 2, 'buying': 1}",True,,acc,{},0.0,4,False,True
32,32,11,"{'safety': 2, 'persons': 1, 'maint': 2, 'buying': 0}",True,lug_boot,acc,"{0: 84, 1: 85, 2: 86}",0.4206154335978385,4,False,False
33,33,12,"{'safety': 2, 'persons': 1, 'maint': 1, 'buying': 3}",True,,acc,{},0.0,4,False,True
34,34,12,"{'safety': 2, 'persons': 1, 'maint': 1, 'buying': 2}",True,,acc,{},0.0,4,False,True
35,35,12,"{'safety': 2, 'persons': 1, 'maint': 1, 'buying': 1}",True,lug_boot,vgood,"{0: 87, 2: 88, 1: 89}",0.6293299169517819,4,False,False
36,36,12,"{'safety': 2, 'persons': 1, 'maint': 1, 'buying': 0}",True,,vgood,{},0.0,4,False,True
37,37,13,"{'safety': 2, 'persons': 1, 'maint': 0, 'buying': 3}",True,,acc,{},0.0,4,False,True
38,38,13,"{'safety': 2, 'persons': 1, 'maint': 0, 'buying': 2}",True,,acc,{},0.0,4,False,True
39,39,13,"{'safety': 2, 'persons': 1, 'maint': 0, 'buying': 1}",True,lug_boot,vgood,"{2: 90, 1: 91, 0: 92}",0.4008884814750605,4,False,False
40,40,13,"{'safety': 2, 'persons': 1, 'maint': 0, 'buying': 0}",True,lug_boot,good,"{2: 93, 0: 94}",0.9999872275307352,4,False,False
41,41,14,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 3}",True,,unacc,{},0.0,4,False,True
42,42,14,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 2}",True,,unacc,{},0.0,4,False,True
43,43,14,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 0}",True,doors,acc,"{0: 95, 1: 96, 2: 97, 3: 98}",0.15688020321334398,4,False,False
44,44,14,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 1}",True,,acc,{},0.0,4,False,True
45,45,15,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 3}",True,,unacc,{},0.0,4,False,True
46,46,15,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 2}",True,doors,acc,"{0: 99, 1: 100, 2: 101, 3: 102}",0.3388470063185143,4,False,False
47,47,15,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 1}",True,,acc,{},0.0,4,False,True
48,48,15,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 0}",True,,acc,{},0.0,4,False,True
49,49,16,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 3}",True,lug_boot,acc,"{0: 103, 1: 104, 2: 105}",0.1243909189542939,4,False,False
50,50,16,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 0}",True,doors,vgood,"{0: 106, 2: 107, 3: 108}",0.6379605358149053,4,False,False
51,51,16,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 2}",True,,acc,{},0.0,4,False,True
