,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,safety,unacc,"{0: 1, 1: 2, 2: 3}",0.1736456808564822,0,False,False
1,1,0,{'safety': 0},True,,unacc,{},0.0,1,False,True
2,2,0,{'safety': 1},True,persons,unacc,"{1: 4, 0: 5, 2: 6}",0.1884765365106658,1,False,False
3,3,0,{'safety': 2},True,persons,unacc,"{2: 7, 1: 8, 0: 9}",0.3122638873729059,1,False,False
4,4,2,"{'safety': 1, 'persons': 1}",True,buying,acc,"{2: 10, 3: 11, 0: 12, 1: 13}",0.1575246392041779,2,False,False
5,5,2,"{'safety': 1, 'persons': 0}",True,,unacc,{},0.0,2,False,True
6,6,2,"{'safety': 1, 'persons': 2}",True,lug_boot,acc,"{2: 14, 0: 15, 1: 16}",0.1233520299304833,2,True,True
7,7,3,"{'safety': 2, 'persons': 2}",True,buying,acc,"{2: 17, 3: 18, 1: 19, 0: 20}",0.2055276263122352,2,True,True
8,8,3,"{'safety': 2, 'persons': 1}",True,buying,acc,"{3: 21, 2: 22, 1: 23, 0: 24}",0.3389741281098385,2,False,False
9,9,3,"{'safety': 2, 'persons': 0}",True,,unacc,{},0.0,2,False,True
10,10,4,"{'safety': 1, 'persons': 1, 'buying': 2}",True,lug_boot,unacc,"{1: 25, 2: 26, 0: 27}",0.3138364190911707,3,False,False
11,11,4,"{'safety': 1, 'persons': 1, 'buying': 3}",True,maint,unacc,"{3: 28, 0: 29, 2: 30, 1: 31}",0.2268661482629066,3,False,False
12,12,4,"{'safety': 1, 'persons': 1, 'buying': 0}",True,maint,acc,"{3: 32, 2: 33, 1: 34, 0: 35}",0.3006121928609164,3,False,False
13,13,4,"{'safety': 1, 'persons': 1, 'buying': 1}",True,maint,acc,"{3: 36, 2: 37, 0: 38, 1: 39}",0.1069287905439391,3,False,False
14,14,6,"{'safety': 1, 'persons': 2, 'lug_boot': 2}",True,buying,acc,"{3: 40, 2: 41, 1: 42, 0: 43}",0.3432462872451989,3,False,False
15,15,6,"{'safety': 1, 'persons': 2, 'lug_boot': 0}",True,buying,unacc,"{1: 44, 0: 45, 2: 46, 3: 47}",0.1350968248376532,3,False,False
16,16,6,"{'safety': 1, 'persons': 2, 'lug_boot': 1}",True,doors,acc,"{0: 48, 1: 49, 3: 50, 2: 51}",0.2640051809450951,3,True,True
17,17,7,"{'safety': 2, 'persons': 2, 'buying': 2}",True,maint,acc,"{3: 52, 0: 53, 2: 54, 1: 55}",0.4393603123850307,3,False,False
18,18,7,"{'safety': 2, 'persons': 2, 'buying': 3}",True,maint,unacc,"{2: 56, 1: 57, 3: 58, 0: 59}",0.4213781325625957,3,False,False
19,19,7,"{'safety': 2, 'persons': 2, 'buying': 1}",True,lug_boot,acc,"{0: 60, 1: 61, 2: 62}",0.4280578762699628,3,True,True
20,20,7,"{'safety': 2, 'persons': 2, 'buying': 0}",True,maint,vgood,"{1: 63, 3: 64, 2: 65, 0: 66}",0.4394779720761879,3,True,True
