,buying,maint,doors,persons,lug_boot,safety,Class
442,2,3,0,1,0,1,unacc
738,2,1,3,1,0,0,unacc
731,2,1,3,0,0,2,unacc
1706,0,0,3,0,1,2,unacc
1158,1,1,2,2,2,0,unacc
250,3,1,1,0,2,1,unacc
1269,1,0,3,0,0,0,unacc
100,3,3,3,2,0,1,unacc
866,1,3,0,0,0,2,unacc
1001,1,2,1,0,0,2,unacc
1244,1,0,2,0,0,2,unacc
882,1,3,0,2,0,0,unacc
1617,0,1,3,2,2,0,unacc
766,2,0,0,1,0,1,unacc
383,3,0,2,0,1,2,unacc
222,3,1,0,0,2,0,unacc
1517,0,1,0,0,1,2,unacc
1461,0,2,2,0,1,0,unacc
894,1,3,1,0,1,0,unacc
1033,1,2,2,0,2,1,unacc
354,3,0,1,0,1,0,unacc
1260,1,0,2,2,0,0,unacc
795,2,0,1,1,1,0,unacc
294,3,1,2,2,2,0,unacc
652,2,1,0,0,1,1,unacc
1207,1,0,0,2,0,1,unacc
1111,1,1,1,0,1,1,unacc
1411,0,2,0,0,2,1,unacc
251,3,1,1,0,2,2,unacc
1215,1,0,1,0,0,0,unacc
14,3,3,0,1,1,2,unacc
726,2,1,2,2,2,0,unacc
1425,0,2,0,2,1,0,unacc
1443,0,2,1,1,1,0,unacc
140,3,2,1,0,1,2,unacc
522,2,3,3,1,0,0,unacc
203,3,2,3,1,1,2,unacc
1277,1,0,3,0,2,2,unacc
473,2,3,1,1,1,2,unacc
240,3,1,0,2,2,0,unacc
501,2,3,2,1,2,0,unacc
509,2,3,2,2,1,2,unacc
1554,0,1,1,1,2,0,unacc
953,1,3,3,0,2,2,unacc
898,1,3,1,0,2,1,unacc
1317,0,3,0,2,1,0,unacc
1212,1,0,0,2,2,0,unacc
415,3,0,3,1,0,1,unacc
288,3,1,2,2,0,0,unacc
972,1,2,0,0,0,0,unacc
248,3,1,1,0,1,2,unacc
456,2,3,0,2,2,0,unacc
103,3,3,3,2,1,1,unacc
210,3,2,3,2,1,0,unacc
1463,0,2,2,0,1,2,unacc
465,2,3,1,0,2,0,unacc
304,3,1,3,0,2,1,unacc
787,2,0,1,0,1,1,unacc
155,3,2,1,2,0,2,unacc
1197,1,0,0,1,0,0,unacc
413,3,0,3,0,2,2,unacc
410,3,0,3,0,1,2,unacc
16,3,3,0,1,2,1,unacc
336,3,0,0,1,1,0,unacc
353,3,0,1,0,0,2,unacc
1100,1,1,0,2,0,2,unacc
810,2,0,2,0,0,0,unacc
1059,1,2,3,0,2,0,unacc
1086,1,1,0,0,2,0,unacc
1710,0,0,3,1,0,0,unacc
277,3,1,2,0,2,1,unacc
1200,1,0,0,1,1,0,unacc
411,3,0,3,0,2,0,unacc
1054,1,2,3,0,0,1,unacc
599,2,2,2,0,1,2,unacc
516,2,3,3,0,1,0,unacc
531,2,3,3,2,0,0,unacc
110,3,2,0,0,0,2,unacc
1650,0,0,1,0,1,0,unacc
160,3,2,1,2,2,1,unacc
1270,1,0,3,0,0,1,unacc
278,3,1,2,0,2,2,unacc
1608,0,1,3,1,2,0,unacc
496,2,3,2,1,0,1,unacc
933,1,3,2,1,2,0,unacc
918,1,3,2,0,0,0,unacc
735,2,1,3,0,2,0,unacc
1038,1,2,2,1,1,0,unacc
706,2,1,2,0,1,1,unacc
478,2,3,1,2,0,1,unacc
234,3,1,0,2,0,0,unacc
24,3,3,0,2,2,0,unacc
677,2,1,1,0,0,2,unacc
462,2,3,1,0,1,0,unacc
676,2,1,1,0,0,1,unacc
1594,0,1,3,0,0,1,unacc
788,2,0,1,0,1,2,unacc
899,1,3,1,0,2,2,unacc
444,2,3,0,1,1,0,unacc
94,3,3,3,1,1,1,unacc
1486,0,2,3,0,0,1,unacc
545,2,2,0,0,1,2,unacc
693,2,1,1,2,0,0,unacc
852,2,0,3,1,2,0,unacc
492,2,3,2,0,2,0,unacc
640,2,2,3,2,0,1,unacc
550,2,2,0,1,0,1,unacc
756,2,0,0,0,0,0,unacc
1085,1,1,0,0,1,2,unacc
973,1,2,0,0,0,1,unacc
1707,0,0,3,0,2,0,unacc
228,3,1,0,1,1,0,unacc
820,2,0,2,1,0,1,unacc
1304,0,3,0,0,2,2,unacc
1409,0,2,0,0,1,2,unacc
69,3,3,2,1,2,0,unacc
433,2,3,0,0,0,1,unacc
1318,0,3,0,2,1,1,unacc
178,3,2,2,1,2,1,unacc
70,3,3,2,1,2,1,unacc
974,1,2,0,0,0,2,unacc
1476,0,2,2,2,0,0,unacc
527,2,3,3,1,1,2,unacc
216,3,1,0,0,0,0,unacc
776,2,0,0,2,0,2,unacc
1299,0,3,0,0,1,0,unacc
307,3,1,3,1,0,1,unacc
387,3,0,2,1,0,0,unacc
200,3,2,3,1,0,2,unacc
301,3,1,3,0,1,1,unacc
601,2,2,2,0,2,1,unacc
166,3,2,2,0,1,1,unacc
937,1,3,2,2,0,1,unacc
498,2,3,2,1,1,0,unacc
1433,0,2,1,0,0,2,unacc
558,2,2,0,2,0,0,unacc
1548,0,1,1,1,0,0,unacc
846,2,0,3,1,0,0,unacc
255,3,1,1,1,1,0,unacc
1485,0,2,3,0,0,0,unacc
147,3,2,1,1,1,0,unacc
1077,1,2,3,2,2,0,unacc
274,3,1,2,0,1,1,unacc
948,1,3,3,0,1,0,unacc
1428,0,2,0,2,2,0,unacc
1290,1,0,3,2,1,0,unacc
375,3,0,1,2,2,0,unacc
18,3,3,0,2,0,0,unacc
1459,0,2,2,0,0,1,unacc
309,3,1,3,1,1,0,unacc
209,3,2,3,2,0,2,unacc
235,3,1,0,2,0,1,unacc
532,2,3,3,2,0,1,unacc
223,3,1,0,0,2,1,unacc
653,2,1,0,0,1,2,unacc
1195,1,0,0,0,2,1,unacc
1243,1,0,2,0,0,1,unacc
150,3,2,1,1,2,0,unacc
182,3,2,2,2,0,2,unacc
1386,0,3,3,1,0,0,unacc
1250,1,0,2,0,2,2,unacc
58,3,3,2,0,1,1,unacc
1220,1,0,1,0,1,2,unacc
1574,0,1,2,0,2,2,unacc
1392,0,3,3,1,2,0,unacc
807,2,0,1,2,2,0,unacc
813,2,0,2,0,1,0,unacc
778,2,0,0,2,1,1,unacc
1614,0,1,3,2,1,0,unacc
111,3,2,0,0,1,0,unacc
977,1,2,0,0,1,2,unacc
1058,1,2,3,0,1,2,unacc
991,1,2,0,2,0,1,unacc
511,2,3,2,2,2,1,unacc
1531,0,1,0,2,0,1,unacc
199,3,2,3,1,0,1,unacc
518,2,3,3,0,1,2,unacc
1271,1,0,3,0,0,2,unacc
107,3,3,3,2,2,2,unacc
1662,0,0,1,1,2,0,unacc
559,2,2,0,2,0,1,unacc
302,3,1,3,0,1,2,unacc
19,3,3,0,2,0,1,unacc
449,2,3,0,1,2,2,unacc
440,2,3,0,0,2,2,unacc
9,3,3,0,1,0,0,unacc
867,1,3,0,0,1,0,unacc
597,2,2,2,0,1,0,unacc
489,2,3,2,0,1,0,unacc
30,3,3,1,0,1,0,unacc
1356,0,3,2,0,2,0,unacc
709,2,1,2,0,2,1,unacc
508,2,3,2,2,1,1,unacc
828,2,0,2,2,0,0,unacc
1350,0,3,2,0,0,0,unacc
1465,0,2,2,0,2,1,unacc
118,3,2,0,1,0,1,unacc
8,3,3,0,0,2,2,unacc
814,2,0,2,0,1,1,unacc
1239,1,0,1,2,2,0,unacc
236,3,1,0,2,0,2,unacc
