,buying,maint,doors,persons,lug_boot,safety,Class
0,3,3,0,0,0,0,unacc
1,3,3,0,0,0,1,unacc
6,3,3,0,0,2,0,unacc
7,3,3,0,0,2,1,unacc
10,3,3,0,1,0,1,unacc
13,3,3,0,1,1,1,unacc
14,3,3,0,1,1,2,unacc
17,3,3,0,1,2,2,unacc
18,3,3,0,2,0,0,unacc
19,3,3,0,2,0,1,unacc
21,3,3,0,2,1,0,unacc
23,3,3,0,2,1,2,unacc
29,3,3,1,0,0,2,unacc
33,3,3,1,0,2,0,unacc
34,3,3,1,0,2,1,unacc
40,3,3,1,1,1,1,unacc
42,3,3,1,1,2,0,unacc
44,3,3,1,1,2,2,unacc
45,3,3,1,2,0,0,unacc
47,3,3,1,2,0,2,unacc
48,3,3,1,2,1,0,unacc
49,3,3,1,2,1,1,unacc
50,3,3,1,2,1,2,unacc
59,3,3,2,0,1,2,unacc
61,3,3,2,0,2,1,unacc
62,3,3,2,0,2,2,unacc
63,3,3,2,1,0,0,unacc
64,3,3,2,1,0,1,unacc
67,3,3,2,1,1,1,unacc
68,3,3,2,1,1,2,unacc
69,3,3,2,1,2,0,unacc
72,3,3,2,2,0,0,unacc
73,3,3,2,2,0,1,unacc
74,3,3,2,2,0,2,unacc
81,3,3,3,0,0,0,unacc
85,3,3,3,0,1,1,unacc
86,3,3,3,0,1,2,unacc
89,3,3,3,0,2,2,unacc
90,3,3,3,1,0,0,unacc
94,3,3,3,1,1,1,unacc
108,3,2,0,0,0,0,unacc
110,3,2,0,0,0,2,unacc
111,3,2,0,0,1,0,unacc
117,3,2,0,1,0,0,unacc
120,3,2,0,1,1,0,unacc
126,3,2,0,2,0,0,unacc
127,3,2,0,2,0,1,unacc
131,3,2,0,2,1,2,unacc
133,3,2,0,2,2,1,unacc
137,3,2,1,0,0,2,unacc
138,3,2,1,0,1,0,unacc
139,3,2,1,0,1,1,unacc
140,3,2,1,0,1,2,unacc
144,3,2,1,1,0,0,unacc
145,3,2,1,1,0,1,unacc
153,3,2,1,2,0,0,unacc
155,3,2,1,2,0,2,unacc
163,3,2,2,0,0,1,unacc
165,3,2,2,0,1,0,unacc
167,3,2,2,0,1,2,unacc
172,3,2,2,1,0,1,unacc
176,3,2,2,1,1,2,unacc
179,3,2,2,1,2,2,unacc
181,3,2,2,2,0,1,unacc
184,3,2,2,2,1,1,unacc
185,3,2,2,2,1,2,unacc
187,3,2,2,2,2,1,unacc
190,3,2,3,0,0,1,unacc
191,3,2,3,0,0,2,unacc
193,3,2,3,0,1,1,unacc
194,3,2,3,0,1,2,unacc
196,3,2,3,0,2,1,unacc
198,3,2,3,1,0,0,unacc
199,3,2,3,1,0,1,unacc
200,3,2,3,1,0,2,unacc
204,3,2,3,1,2,0,unacc
207,3,2,3,2,0,0,unacc
211,3,2,3,2,1,1,unacc
214,3,2,3,2,2,1,unacc
216,3,1,0,0,0,0,unacc
217,3,1,0,0,0,1,unacc
219,3,1,0,0,1,0,unacc
220,3,1,0,0,1,1,unacc
234,3,1,0,2,0,0,unacc
235,3,1,0,2,0,1,unacc
237,3,1,0,2,1,0,unacc
243,3,1,1,0,0,0,unacc
247,3,1,1,0,1,1,unacc
250,3,1,1,0,2,1,unacc
251,3,1,1,0,2,2,unacc
253,3,1,1,1,0,1,unacc
258,3,1,1,1,2,0,unacc
262,3,1,1,2,0,1,unacc
274,3,1,2,0,1,1,unacc
277,3,1,2,0,2,1,unacc
282,3,1,2,1,1,0,unacc
288,3,1,2,2,0,0,unacc
294,3,1,2,2,2,0,unacc
305,3,1,3,0,2,2,unacc
306,3,1,3,1,0,0,unacc
318,3,1,3,2,1,0,unacc
324,3,0,0,0,0,0,unacc
325,3,0,0,0,0,1,unacc
326,3,0,0,0,0,2,unacc
327,3,0,0,0,1,0,unacc
329,3,0,0,0,1,2,unacc
331,3,0,0,0,2,1,unacc
336,3,0,0,1,1,0,unacc
345,3,0,0,2,1,0,unacc
352,3,0,1,0,0,1,unacc
355,3,0,1,0,1,1,unacc
356,3,0,1,0,1,2,unacc
358,3,0,1,0,2,1,unacc
361,3,0,1,1,0,1,unacc
363,3,0,1,1,1,0,unacc
370,3,0,1,2,0,1,unacc
372,3,0,1,2,1,0,unacc
375,3,0,1,2,2,0,unacc
382,3,0,2,0,1,1,unacc
383,3,0,2,0,1,2,unacc
386,3,0,2,0,2,2,unacc
397,3,0,2,2,0,1,unacc
399,3,0,2,2,1,0,unacc
402,3,0,2,2,2,0,unacc
406,3,0,3,0,0,1,unacc
411,3,0,3,0,2,0,unacc
413,3,0,3,0,2,2,unacc
414,3,0,3,1,0,0,unacc
415,3,0,3,1,0,1,unacc
420,3,0,3,1,2,0,unacc
424,3,0,3,2,0,1,unacc
435,2,3,0,0,1,0,unacc
439,2,3,0,0,2,1,unacc
440,2,3,0,0,2,2,unacc
445,2,3,0,1,1,1,unacc
447,2,3,0,1,2,0,unacc
449,2,3,0,1,2,2,unacc
452,2,3,0,2,0,2,unacc
454,2,3,0,2,1,1,unacc
455,2,3,0,2,1,2,unacc
460,2,3,1,0,0,1,unacc
461,2,3,1,0,0,2,unacc
464,2,3,1,0,1,2,unacc
465,2,3,1,0,2,0,unacc
466,2,3,1,0,2,1,unacc
468,2,3,1,1,0,0,unacc
469,2,3,1,1,0,1,unacc
471,2,3,1,1,1,0,unacc
473,2,3,1,1,1,2,unacc
475,2,3,1,1,2,1,unacc
477,2,3,1,2,0,0,unacc
479,2,3,1,2,0,2,unacc
481,2,3,1,2,1,1,unacc
482,2,3,1,2,1,2,unacc
484,2,3,1,2,2,1,unacc
485,2,3,1,2,2,2,unacc
487,2,3,2,0,0,1,unacc
494,2,3,2,0,2,2,unacc
495,2,3,2,1,0,0,unacc
498,2,3,2,1,1,0,unacc
499,2,3,2,1,1,1,unacc
500,2,3,2,1,1,2,unacc
501,2,3,2,1,2,0,unacc
503,2,3,2,1,2,2,unacc
504,2,3,2,2,0,0,unacc
511,2,3,2,2,2,1,unacc
512,2,3,2,2,2,2,unacc
517,2,3,3,0,1,1,unacc
518,2,3,3,0,1,2,unacc
524,2,3,3,1,0,2,unacc
525,2,3,3,1,1,0,unacc
526,2,3,3,1,1,1,unacc
530,2,3,3,1,2,2,unacc
538,2,3,3,2,2,1,unacc
539,2,3,3,2,2,2,unacc
540,2,2,0,0,0,0,unacc
545,2,2,0,0,1,2,unacc
548,2,2,0,0,2,2,unacc
549,2,2,0,1,0,0,unacc
553,2,2,0,1,1,1,unacc
561,2,2,0,2,1,0,unacc
564,2,2,0,2,2,0,unacc
567,2,2,1,0,0,0,unacc
569,2,2,1,0,0,2,unacc
574,2,2,1,0,2,1,unacc
575,2,2,1,0,2,2,unacc
576,2,2,1,1,0,0,unacc
579,2,2,1,1,1,0,unacc
580,2,2,1,1,1,1,unacc
582,2,2,1,1,2,0,unacc
585,2,2,1,2,0,0,unacc
588,2,2,1,2,1,0,unacc
596,2,2,2,0,0,2,unacc
598,2,2,2,0,1,1,unacc
599,2,2,2,0,1,2,unacc
600,2,2,2,0,2,0,unacc
603,2,2,2,1,0,0,unacc
606,2,2,2,1,1,0,unacc
613,2,2,2,2,0,1,unacc
618,2,2,2,2,2,0,unacc
621,2,2,3,0,0,0,unacc
623,2,2,3,0,0,2,unacc
624,2,2,3,0,1,0,unacc
626,2,2,3,0,1,2,unacc
627,2,2,3,0,2,0,unacc
630,2,2,3,1,0,0,unacc
633,2,2,3,1,1,0,unacc
642,2,2,3,2,1,0,unacc
650,2,1,0,0,0,2,unacc
656,2,1,0,0,2,2,unacc
657,2,1,0,1,0,0,unacc
658,2,1,0,1,0,1,unacc
660,2,1,0,1,1,0,unacc
668,2,1,0,2,0,2,unacc
670,2,1,0,2,1,1,unacc
672,2,1,0,2,2,0,unacc
677,2,1,1,0,0,2,unacc
678,2,1,1,0,1,0,unacc
680,2,1,1,0,1,2,unacc
681,2,1,1,0,2,0,unacc
684,2,1,1,1,0,0,unacc
690,2,1,1,1,2,0,unacc
694,2,1,1,2,0,1,unacc
702,2,1,2,0,0,0,unacc
703,2,1,2,0,0,1,unacc
704,2,1,2,0,0,2,unacc
706,2,1,2,0,1,1,unacc
707,2,1,2,0,1,2,unacc
709,2,1,2,0,2,1,unacc
710,2,1,2,0,2,2,unacc
717,2,1,2,1,2,0,unacc
723,2,1,2,2,1,0,unacc
733,2,1,3,0,1,1,unacc
734,2,1,3,0,1,2,unacc
736,2,1,3,0,2,1,unacc
737,2,1,3,0,2,2,unacc
744,2,1,3,1,2,0,unacc
747,2,1,3,2,0,0,unacc
748,2,1,3,2,0,1,unacc
753,2,1,3,2,2,0,unacc
757,2,0,0,0,0,1,unacc
758,2,0,0,0,0,2,unacc
759,2,0,0,0,1,0,unacc
763,2,0,0,0,2,1,unacc
764,2,0,0,0,2,2,unacc
765,2,0,0,1,0,0,unacc
766,2,0,0,1,0,1,unacc
775,2,0,0,2,0,1,unacc
777,2,0,0,2,1,0,unacc
778,2,0,0,2,1,1,unacc
