,buying,maint,doors,persons,lug_boot,safety,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
0,3,3,0,0,0,0,unacc,1,0,unacc,True,1
1,3,3,0,0,0,1,unacc,5,2,unacc,True,1
2,3,3,0,0,0,2,unacc,9,3,unacc,True,1
3,3,3,0,0,1,0,unacc,1,0,unacc,True,1
4,3,3,0,0,1,1,unacc,5,2,unacc,True,1
5,3,3,0,0,1,2,unacc,9,3,unacc,True,1
6,3,3,0,0,2,0,unacc,1,0,unacc,True,1
7,3,3,0,0,2,1,unacc,5,2,unacc,True,1
13,3,3,0,1,1,1,unacc,28,11,unacc,True,1
15,3,3,0,1,2,0,unacc,1,0,unacc,True,1
18,3,3,0,2,0,0,unacc,1,0,unacc,True,1
19,3,3,0,2,0,1,unacc,47,15,unacc,True,1
21,3,3,0,2,1,0,unacc,1,0,unacc,True,1
25,3,3,0,2,2,1,unacc,111,40,unacc,True,1
26,3,3,0,2,2,2,unacc,58,18,unacc,True,1
27,3,3,1,0,0,0,unacc,1,0,unacc,True,1
29,3,3,1,0,0,2,unacc,9,3,unacc,True,1
32,3,3,1,0,1,2,unacc,9,3,unacc,True,1
33,3,3,1,0,2,0,unacc,1,0,unacc,True,1
35,3,3,1,0,2,2,unacc,9,3,unacc,True,1
40,3,3,1,1,1,1,unacc,28,11,unacc,True,1
41,3,3,1,1,1,2,unacc,67,21,unacc,True,1
43,3,3,1,1,2,1,unacc,28,11,unacc,True,1
51,3,3,1,2,2,0,unacc,1,0,unacc,True,1
52,3,3,1,2,2,1,unacc,111,40,unacc,True,1
58,3,3,2,0,1,1,unacc,5,2,unacc,True,1
60,3,3,2,0,2,0,unacc,1,0,unacc,True,1
61,3,3,2,0,2,1,unacc,5,2,unacc,True,1
65,3,3,2,1,0,2,unacc,67,21,unacc,True,1
66,3,3,2,1,1,0,unacc,1,0,unacc,True,1
68,3,3,2,1,1,2,unacc,67,21,unacc,True,1
73,3,3,2,2,0,1,unacc,47,15,unacc,True,1
75,3,3,2,2,1,0,unacc,1,0,unacc,True,1
76,3,3,2,2,1,1,unacc,51,16,acc,False,1
80,3,3,2,2,2,2,unacc,58,18,unacc,True,1
81,3,3,3,0,0,0,unacc,1,0,unacc,True,1
82,3,3,3,0,0,1,unacc,5,2,unacc,True,1
85,3,3,3,0,1,1,unacc,5,2,unacc,True,1
87,3,3,3,0,2,0,unacc,1,0,unacc,True,1
90,3,3,3,1,0,0,unacc,1,0,unacc,True,1
92,3,3,3,1,0,2,unacc,67,21,unacc,True,1
93,3,3,3,1,1,0,unacc,1,0,unacc,True,1
96,3,3,3,1,2,0,unacc,1,0,unacc,True,1
98,3,3,3,1,2,2,unacc,67,21,unacc,True,1
100,3,3,3,2,0,1,unacc,47,15,unacc,True,1
101,3,3,3,2,0,2,unacc,58,18,unacc,True,1
104,3,3,3,2,1,2,unacc,58,18,unacc,True,1
107,3,3,3,2,2,2,unacc,58,18,unacc,True,1
111,3,2,0,0,1,0,unacc,1,0,unacc,True,1
120,3,2,0,1,1,0,unacc,1,0,unacc,True,1
123,3,2,0,1,2,0,unacc,1,0,unacc,True,1
125,3,2,0,1,2,2,unacc,68,21,unacc,True,1
128,3,2,0,2,0,2,unacc,56,18,unacc,True,1
129,3,2,0,2,1,0,unacc,1,0,unacc,True,1
130,3,2,0,2,1,1,unacc,133,48,unacc,True,1
136,3,2,1,0,0,1,unacc,5,2,unacc,True,1
137,3,2,1,0,0,2,unacc,9,3,unacc,True,1
143,3,2,1,0,2,2,unacc,9,3,unacc,True,1
145,3,2,1,1,0,1,unacc,30,11,unacc,True,1
150,3,2,1,1,2,0,unacc,1,0,unacc,True,1
151,3,2,1,1,2,1,unacc,30,11,unacc,True,1
153,3,2,1,2,0,0,unacc,1,0,unacc,True,1
154,3,2,1,2,0,1,unacc,47,15,unacc,True,1
157,3,2,1,2,1,1,unacc,135,49,unacc,True,1
