,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,safety,unacc,"{0: 1, 1: 2, 2: 3}",0.15957939839985963,0,False,False
1,1,0,{'safety': 0},True,,unacc,{},0.0,1,False,True
2,2,0,{'safety': 1},True,persons,unacc,"{0: 4, 1: 5, 2: 6}",0.2088826291127606,1,False,False
3,3,0,{'safety': 2},True,persons,unacc,"{1: 7, 2: 8, 0: 9}",0.3225568896868331,1,False,False
4,4,2,"{'safety': 1, 'persons': 0}",True,,unacc,{},0.0,2,False,True
5,5,2,"{'safety': 1, 'persons': 1}",True,lug_boot,acc,"{0: 10, 1: 11, 2: 12}",0.1745548631204203,2,False,False
6,6,2,"{'safety': 1, 'persons': 2}",True,buying,unacc,"{3: 13, 2: 14, 1: 15, 0: 16}",0.15817042395057015,2,False,False
7,7,3,"{'safety': 2, 'persons': 1}",True,buying,acc,"{3: 17, 2: 18, 1: 19, 0: 20}",0.27409870734892783,2,False,False
8,8,3,"{'safety': 2, 'persons': 2}",True,lug_boot,acc,"{1: 21, 0: 22, 2: 23}",0.1454404542670849,2,False,False
9,9,3,"{'safety': 2, 'persons': 0}",True,,unacc,{},0.0,2,False,True
10,10,5,"{'safety': 1, 'persons': 1, 'lug_boot': 0}",True,buying,unacc,"{3: 24, 2: 25, 1: 26, 0: 27}",0.2911289494415072,3,False,False
11,11,5,"{'safety': 1, 'persons': 1, 'lug_boot': 1}",True,maint,unacc,"{3: 28, 2: 29, 0: 30, 1: 31}",0.21964363953951116,3,False,False
12,12,5,"{'safety': 1, 'persons': 1, 'lug_boot': 2}",True,buying,acc,"{2: 32, 3: 33, 1: 34, 0: 35}",0.19423388854122414,3,False,False
13,13,6,"{'safety': 1, 'persons': 2, 'buying': 3}",True,lug_boot,unacc,"{0: 36, 1: 37, 2: 38}",0.20106681590493025,3,False,False
14,14,6,"{'safety': 1, 'persons': 2, 'buying': 2}",True,lug_boot,unacc,"{1: 39, 2: 40, 0: 41}",0.22615328423319248,3,False,False
