,buying,maint,doors,persons,lug_boot,safety,Class
1594,0,1,3,0,0,1,unacc
204,3,2,3,1,2,0,unacc
133,3,2,0,2,2,1,unacc
1686,0,0,2,1,1,0,unacc
37,3,3,1,1,0,1,unacc
1248,1,0,2,0,2,0,unacc
1316,0,3,0,2,0,2,unacc
884,1,3,0,2,0,2,unacc
677,2,1,1,0,0,2,unacc
185,3,2,2,2,1,2,unacc
1514,0,1,0,0,0,2,unacc
328,3,0,0,0,1,1,unacc
1244,1,0,2,0,0,2,unacc
1566,0,1,2,0,0,0,unacc
709,2,1,2,0,2,1,unacc
1026,1,2,2,0,0,0,unacc
1621,0,0,0,0,0,1,unacc
559,2,2,0,2,0,1,unacc
382,3,0,2,0,1,1,unacc
1028,1,2,2,0,0,2,unacc
201,3,2,3,1,1,0,unacc
1351,0,3,2,0,0,1,unacc
147,3,2,1,1,1,0,unacc
623,2,2,3,0,0,2,unacc
895,1,3,1,0,1,1,unacc
229,3,1,0,1,1,1,unacc
1086,1,1,0,0,2,0,unacc
1095,1,1,0,1,2,0,unacc
658,2,1,0,1,0,1,unacc
1503,0,2,3,2,0,0,unacc
192,3,2,3,0,1,0,unacc
1653,0,0,1,0,2,0,unacc
182,3,2,2,2,0,2,unacc
733,2,1,3,0,1,1,unacc
1527,0,1,0,1,2,0,unacc
449,2,3,0,1,2,2,unacc
169,3,2,2,0,2,1,unacc
108,3,2,0,0,0,0,unacc
466,2,3,1,0,2,1,unacc
855,2,0,3,2,0,0,unacc
1257,1,0,2,1,2,0,unacc
711,2,1,2,1,0,0,unacc
1155,1,1,2,2,1,0,unacc
267,3,1,1,2,2,0,unacc
407,3,0,3,0,0,2,unacc
555,2,2,0,1,2,0,unacc
561,2,2,0,2,1,0,unacc
380,3,0,2,0,0,2,unacc
336,3,0,0,1,1,0,unacc
680,2,1,1,0,1,2,unacc
768,2,0,0,1,1,0,unacc
1278,1,0,3,1,0,0,unacc
1665,0,0,1,2,0,0,unacc
72,3,3,2,2,0,0,unacc
1540,0,1,1,0,0,1,unacc
784,2,0,1,0,0,1,unacc
1122,1,1,1,1,2,0,unacc
409,3,0,3,0,1,1,unacc
303,3,1,3,0,2,0,unacc
1219,1,0,1,0,1,1,unacc
1008,1,2,1,1,0,0,unacc
166,3,2,2,0,1,1,unacc
1189,1,0,0,0,0,1,unacc
1350,0,3,2,0,0,0,unacc
760,2,0,0,0,1,1,unacc
861,2,0,3,2,2,0,unacc
1004,1,2,1,0,1,2,unacc
668,2,1,0,2,0,2,unacc
222,3,1,0,0,2,0,unacc
511,2,3,2,2,2,1,unacc
1546,0,1,1,0,2,1,unacc
1524,0,1,0,1,1,0,unacc
621,2,2,3,0,0,0,unacc
383,3,0,2,0,1,2,unacc
1360,0,3,2,1,0,1,unacc
139,3,2,1,0,1,1,unacc
1195,1,0,0,0,2,1,unacc
244,3,1,1,0,0,1,unacc
132,3,2,0,2,2,0,unacc
523,2,3,3,1,0,1,unacc
1470,0,2,2,1,1,0,unacc
1413,0,2,0,1,0,0,unacc
1581,0,1,2,1,2,0,unacc
348,3,0,0,2,2,0,unacc
54,3,3,2,0,0,0,unacc
497,2,3,2,1,0,2,unacc
1542,0,1,1,0,1,0,unacc
146,3,2,1,1,0,2,unacc
1644,0,0,0,2,2,0,unacc
358,3,0,1,0,2,1,unacc
195,3,2,3,0,2,0,unacc
513,2,3,3,0,0,0,unacc
866,1,3,0,0,0,2,unacc
275,3,1,2,0,1,2,unacc
704,2,1,2,0,0,2,unacc
1063,1,2,3,1,0,1,unacc
759,2,0,0,0,1,0,unacc
159,3,2,1,2,2,0,unacc
438,2,3,0,0,2,0,unacc
747,2,1,3,2,0,0,unacc
896,1,3,1,0,1,2,unacc
1382,0,3,3,0,1,2,unacc
124,3,2,0,1,2,1,unacc
496,2,3,2,1,0,1,unacc
74,3,3,2,2,0,2,unacc
