,buying,maint,doors,persons,lug_boot,safety,Class
0,3,3,0,0,0,0,unacc
1,3,3,0,0,0,1,unacc
2,3,3,0,0,0,2,unacc
3,3,3,0,0,1,0,unacc
4,3,3,0,0,1,1,unacc
5,3,3,0,0,1,2,unacc
6,3,3,0,0,2,0,unacc
7,3,3,0,0,2,1,unacc
13,3,3,0,1,1,1,unacc
15,3,3,0,1,2,0,unacc
18,3,3,0,2,0,0,unacc
19,3,3,0,2,0,1,unacc
21,3,3,0,2,1,0,unacc
25,3,3,0,2,2,1,unacc
26,3,3,0,2,2,2,unacc
27,3,3,1,0,0,0,unacc
29,3,3,1,0,0,2,unacc
32,3,3,1,0,1,2,unacc
33,3,3,1,0,2,0,unacc
35,3,3,1,0,2,2,unacc
40,3,3,1,1,1,1,unacc
41,3,3,1,1,1,2,unacc
43,3,3,1,1,2,1,unacc
51,3,3,1,2,2,0,unacc
52,3,3,1,2,2,1,unacc
58,3,3,2,0,1,1,unacc
60,3,3,2,0,2,0,unacc
61,3,3,2,0,2,1,unacc
65,3,3,2,1,0,2,unacc
66,3,3,2,1,1,0,unacc
68,3,3,2,1,1,2,unacc
73,3,3,2,2,0,1,unacc
75,3,3,2,2,1,0,unacc
76,3,3,2,2,1,1,unacc
80,3,3,2,2,2,2,unacc
81,3,3,3,0,0,0,unacc
82,3,3,3,0,0,1,unacc
85,3,3,3,0,1,1,unacc
87,3,3,3,0,2,0,unacc
90,3,3,3,1,0,0,unacc
92,3,3,3,1,0,2,unacc
93,3,3,3,1,1,0,unacc
96,3,3,3,1,2,0,unacc
98,3,3,3,1,2,2,unacc
100,3,3,3,2,0,1,unacc
101,3,3,3,2,0,2,unacc
104,3,3,3,2,1,2,unacc
107,3,3,3,2,2,2,unacc
111,3,2,0,0,1,0,unacc
120,3,2,0,1,1,0,unacc
123,3,2,0,1,2,0,unacc
125,3,2,0,1,2,2,unacc
128,3,2,0,2,0,2,unacc
129,3,2,0,2,1,0,unacc
130,3,2,0,2,1,1,unacc
136,3,2,1,0,0,1,unacc
137,3,2,1,0,0,2,unacc
143,3,2,1,0,2,2,unacc
145,3,2,1,1,0,1,unacc
150,3,2,1,1,2,0,unacc
151,3,2,1,1,2,1,unacc
153,3,2,1,2,0,0,unacc
154,3,2,1,2,0,1,unacc
157,3,2,1,2,1,1,unacc
162,3,2,2,0,0,0,unacc
167,3,2,2,0,1,2,unacc
171,3,2,2,1,0,0,unacc
172,3,2,2,1,0,1,unacc
173,3,2,2,1,0,2,unacc
174,3,2,2,1,1,0,unacc
175,3,2,2,1,1,1,unacc
176,3,2,2,1,1,2,unacc
177,3,2,2,1,2,0,unacc
180,3,2,2,2,0,0,unacc
181,3,2,2,2,0,1,unacc
183,3,2,2,2,1,0,unacc
184,3,2,2,2,1,1,unacc
186,3,2,2,2,2,0,unacc
189,3,2,3,0,0,0,unacc
194,3,2,3,0,1,2,unacc
197,3,2,3,0,2,2,unacc
198,3,2,3,1,0,0,unacc
199,3,2,3,1,0,1,unacc
200,3,2,3,1,0,2,unacc
208,3,2,3,2,0,1,unacc
209,3,2,3,2,0,2,unacc
211,3,2,3,2,1,1,unacc
213,3,2,3,2,2,0,unacc
219,3,1,0,0,1,0,unacc
223,3,1,0,0,2,1,unacc
224,3,1,0,0,2,2,unacc
226,3,1,0,1,0,1,unacc
231,3,1,0,1,2,0,unacc
234,3,1,0,2,0,0,unacc
237,3,1,0,2,1,0,unacc
238,3,1,0,2,1,1,unacc
243,3,1,1,0,0,0,unacc
247,3,1,1,0,1,1,unacc
248,3,1,1,0,1,2,unacc
250,3,1,1,0,2,1,unacc
252,3,1,1,1,0,0,unacc
256,3,1,1,1,1,1,unacc
262,3,1,1,2,0,1,unacc
270,3,1,2,0,0,0,unacc
272,3,1,2,0,0,2,unacc
278,3,1,2,0,2,2,unacc
282,3,1,2,1,1,0,unacc
291,3,1,2,2,1,0,unacc
298,3,1,3,0,0,1,unacc
302,3,1,3,0,1,2,unacc
305,3,1,3,0,2,2,unacc
307,3,1,3,1,0,1,unacc
309,3,1,3,1,1,0,unacc
316,3,1,3,2,0,1,unacc
321,3,1,3,2,2,0,unacc
325,3,0,0,0,0,1,unacc
326,3,0,0,0,0,2,unacc
337,3,0,0,1,1,1,unacc
342,3,0,0,2,0,0,unacc
343,3,0,0,2,0,1,unacc
344,3,0,0,2,0,2,unacc
345,3,0,0,2,1,0,unacc
346,3,0,0,2,1,1,unacc
351,3,0,1,0,0,0,unacc
352,3,0,1,0,0,1,unacc
353,3,0,1,0,0,2,unacc
356,3,0,1,0,1,2,unacc
360,3,0,1,1,0,0,unacc
361,3,0,1,1,0,1,unacc
369,3,0,1,2,0,0,unacc
370,3,0,1,2,0,1,unacc
379,3,0,2,0,0,1,unacc
381,3,0,2,0,1,0,unacc
384,3,0,2,0,2,0,unacc
386,3,0,2,0,2,2,unacc
387,3,0,2,1,0,0,unacc
390,3,0,2,1,1,0,unacc
396,3,0,2,2,0,0,unacc
399,3,0,2,2,1,0,unacc
405,3,0,3,0,0,0,unacc
406,3,0,3,0,0,1,unacc
408,3,0,3,0,1,0,unacc
411,3,0,3,0,2,0,unacc
412,3,0,3,0,2,1,unacc
413,3,0,3,0,2,2,unacc
424,3,0,3,2,0,1,unacc
429,3,0,3,2,2,0,unacc
432,2,3,0,0,0,0,unacc
434,2,3,0,0,0,2,unacc
435,2,3,0,0,1,0,unacc
436,2,3,0,0,1,1,unacc
437,2,3,0,0,1,2,unacc
443,2,3,0,1,0,2,unacc
446,2,3,0,1,1,2,unacc
451,2,3,0,2,0,1,unacc
455,2,3,0,2,1,2,unacc
457,2,3,0,2,2,1,unacc
460,2,3,1,0,0,1,unacc
461,2,3,1,0,0,2,unacc
463,2,3,1,0,1,1,unacc
464,2,3,1,0,1,2,unacc
473,2,3,1,1,1,2,unacc
475,2,3,1,1,2,1,unacc
478,2,3,1,2,0,1,unacc
479,2,3,1,2,0,2,unacc
482,2,3,1,2,1,2,unacc
483,2,3,1,2,2,0,unacc
487,2,3,2,0,0,1,unacc
489,2,3,2,0,1,0,unacc
490,2,3,2,0,1,1,unacc
494,2,3,2,0,2,2,unacc
495,2,3,2,1,0,0,unacc
500,2,3,2,1,1,2,unacc
502,2,3,2,1,2,1,unacc
503,2,3,2,1,2,2,unacc
504,2,3,2,2,0,0,unacc
505,2,3,2,2,0,1,unacc
508,2,3,2,2,1,1,unacc
512,2,3,2,2,2,2,unacc
514,2,3,3,0,0,1,unacc
515,2,3,3,0,0,2,unacc
516,2,3,3,0,1,0,unacc
517,2,3,3,0,1,1,unacc
518,2,3,3,0,1,2,unacc
519,2,3,3,0,2,0,unacc
524,2,3,3,1,0,2,unacc
528,2,3,3,1,2,0,unacc
529,2,3,3,1,2,1,unacc
531,2,3,3,2,0,0,unacc
532,2,3,3,2,0,1,unacc
535,2,3,3,2,1,1,unacc
536,2,3,3,2,1,2,unacc
538,2,3,3,2,2,1,unacc
545,2,2,0,0,1,2,unacc
547,2,2,0,0,2,1,unacc
550,2,2,0,1,0,1,unacc
564,2,2,0,2,2,0,unacc
570,2,2,1,0,1,0,unacc
571,2,2,1,0,1,1,unacc
573,2,2,1,0,2,0,unacc
574,2,2,1,0,2,1,unacc
575,2,2,1,0,2,2,unacc
576,2,2,1,1,0,0,unacc
577,2,2,1,1,0,1,unacc
579,2,2,1,1,1,0,unacc
580,2,2,1,1,1,1,unacc
585,2,2,1,2,0,0,unacc
595,2,2,2,0,0,1,unacc
601,2,2,2,0,2,1,unacc
602,2,2,2,0,2,2,unacc
603,2,2,2,1,0,0,unacc
604,2,2,2,1,0,1,unacc
609,2,2,2,1,2,0,unacc
612,2,2,2,2,0,0,unacc
615,2,2,2,2,1,0,unacc
618,2,2,2,2,2,0,unacc
622,2,2,3,0,0,1,unacc
625,2,2,3,0,1,1,unacc
626,2,2,3,0,1,2,unacc
628,2,2,3,0,2,1,unacc
629,2,2,3,0,2,2,unacc
631,2,2,3,1,0,1,unacc
642,2,2,3,2,1,0,unacc
649,2,1,0,0,0,1,unacc
653,2,1,0,0,1,2,unacc
654,2,1,0,0,2,0,unacc
656,2,1,0,0,2,2,unacc
657,2,1,0,1,0,0,unacc
661,2,1,0,1,1,1,unacc
679,2,1,1,0,1,1,unacc
682,2,1,1,0,2,1,unacc
684,2,1,1,1,0,0,unacc
699,2,1,1,2,2,0,unacc
702,2,1,2,0,0,0,unacc
703,2,1,2,0,0,1,unacc
705,2,1,2,0,1,0,unacc
710,2,1,2,0,2,2,unacc
714,2,1,2,1,1,0,unacc
717,2,1,2,1,2,0,unacc
721,2,1,2,2,0,1,unacc
726,2,1,2,2,2,0,unacc
730,2,1,3,0,0,1,unacc
732,2,1,3,0,1,0,unacc
734,2,1,3,0,1,2,unacc
735,2,1,3,0,2,0,unacc
736,2,1,3,0,2,1,unacc
737,2,1,3,0,2,2,unacc
741,2,1,3,1,1,0,unacc
744,2,1,3,1,2,0,unacc
750,2,1,3,2,1,0,unacc
