,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,safety,unacc,"{0: 1, 1: 2, 2: 3}",0.1697324143259372,0,False,False
1,1,0,{'safety': 0},True,,unacc,{},0.0,1,False,True
2,2,0,{'safety': 1},True,persons,unacc,"{1: 4, 0: 5, 2: 6}",0.1946999009467988,1,False,False
3,3,0,{'safety': 2},True,persons,unacc,"{0: 7, 2: 8, 1: 9}",0.3006264284410937,1,False,False
4,4,2,"{'safety': 1, 'persons': 1}",True,maint,acc,"{2: 10, 0: 11, 3: 12, 1: 13}",0.127486333097355,2,False,False
5,5,2,"{'safety': 1, 'persons': 0}",True,,unacc,{},0.0,2,False,True
6,6,2,"{'safety': 1, 'persons': 2}",True,lug_boot,acc,"{0: 14, 1: 15, 2: 16}",0.1166001568420694,2,False,False
7,7,3,"{'safety': 2, 'persons': 0}",True,,unacc,{},0.0,2,False,True
8,8,3,"{'safety': 2, 'persons': 2}",True,buying,acc,"{3: 17, 2: 18, 0: 19, 1: 20}",0.2214210760268085,2,False,False
9,9,3,"{'safety': 2, 'persons': 1}",True,buying,acc,"{3: 21, 2: 22, 1: 23, 0: 24}",0.2695206778582861,2,False,False
10,10,4,"{'safety': 1, 'persons': 1, 'maint': 2}",True,buying,unacc,"{3: 25, 2: 26, 1: 27, 0: 28}",0.2688719013149387,3,False,False
11,11,4,"{'safety': 1, 'persons': 1, 'maint': 0}",True,buying,acc,"{3: 29, 2: 30, 1: 31, 0: 32}",0.2644730399925689,3,False,False
12,12,4,"{'safety': 1, 'persons': 1, 'maint': 3}",True,buying,unacc,"{2: 33, 1: 34, 0: 35, 3: 36}",0.2041725556396712,3,False,False
13,13,4,"{'safety': 1, 'persons': 1, 'maint': 1}",True,buying,acc,"{3: 37, 2: 38, 0: 39, 1: 40}",0.1549864134072946,3,False,False
14,14,6,"{'safety': 1, 'persons': 2, 'lug_boot': 0}",True,buying,unacc,"{1: 41, 3: 42, 0: 43, 2: 44}",0.1414314606765612,3,False,False
15,15,6,"{'safety': 1, 'persons': 2, 'lug_boot': 1}",True,maint,acc,"{3: 45, 2: 46, 1: 47, 0: 48}",0.2656272006917271,3,False,False
16,16,6,"{'safety': 1, 'persons': 2, 'lug_boot': 2}",True,buying,acc,"{2: 49, 3: 50, 1: 51, 0: 52}",0.2051371905052603,3,False,False
17,17,8,"{'safety': 2, 'persons': 2, 'buying': 3}",True,maint,unacc,"{2: 53, 3: 54, 0: 55, 1: 56}",0.4266874230807708,3,False,False
18,18,8,"{'safety': 2, 'persons': 2, 'buying': 2}",True,maint,acc,"{3: 57, 1: 58, 2: 59, 0: 60}",0.3637701540287809,3,False,False
19,19,8,"{'safety': 2, 'persons': 2, 'buying': 0}",True,maint,acc,"{2: 61, 1: 62, 3: 63, 0: 64}",0.4649827985984821,3,False,False
20,20,8,"{'safety': 2, 'persons': 2, 'buying': 1}",True,maint,acc,"{2: 65, 3: 66, 1: 67, 0: 68}",0.4355218950802869,3,False,False
21,21,9,"{'safety': 2, 'persons': 1, 'buying': 3}",True,maint,acc,"{3: 69, 2: 70, 1: 71, 0: 72}",0.5217801352544132,3,False,False
22,22,9,"{'safety': 2, 'persons': 1, 'buying': 2}",True,maint,acc,"{3: 73, 2: 74, 0: 75, 1: 76}",0.4886666166521122,3,False,False
