,buying,maint,doors,persons,lug_boot,safety,Class
240,3,1,0,2,2,0,unacc
63,3,3,2,1,0,0,unacc
357,3,0,1,0,2,0,unacc
472,2,3,1,1,1,1,unacc
676,2,1,1,0,0,1,unacc
288,3,1,2,2,0,0,unacc
1173,1,1,3,1,1,0,unacc
1059,1,2,3,0,2,0,unacc
1057,1,2,3,0,1,1,unacc
708,2,1,2,0,2,0,unacc
633,2,2,3,1,1,0,unacc
509,2,3,2,2,1,2,unacc
142,3,2,1,0,2,1,unacc
1701,0,0,3,0,0,0,unacc
1449,0,2,1,2,0,0,unacc
1702,0,0,3,0,0,1,unacc
1084,1,1,0,0,1,1,unacc
1071,1,2,3,2,0,0,unacc
882,1,3,0,2,0,0,unacc
681,2,1,1,0,2,0,unacc
1486,0,2,3,0,0,1,unacc
1033,1,2,2,0,2,1,unacc
38,3,3,1,1,0,2,unacc
84,3,3,3,0,1,0,unacc
188,3,2,2,2,2,2,unacc
1595,0,1,3,0,0,2,unacc
1625,0,0,0,0,1,2,unacc
828,2,0,2,2,0,0,unacc
526,2,3,3,1,1,1,unacc
214,3,2,3,2,2,1,unacc
439,2,3,0,0,2,1,unacc
14,3,3,0,1,1,2,unacc
1335,0,3,1,1,1,0,unacc
690,2,1,1,1,2,0,unacc
1620,0,0,0,0,0,0,unacc
933,1,3,2,1,2,0,unacc
868,1,3,0,0,1,1,unacc
330,3,0,0,0,2,0,unacc
402,3,0,2,2,2,0,unacc
1018,1,2,1,2,0,1,unacc
1404,0,2,0,0,0,0,unacc
1493,0,2,3,0,2,2,unacc
951,1,3,3,0,2,0,unacc
1425,0,2,0,2,1,0,unacc
300,3,1,3,0,1,0,unacc
1142,1,1,2,0,2,2,unacc
1389,0,3,3,1,1,0,unacc
31,3,3,1,0,1,1,unacc
801,2,0,1,2,0,0,unacc
454,2,3,0,2,1,1,unacc
1521,0,1,0,1,0,0,unacc
1668,0,0,1,2,1,0,unacc
1639,0,0,0,2,0,1,unacc
1593,0,1,3,0,0,0,unacc
1689,0,0,2,1,2,0,unacc
1323,0,3,1,0,0,0,unacc
89,3,3,3,0,2,2,unacc
1332,0,3,1,1,0,0,unacc
1519,0,1,0,0,2,1,unacc
558,2,2,0,2,0,0,unacc
810,2,0,2,0,0,0,unacc
433,2,3,0,0,0,1,unacc
49,3,3,1,2,1,1,unacc
196,3,2,3,0,2,1,unacc
870,1,3,0,0,2,0,unacc
1490,0,2,3,0,1,2,unacc
598,2,2,2,0,1,1,unacc
113,3,2,0,0,1,2,unacc
1357,0,3,2,0,2,1,unacc
10,3,3,0,1,0,1,unacc
474,2,3,1,1,2,0,unacc
388,3,0,2,1,0,1,unacc
839,2,0,3,0,0,2,unacc
1598,0,1,3,0,1,2,unacc
1374,0,3,2,2,2,0,unacc
937,1,3,2,2,0,1,unacc
276,3,1,2,0,2,0,unacc
960,1,3,3,1,2,0,unacc
780,2,0,0,2,2,0,unacc
1271,1,0,3,0,0,2,unacc
569,2,2,1,0,0,2,unacc
999,1,2,1,0,0,0,unacc
225,3,1,0,1,0,0,unacc
312,3,1,3,1,2,0,unacc
1569,0,1,2,0,1,0,unacc
651,2,1,0,0,1,0,unacc
164,3,2,2,0,0,2,unacc
448,2,3,0,1,2,1,unacc
484,2,3,1,2,2,1,unacc
910,1,3,1,2,0,1,unacc
693,2,1,1,2,0,0,unacc
1458,0,2,2,0,0,0,unacc
562,2,2,0,2,1,1,unacc
582,2,2,1,1,2,0,unacc
255,3,1,1,1,1,0,unacc
972,1,2,0,0,0,0,unacc
936,1,3,2,2,0,0,unacc
493,2,3,2,0,2,1,unacc
1680,0,0,2,0,2,0,unacc
776,2,0,0,2,0,2,unacc
1188,1,0,0,0,0,0,unacc
1533,0,1,0,2,1,0,unacc
24,3,3,0,2,2,0,unacc
17,3,3,0,1,2,2,unacc
1031,1,2,2,0,1,2,unacc
1082,1,1,0,0,0,2,unacc
546,2,2,0,0,2,0,unacc
415,3,0,3,1,0,1,unacc
378,3,0,2,0,0,0,unacc
118,3,2,0,1,0,1,unacc
501,2,3,2,1,2,0,unacc
149,3,2,1,1,1,2,unacc
1134,1,1,2,0,0,0,unacc
774,2,0,0,2,0,0,unacc
1263,1,0,2,2,1,0,unacc
117,3,2,0,1,0,0,unacc
39,3,3,1,1,1,0,unacc
549,2,2,0,1,0,0,unacc
1100,1,1,0,2,0,2,unacc
158,3,2,1,2,1,2,unacc
1182,1,1,3,2,1,0,unacc
1251,1,0,2,1,0,0,unacc
892,1,3,1,0,0,1,unacc
1708,0,0,3,0,2,1,unacc
683,2,1,1,0,2,2,unacc
696,2,1,1,2,1,0,unacc
540,2,2,0,0,0,0,unacc
812,2,0,2,0,0,2,unacc
1599,0,1,3,0,2,0,unacc
1602,0,1,3,1,0,0,unacc
1659,0,0,1,1,1,0,unacc
