,buying,maint,doors,persons,lug_boot,safety,Class
922,1,3,2,0,1,1,unacc
1327,0,3,1,0,1,1,unacc
255,3,1,1,1,1,0,unacc
1649,0,0,1,0,0,2,unacc
1374,0,3,2,2,2,0,unacc
397,3,0,2,2,0,1,unacc
920,1,3,2,0,0,2,unacc
1203,1,0,0,1,2,0,unacc
873,1,3,0,1,0,0,unacc
33,3,3,1,0,2,0,unacc
1248,1,0,2,0,2,0,unacc
1247,1,0,2,0,1,2,unacc
54,3,3,2,0,0,0,unacc
1470,0,2,2,1,1,0,unacc
219,3,1,0,0,1,0,unacc
1639,0,0,0,2,0,1,unacc
627,2,2,3,0,2,0,unacc
11,3,3,0,1,0,2,unacc
175,3,2,2,1,1,1,unacc
1179,1,1,3,2,0,0,unacc
514,2,3,3,0,0,1,unacc
1077,1,2,3,2,2,0,unacc
315,3,1,3,2,0,0,unacc
204,3,2,3,1,2,0,unacc
1539,0,1,1,0,0,0,unacc
1,3,3,0,0,0,1,unacc
1490,0,2,3,0,1,2,unacc
159,3,2,1,2,2,0,unacc
532,2,3,3,2,0,1,unacc
1708,0,0,3,0,2,1,unacc
1224,1,0,1,1,0,0,unacc
477,2,3,1,2,0,0,unacc
764,2,0,0,0,2,2,unacc
1212,1,0,0,2,2,0,unacc
332,3,0,0,0,2,2,unacc
1027,1,2,2,0,0,1,unacc
693,2,1,1,2,0,0,unacc
1072,1,2,3,2,0,1,unacc
1655,0,0,1,0,2,2,unacc
1463,0,2,2,0,1,2,unacc
34,3,3,1,0,2,1,unacc
381,3,0,2,0,1,0,unacc
787,2,0,1,0,1,1,unacc
356,3,0,1,0,1,2,unacc
24,3,3,0,2,2,0,unacc
1358,0,3,2,0,2,2,unacc
70,3,3,2,1,2,1,unacc
861,2,0,3,2,2,0,unacc
58,3,3,2,0,1,1,unacc
463,2,3,1,0,1,1,unacc
1494,0,2,3,1,0,0,unacc
771,2,0,0,1,2,0,unacc
1168,1,1,3,0,2,1,unacc
450,2,3,0,2,0,0,unacc
129,3,2,0,2,1,0,unacc
1551,0,1,1,1,1,0,unacc
4,3,3,0,0,1,1,unacc
337,3,0,0,1,1,1,unacc
55,3,3,2,0,0,1,unacc
855,2,0,3,2,0,0,unacc
1034,1,2,2,0,2,2,unacc
234,3,1,0,2,0,0,unacc
278,3,1,2,0,2,2,unacc
1408,0,2,0,0,1,1,unacc
455,2,3,0,2,1,2,unacc
1581,0,1,2,1,2,0,unacc
1385,0,3,3,0,2,2,unacc
1452,0,2,1,2,1,0,unacc
1620,0,0,0,0,0,0,unacc
114,3,2,0,0,2,0,unacc
1101,1,1,0,2,1,0,unacc
872,1,3,0,0,2,2,unacc
1230,1,0,1,1,2,0,unacc
982,1,2,0,1,0,1,unacc
85,3,3,3,0,1,1,unacc
884,1,3,0,2,0,2,unacc
748,2,1,3,2,0,1,unacc
461,2,3,1,0,0,2,unacc
1352,0,3,2,0,0,2,unacc
915,1,3,1,2,2,0,unacc
1257,1,0,2,1,2,0,unacc
1584,0,1,2,2,0,0,unacc
277,3,1,2,0,2,1,unacc
1035,1,2,2,1,0,0,unacc
1406,0,2,0,0,0,2,unacc
512,2,3,2,2,2,2,unacc
1540,0,1,1,0,0,1,unacc
410,3,0,3,0,1,2,unacc
390,3,0,2,1,1,0,unacc
415,3,0,3,1,0,1,unacc
1329,0,3,1,0,2,0,unacc
867,1,3,0,0,1,0,unacc
247,3,1,1,0,1,1,unacc
1725,0,0,3,2,2,0,unacc
120,3,2,0,1,1,0,unacc
1654,0,0,1,0,2,1,unacc
550,2,2,0,1,0,1,unacc
147,3,2,1,1,1,0,unacc
305,3,1,3,0,2,2,unacc
731,2,1,3,0,0,2,unacc
927,1,3,2,1,0,0,unacc
173,3,2,2,1,0,2,unacc
776,2,0,0,2,0,2,unacc
900,1,3,1,1,0,0,unacc
71,3,3,2,1,2,2,unacc
579,2,2,1,1,1,0,unacc
79,3,3,2,2,2,1,unacc
238,3,1,0,2,1,1,unacc
582,2,2,1,1,2,0,unacc
140,3,2,1,0,1,2,unacc
1275,1,0,3,0,2,0,unacc
13,3,3,0,1,1,1,unacc
528,2,3,3,1,2,0,unacc
601,2,2,2,0,2,1,unacc
93,3,3,3,1,1,0,unacc
1006,1,2,1,0,2,1,unacc
538,2,3,3,2,2,1,unacc
1142,1,1,2,0,2,2,unacc
304,3,1,3,0,2,1,unacc
1163,1,1,3,0,0,2,unacc
462,2,3,1,0,1,0,unacc
1706,0,0,3,0,1,2,unacc
624,2,2,3,0,1,0,unacc
705,2,1,2,0,1,0,unacc
1112,1,1,1,0,1,2,unacc
44,3,3,1,1,2,2,unacc
1350,0,3,2,0,0,0,unacc
412,3,0,3,0,2,1,unacc
1455,0,2,1,2,2,0,unacc
1356,0,3,2,0,2,0,unacc
1305,0,3,0,1,0,0,unacc
720,2,1,2,2,0,0,unacc
822,2,0,2,1,1,0,unacc
711,2,1,2,1,0,0,unacc
946,1,3,3,0,0,1,unacc
928,1,3,2,1,0,1,unacc
785,2,0,1,0,0,2,unacc
414,3,0,3,1,0,0,unacc
171,3,2,2,1,0,0,unacc
451,2,3,0,2,0,1,unacc
177,3,2,2,1,2,0,unacc
203,3,2,3,1,1,2,unacc
994,1,2,0,2,1,1,unacc
248,3,1,1,0,1,2,unacc
865,1,3,0,0,0,1,unacc
443,2,3,0,1,0,2,unacc
452,2,3,0,2,0,2,unacc
796,2,0,1,1,1,1,unacc
930,1,3,2,1,1,0,unacc
1250,1,0,2,0,2,2,unacc
1125,1,1,1,2,0,0,unacc
1422,0,2,0,2,0,0,unacc
810,2,0,2,0,0,0,unacc
736,2,1,3,0,2,1,unacc
31,3,3,1,0,1,1,unacc
180,3,2,2,2,0,0,unacc
150,3,2,1,1,2,0,unacc
163,3,2,2,0,0,1,unacc
876,1,3,0,1,1,0,unacc
174,3,2,2,1,1,0,unacc
300,3,1,3,0,1,0,unacc
158,3,2,1,2,1,2,unacc
1492,0,2,3,0,2,1,unacc
43,3,3,1,1,2,1,unacc
791,2,0,1,0,2,2,unacc
303,3,1,3,0,2,0,unacc
496,2,3,2,1,0,1,unacc
765,2,0,0,1,0,0,unacc
521,2,3,3,0,2,2,unacc
681,2,1,1,0,2,0,unacc
1701,0,0,3,0,0,0,unacc
1703,0,0,3,0,0,2,unacc
61,3,3,2,0,2,1,unacc
792,2,0,1,1,0,0,unacc
672,2,1,0,2,2,0,unacc
1033,1,2,2,0,2,1,unacc
214,3,2,3,2,2,1,unacc
602,2,2,2,0,2,2,unacc
264,3,1,1,2,1,0,unacc
92,3,3,3,1,0,2,unacc
1062,1,2,3,1,0,0,unacc
122,3,2,0,1,1,2,unacc
223,3,1,0,0,2,1,unacc
