,buying,maint,doors,persons,lug_boot,safety,Class
21,3,3,0,2,1,0,unacc
1192,1,0,0,0,1,1,unacc
199,3,2,3,1,0,1,unacc
1536,0,1,0,2,2,0,unacc
1233,1,0,1,2,0,0,unacc
1514,0,1,0,0,0,2,unacc
106,3,3,3,2,2,1,unacc
30,3,3,1,0,1,0,unacc
1671,0,0,1,2,2,0,unacc
540,2,2,0,0,0,0,unacc
387,3,0,2,1,0,0,unacc
378,3,0,2,0,0,0,unacc
192,3,2,3,0,1,0,unacc
604,2,2,2,1,0,1,unacc
769,2,0,0,1,1,1,unacc
60,3,3,2,0,2,0,unacc
471,2,3,1,1,1,0,unacc
845,2,0,3,0,2,2,unacc
1197,1,0,0,1,0,0,unacc
910,1,3,1,2,0,1,unacc
766,2,0,0,1,0,1,unacc
522,2,3,3,1,0,0,unacc
1173,1,1,3,1,1,0,unacc
1196,1,0,0,0,2,2,unacc
1434,0,2,1,0,1,0,unacc
1678,0,0,2,0,1,1,unacc
75,3,3,2,2,1,0,unacc
597,2,2,2,0,1,0,unacc
95,3,3,3,1,1,2,unacc
1054,1,2,3,0,0,1,unacc
504,2,3,2,2,0,0,unacc
981,1,2,0,1,0,0,unacc
501,2,3,2,1,2,0,unacc
354,3,0,1,0,1,0,unacc
186,3,2,2,2,2,0,unacc
1060,1,2,3,0,2,1,unacc
1377,0,3,3,0,0,0,unacc
124,3,2,0,1,2,1,unacc
1473,0,2,2,1,2,0,unacc
898,1,3,1,0,2,1,unacc
1218,1,0,1,0,1,0,unacc
1709,0,0,3,0,2,2,unacc
97,3,3,3,1,2,1,unacc
838,2,0,3,0,0,1,unacc
1325,0,3,1,0,0,2,unacc
536,2,3,3,2,1,2,unacc
768,2,0,0,1,1,0,unacc
1436,0,2,1,0,1,2,unacc
1520,0,1,0,0,2,2,unacc
19,3,3,0,2,0,1,unacc
495,2,3,2,1,0,0,unacc
1169,1,1,3,0,2,2,unacc
446,2,3,0,1,1,2,unacc
447,2,3,0,1,2,0,unacc
1176,1,1,3,1,2,0,unacc
26,3,3,0,2,2,2,unacc
899,1,3,1,0,2,2,unacc
243,3,1,1,0,0,0,unacc
190,3,2,3,0,0,1,unacc
181,3,2,2,2,0,1,unacc
442,2,3,0,1,0,1,unacc
1410,0,2,0,0,2,0,unacc
487,2,3,2,0,0,1,unacc
1413,0,2,0,1,0,0,unacc
1624,0,0,0,0,1,1,unacc
888,1,3,0,2,2,0,unacc
1622,0,0,0,0,0,2,unacc
1080,1,1,0,0,0,0,unacc
1223,1,0,1,0,2,2,unacc
630,2,2,3,1,0,0,unacc
162,3,2,2,0,0,0,unacc
1479,0,2,2,2,1,0,unacc
353,3,0,1,0,0,2,unacc
1344,0,3,1,2,1,0,unacc
837,2,0,3,0,0,0,unacc
1489,0,2,3,0,1,1,unacc
486,2,3,2,0,0,0,unacc
1270,1,0,3,0,0,1,unacc
1152,1,1,2,2,0,0,unacc
541,2,2,0,0,0,1,unacc
688,2,1,1,1,1,1,unacc
482,2,3,1,2,1,2,unacc
76,3,3,2,2,1,1,unacc
458,2,3,0,2,2,2,unacc
1382,0,3,3,0,1,2,unacc
1466,0,2,2,0,2,2,unacc
1602,0,1,3,1,0,0,unacc
99,3,3,3,2,0,0,unacc
973,1,2,0,0,0,1,unacc
417,3,0,3,1,1,0,unacc
1395,0,3,3,2,0,0,unacc
704,2,1,2,0,0,2,unacc
