,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,safety,unacc,"{1: 1, 0: 2, 2: 3}",0.16219751111977584,0,False,False
1,1,0,{'safety': 1},True,persons,unacc,"{2: 4, 0: 5, 1: 6}",0.2176527192625785,1,False,False
2,2,0,{'safety': 0},True,,unacc,{},0.0,1,False,True
3,3,0,{'safety': 2},True,persons,unacc,"{0: 7, 2: 8, 1: 9}",0.3133843589563604,1,False,False
4,4,1,"{'safety': 1, 'persons': 2}",True,maint,acc,"{2: 10, 3: 11, 1: 12, 0: 13}",0.1831685426802048,2,False,False
5,5,1,"{'safety': 1, 'persons': 0}",True,,unacc,{},0.0,2,False,True
6,6,1,"{'safety': 1, 'persons': 1}",True,lug_boot,acc,"{0: 14, 1: 15, 2: 16}",0.15523099582389777,2,False,False
7,7,3,"{'safety': 2, 'persons': 0}",True,,unacc,{},0.0,2,False,True
8,8,3,"{'safety': 2, 'persons': 2}",True,buying,acc,"{2: 17, 1: 18, 3: 19, 0: 20}",0.23593378819404565,2,False,False
9,9,3,"{'safety': 2, 'persons': 1}",True,buying,acc,"{3: 21, 2: 22, 1: 23, 0: 24}",0.27307393843321875,2,False,False
10,10,4,"{'safety': 1, 'persons': 2, 'maint': 2}",True,buying,acc,"{3: 25, 2: 26, 0: 27, 1: 28}",0.3006786949737547,3,False,False
11,11,4,"{'safety': 1, 'persons': 2, 'maint': 3}",True,buying,unacc,"{2: 29, 3: 30, 1: 31, 0: 32}",0.2143355284022047,3,False,False
12,12,4,"{'safety': 1, 'persons': 2, 'maint': 1}",True,lug_boot,acc,"{0: 33, 1: 34, 2: 35}",0.2470013717181547,3,False,False
13,13,4,"{'safety': 1, 'persons': 2, 'maint': 0}",True,doors,acc,"{0: 36, 1: 37, 2: 38, 3: 39}",0.296453356417858,3,False,False
14,14,6,"{'safety': 1, 'persons': 1, 'lug_boot': 0}",True,maint,unacc,"{2: 40, 3: 41, 0: 42, 1: 43}",0.1348239351372802,3,False,False
15,15,6,"{'safety': 1, 'persons': 1, 'lug_boot': 1}",True,buying,acc,"{3: 44, 0: 45, 1: 46, 2: 47}",0.30476800082516264,3,False,False
16,16,6,"{'safety': 1, 'persons': 1, 'lug_boot': 2}",True,buying,acc,"{2: 48, 3: 49, 1: 50, 0: 51}",0.27474664213242284,3,False,False
17,17,8,"{'safety': 2, 'persons': 2, 'buying': 2}",True,maint,acc,"{3: 52, 0: 53, 1: 54, 2: 55}",0.39805197466553155,3,False,False
18,18,8,"{'safety': 2, 'persons': 2, 'buying': 1}",True,maint,acc,"{2: 56, 3: 57, 1: 58, 0: 59}",0.32628692019958583,3,False,False
19,19,8,"{'safety': 2, 'persons': 2, 'buying': 3}",True,maint,unacc,"{2: 60, 3: 61, 0: 62, 1: 63}",0.46422089946491774,3,False,False
20,20,8,"{'safety': 2, 'persons': 2, 'buying': 0}",True,maint,vgood,"{1: 64, 3: 65, 2: 66, 0: 67}",0.45691926856962367,3,False,False
21,21,9,"{'safety': 2, 'persons': 1, 'buying': 3}",True,maint,unacc,"{3: 68, 2: 69, 1: 70, 0: 71}",0.4932116411371584,3,False,False
22,22,9,"{'safety': 2, 'persons': 1, 'buying': 2}",True,maint,acc,"{3: 72, 0: 73, 1: 74, 2: 75}",0.42572210214753814,3,False,False
23,23,9,"{'safety': 2, 'persons': 1, 'buying': 1}",True,maint,acc,"{2: 76, 3: 77, 1: 78, 0: 79}",0.4506222377616286,3,False,False
24,24,9,"{'safety': 2, 'persons': 1, 'buying': 0}",True,maint,acc,"{3: 80, 2: 81, 0: 82, 1: 83}",0.46786588933406004,3,False,False
25,25,10,"{'safety': 1, 'persons': 2, 'maint': 2, 'buying': 3}",True,,unacc,{},0.0,4,False,True
26,26,10,"{'safety': 1, 'persons': 2, 'maint': 2, 'buying': 2}",True,lug_boot,unacc,"{1: 84, 0: 85, 2: 86}",0.6379659057318251,4,False,False
27,27,10,"{'safety': 1, 'persons': 2, 'maint': 2, 'buying': 0}",True,lug_boot,acc,"{0: 87, 2: 88, 1: 89}",0.19570605687163603,4,False,False
28,28,10,"{'safety': 1, 'persons': 2, 'maint': 2, 'buying': 1}",True,,acc,{},0.0,4,False,True
29,29,11,"{'safety': 1, 'persons': 2, 'maint': 3, 'buying': 2}",True,,unacc,{},0.0,4,False,True
30,30,11,"{'safety': 1, 'persons': 2, 'maint': 3, 'buying': 3}",True,,unacc,{},0.0,4,False,True
31,31,11,"{'safety': 1, 'persons': 2, 'maint': 3, 'buying': 1}",True,lug_boot,acc,"{0: 90, 2: 91}",0.9999851670396317,4,False,False
32,32,11,"{'safety': 1, 'persons': 2, 'maint': 3, 'buying': 0}",True,lug_boot,unacc,"{0: 92, 1: 93}",0.9999800684314307,4,False,False
33,33,12,"{'safety': 1, 'persons': 2, 'maint': 1, 'lug_boot': 0}",True,doors,unacc,"{0: 94, 3: 95, 1: 96}",0.7082226904808651,4,False,False
34,34,12,"{'safety': 1, 'persons': 2, 'maint': 1, 'lug_boot': 1}",True,,acc,{},0.0,4,False,True
35,35,12,"{'safety': 1, 'persons': 2, 'maint': 1, 'lug_boot': 2}",True,,acc,{},0.0,4,False,True
36,36,13,"{'safety': 1, 'persons': 2, 'maint': 0, 'doors': 0}",True,lug_boot,unacc,"{0: 97, 1: 98}",0.31127289156699045,4,False,False
37,37,13,"{'safety': 1, 'persons': 2, 'maint': 0, 'doors': 1}",True,buying,acc,"{3: 99, 2: 100, 0: 101, 1: 102}",0.25486534899630275,4,False,False
38,38,13,"{'safety': 1, 'persons': 2, 'maint': 0, 'doors': 2}",True,buying,good,"{0: 103, 3: 104, 1: 105}",0.37514415020342745,4,False,False
39,39,13,"{'safety': 1, 'persons': 2, 'maint': 0, 'doors': 3}",True,buying,good,"{3: 106, 1: 107, 0: 108}",0.5793675888660494,4,False,False
40,40,14,"{'safety': 1, 'persons': 1, 'lug_boot': 0, 'maint': 2}",True,buying,unacc,"{2: 109, 1: 110, 3: 111, 0: 112}",0.36263077766911145,4,False,False
41,41,14,"{'safety': 1, 'persons': 1, 'lug_boot': 0, 'maint': 3}",True,,unacc,{},0.0,4,False,True
42,42,14,"{'safety': 1, 'persons': 1, 'lug_boot': 0, 'maint': 0}",True,buying,acc,"{3: 113, 2: 114, 1: 115, 0: 116}",0.5051877080014882,4,False,False
43,43,14,"{'safety': 1, 'persons': 1, 'lug_boot': 0, 'maint': 1}",True,buying,unacc,"{3: 117, 1: 118, 0: 119}",0.6666565342157154,4,False,False
44,44,15,"{'safety': 1, 'persons': 1, 'lug_boot': 1, 'buying': 3}",True,,unacc,{},0.0,4,False,True
45,45,15,"{'safety': 1, 'persons': 1, 'lug_boot': 1, 'buying': 0}",True,maint,acc,"{3: 120, 0: 121, 2: 122}",0.2115211115041278,4,False,False
46,46,15,"{'safety': 1, 'persons': 1, 'lug_boot': 1, 'buying': 1}",True,doors,acc,"{0: 123, 2: 124, 1: 125, 3: 126}",0.10425511428016156,4,False,False
47,47,15,"{'safety': 1, 'persons': 1, 'lug_boot': 1, 'buying': 2}",True,,acc,{},0.0,4,False,True
48,48,16,"{'safety': 1, 'persons': 1, 'lug_boot': 2, 'buying': 2}",True,maint,acc,"{3: 127, 2: 128, 0: 129, 1: 130}",0.44257174184038245,4,False,False
49,49,16,"{'safety': 1, 'persons': 1, 'lug_boot': 2, 'buying': 3}",True,maint,unacc,"{3: 131, 2: 132, 1: 133, 0: 134}",0.5247528799737299,4,False,False
50,50,16,"{'safety': 1, 'persons': 1, 'lug_boot': 2, 'buying': 1}",True,doors,acc,"{0: 135, 2: 136, 3: 137}",0.4454737024614134,4,False,False
51,51,16,"{'safety': 1, 'persons': 1, 'lug_boot': 2, 'buying': 0}",True,maint,good,"{2: 138, 3: 139, 0: 140, 1: 141}",0.4855932504730657,4,False,False
52,52,17,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 3}",True,,unacc,{},0.0,4,False,True
53,53,17,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 0}",True,doors,acc,"{0: 142, 2: 143, 3: 144}",0.2115211115041278,4,False,False
54,54,17,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 1}",True,doors,unacc,"{0: 145, 1: 146}",0.9999800684314307,4,False,False
55,55,17,"{'safety': 2, 'persons': 2, 'buying': 2, 'maint': 2}",True,,acc,{},0.0,4,False,True
56,56,18,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 2}",True,doors,acc,"{0: 147, 2: 148, 3: 149, 1: 150}",0.16606303805099085,4,False,False
57,57,18,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 3}",True,,acc,{},0.0,4,False,True
58,58,18,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 1}",True,lug_boot,acc,"{0: 151, 1: 152, 2: 153}",0.4206154335978385,4,False,False
59,59,18,"{'safety': 2, 'persons': 2, 'buying': 1, 'maint': 0}",True,,vgood,{},0.0,4,False,True
60,60,19,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 2}",True,,unacc,{},0.0,4,False,True
61,61,19,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 3}",True,,unacc,{},0.0,4,False,True
62,62,19,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 0}",True,lug_boot,acc,"{0: 154, 1: 155, 2: 156}",0.19570605687163603,4,False,False
63,63,19,"{'safety': 2, 'persons': 2, 'buying': 3, 'maint': 1}",True,,acc,{},0.0,4,False,True
64,64,20,"{'safety': 2, 'persons': 2, 'buying': 0, 'maint': 1}",True,lug_boot,vgood,"{0: 157, 1: 158}",0.5880238480675821,4,False,False
65,65,20,"{'safety': 2, 'persons': 2, 'buying': 0, 'maint': 3}",True,,acc,{},0.0,4,False,True
66,66,20,"{'safety': 2, 'persons': 2, 'buying': 0, 'maint': 2}",True,lug_boot,vgood,"{0: 159, 2: 160, 1: 161}",0.4454737024614135,4,False,False
67,67,20,"{'safety': 2, 'persons': 2, 'buying': 0, 'maint': 0}",True,lug_boot,vgood,"{1: 162, 2: 163, 0: 164}",0.6379659057318251,4,False,False
68,68,21,"{'safety': 2, 'persons': 1, 'buying': 3, 'maint': 3}",True,,unacc,{},0.0,4,False,True
69,69,21,"{'safety': 2, 'persons': 1, 'buying': 3, 'maint': 2}",True,,unacc,{},0.0,4,False,True
70,70,21,"{'safety': 2, 'persons': 1, 'buying': 3, 'maint': 1}",True,,acc,{},0.0,4,False,True
71,71,21,"{'safety': 2, 'persons': 1, 'buying': 3, 'maint': 0}",True,,acc,{},0.0,4,False,True
72,72,22,"{'safety': 2, 'persons': 1, 'buying': 2, 'maint': 3}",True,,unacc,{},0.0,4,False,True
73,73,22,"{'safety': 2, 'persons': 1, 'buying': 2, 'maint': 0}",True,,acc,{},0.0,4,False,True
74,74,22,"{'safety': 2, 'persons': 1, 'buying': 2, 'maint': 1}",True,,acc,{},0.0,4,False,True
75,75,22,"{'safety': 2, 'persons': 1, 'buying': 2, 'maint': 2}",True,,acc,{},0.0,4,False,True
76,76,23,"{'safety': 2, 'persons': 1, 'buying': 1, 'maint': 2}",True,,acc,{},0.0,4,False,True
77,77,23,"{'safety': 2, 'persons': 1, 'buying': 1, 'maint': 3}",True,,acc,{},0.0,4,False,True
