,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220,44,28,318.55555555555554,9713.197530864196,1
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38,1,0,47.55,91.20249999999994,1
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92,1,0,47.55,1975.8025000000002,1
14,350.0,64.0,64.0,0.0,1.0,4.0,10,1,0,47.55,1410.0024999999998,1
16,167.0,524.0,2000.0,8.0,4.0,15.0,19,1,0,47.55,815.1024999999998,1
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120,44,28,318.55555555555554,39424.3086419753,1
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33,1,0,47.55,211.70249999999993,1
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76,44,28,318.55555555555554,58833.19753086419,1
24,320.0,128.0,6000.0,0.0,1.0,12.0,23,1,0,47.55,602.7024999999999,1
25,320.0,512.0,2000.0,4.0,1.0,3.0,69,1,0,47.55,460.10250000000013,1
28,320.0,512.0,5000.0,4.0,1.0,5.0,77,1,0,47.55,867.3025000000001,1
29,320.0,256.0,5000.0,4.0,1.0,6.0,27,1,0,47.55,422.3024999999999,1
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32,44,28,318.55555555555554,82114.08641975308,1
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208,44,28,318.55555555555554,12222.530864197528,1
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40,1,0,47.55,57.002499999999955,1
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52,1,0,47.55,19.802500000000027,1
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72,1,0,47.55,597.8025000000001,1
49,200.0,512.0,8000.0,8.0,1.0,8.0,62,1,0,47.55,208.8025000000001,1
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,1,0,47.55,554.6024999999998,1
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138,1,0,47.55,8181.2025,1
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,1,0,47.55,1263.8024999999998,1
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144,1,0,47.55,9302.6025,1
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32,1,0,47.55,241.80249999999992,1
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64,1,0,47.55,270.6025000000001,1
72,175.0,256.0,2000.0,0.0,3.0,24.0,22,1,0,47.55,652.8024999999999,1
73,300.0,768.0,3000.0,0.0,6.0,24.0,36,44,28,318.55555555555554,79837.64197530864,1
77,300.0,384.0,12000.0,6.0,1.0,24.0,53,1,0,47.55,29.702500000000033,1
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16,1,0,47.55,995.4024999999998,1
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38,1,0,47.55,91.20249999999994,1
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141,1,0,47.55,8732.9025,1
92,140.0,2000.0,4000.0,8.0,1.0,20.0,22,1,0,47.55,652.8024999999999,1
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237,44,28,318.55555555555554,6651.308641975306,1
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465,44,28,318.55555555555554,21445.97530864198,1
