,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220,44,28,318.55555555555554,9713.197530864196,1
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38,37,20,139.0,10201.0,1
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92,37,20,139.0,2209.0,1
14,350.0,64.0,64.0,0.0,1.0,4.0,10,37,20,139.0,16641.0,1
16,167.0,524.0,2000.0,8.0,4.0,15.0,19,37,20,139.0,14400.0,1
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120,44,28,318.55555555555554,39424.3086419753,1
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33,37,20,139.0,11236.0,1
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76,44,28,318.55555555555554,58833.19753086419,1
24,320.0,128.0,6000.0,0.0,1.0,12.0,23,37,20,139.0,13456.0,1
25,320.0,512.0,2000.0,4.0,1.0,3.0,69,37,20,139.0,4900.0,1
28,320.0,512.0,5000.0,4.0,1.0,5.0,77,37,20,139.0,3844.0,1
29,320.0,256.0,5000.0,4.0,1.0,6.0,27,37,20,139.0,12544.0,1
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32,44,28,318.55555555555554,82114.08641975308,1
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208,44,28,318.55555555555554,12222.530864197528,1
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40,37,20,139.0,9801.0,1
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52,37,20,139.0,7569.0,1
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72,37,20,139.0,4489.0,1
49,200.0,512.0,8000.0,8.0,1.0,8.0,62,37,20,139.0,5929.0,1
51,700.0,256.0,2000.0,0.0,1.0,1.0,24,37,20,139.0,13225.0,1
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138,37,20,139.0,1.0,1
57,800.0,256.0,8000.0,0.0,1.0,4.0,12,37,20,139.0,16129.0,1
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144,37,20,139.0,25.0,1
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32,37,20,139.0,11449.0,1
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64,37,20,139.0,5625.0,1
72,175.0,256.0,2000.0,0.0,3.0,24.0,22,37,20,139.0,13689.0,1
73,300.0,768.0,3000.0,0.0,6.0,24.0,36,44,28,318.55555555555554,79837.64197530864,1
77,300.0,384.0,12000.0,6.0,1.0,24.0,53,37,20,139.0,7396.0,1
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16,37,20,139.0,15129.0,1
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38,37,20,139.0,10201.0,1
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141,37,20,139.0,4.0,1
92,140.0,2000.0,4000.0,8.0,1.0,20.0,22,37,20,139.0,13689.0,1
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237,44,28,318.55555555555554,6651.308641975306,1
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465,44,28,318.55555555555554,21445.97530864198,1
99,480.0,96.0,512.0,0.0,1.0,1.0,6,37,20,139.0,17689.0,1
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24,37,20,139.0,13225.0,1
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13,37,20,139.0,15876.0,1
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32,37,20,139.0,11449.0,1
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32,37,20,139.0,11449.0,1
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50,37,20,139.0,7921.0,1
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24,37,20,139.0,13225.0,1
121,17.0,4000.0,16000.0,32.0,6.0,12.0,133,44,28,318.55555555555554,34430.86419753086,1
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45,37,20,139.0,8836.0,1
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56,37,20,139.0,6889.0,1
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136,37,20,139.0,9.0,1
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16,37,20,139.0,15129.0,1
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45,37,20,139.0,8836.0,1
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54,44,28,318.55555555555554,69989.64197530864,1
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65,44,28,318.55555555555554,64290.41975308641,1
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50,37,20,139.0,7921.0,1
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40,37,20,139.0,9801.0,1
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62,37,20,139.0,5929.0,1
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66,37,20,139.0,5329.0,1
