,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
17,143.0,512.0,5000.0,0.0,7.0,32.0,28
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
15,200.0,512.0,16000.0,0.0,4.0,32.0,35
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
7,23.0,16000.0,32000.0,64.0,16.0,32.0,489
181,240.0,512.0,1000.0,8.0,1.0,3.0,6
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62
76,300.0,768.0,4500.0,0.0,1.0,24.0,45
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34
61,800.0,256.0,8000.0,0.0,1.0,4.0,22
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38
79,180.0,768.0,12000.0,6.0,1.0,31.0,84
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106
31,25.0,1310.0,2620.0,131.0,12.0,24.0,368
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
163,56.0,4000.0,12000.0,0.0,1.0,8.0,42
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
50,700.0,384.0,8000.0,0.0,1.0,1.0,24
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
66,90.0,256.0,1000.0,0.0,3.0,10.0,17
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
36,50.0,500.0,2000.0,8.0,1.0,4.0,20
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60
101,115.0,512.0,6000.0,16.0,1.0,6.0,45
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26
59,800.0,256.0,8000.0,0.0,1.0,4.0,20
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93
67,105.0,256.0,2000.0,0.0,3.0,10.0,26
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
137,150.0,512.0,4000.0,0.0,8.0,128.0,30
