,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,CACH,116.02409638554217,"{'aboveMean': 1, 'belowMean': 2}",20896.865533562825,0,False,False
1,1,1,0,{'CACH': 'aboveMean'},True,CHMIN,274.3333333333333,"{'aboveMean': 3, 'belowMean': 4}",45639.74139433551,1,False,False
2,2,2,0,{'CACH': 'belowMean'},True,CHMIN,39.69642857142857,"{'belowMean': 5, 'aboveMean': 6}",509.9169096209913,1,False,False
3,3,3,1,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean'}",True,CHMAX,374.5882352941176,"{'aboveMean': 7, 'belowMean': 8}",65371.051820728295,2,False,False
4,4,4,1,"{'CACH': 'aboveMean', 'CHMIN': 'belowMean'}",True,MMAX,103.9,"{'aboveMean': 9, 'belowMean': 10}",300.7714285714286,2,False,False
5,5,5,2,"{'CACH': 'belowMean', 'CHMIN': 'belowMean'}",True,MMAX,34.10204081632653,"{'belowMean': 11, 'aboveMean': 12}",197.16935611453889,2,False,False
6,6,6,2,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean'}",True,CHMAX,78.85714285714286,"{'aboveMean': 13, 'belowMean': 14}",1286.5238095238096,2,False,False
7,7,7,3,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMAX,411.6428571428572,"{'aboveMean': 15, 'belowMean': 16}",71146.73214285714,3,False,False
8,8,8,3,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,MMAX,201.66666666666663,{'aboveMean': 17},1913.5555555555557,3,False,False
9,9,9,4,"{'CACH': 'aboveMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMAX,123.57142857142856,"{'belowMean': 18, 'aboveMean': 19}",320.07142857142856,3,False,False
10,10,10,4,"{'CACH': 'aboveMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean'}",True,CHMAX,58.0,"{'aboveMean': 20, 'belowMean': 21}",42.66666666666666,3,False,False
11,11,11,5,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'belowMean'}",True,MYCT,31.58139534883721,"{'aboveMean': 22, 'belowMean': 23}",188.4563443492452,3,False,False
12,12,12,5,"{'CACH': 'belowMean', 'CHMIN': 'belowMean', 'MMAX': 'aboveMean'}",True,MMIN,52.16666666666666,"{'belowMean': 24, 'aboveMean': 25}",37.86666666666667,3,False,False
13,13,13,6,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MYCT,40.66666666666666,"{'belowMean': 26, 'aboveMean': 27}",32.666666666666664,3,True,True
14,14,14,6,"{'CACH': 'belowMean', 'CHMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,MMIN,107.5,"{'aboveMean': 28, 'belowMean': 29}",1712.5,3,False,False
15,15,15,7,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'aboveMean'}",True,MMIN,447.75,"{'aboveMean': 30, 'belowMean': 31}",76738.89393939395,4,False,False
16,16,16,7,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'belowMean'}",True,MMIN,195.0,"{'belowMean': 32, 'aboveMean': 33}",0.0,4,False,False
17,17,17,8,"{'CACH': 'aboveMean', 'CHMIN': 'aboveMean', 'CHMAX': 'belowMean', 'MMAX': 'aboveMean'}",True,MMIN,201.66666666666663,{'aboveMean': 34},1913.5555555555557,4,False,False
