,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,CHMAX,80.44047619047619,"{'belowMean': 1, 'aboveMean': 2}",5500.287896825397,0,False,False
1,1,0,{'CHMAX': 'belowMean'},True,CACH,41.61666666666667,"{'belowMean': 3, 'aboveMean': 4}",451.10304487179485,1,False,False
2,2,0,{'CHMAX': 'aboveMean'},True,CACH,177.5,"{'aboveMean': 5, 'belowMean': 6}",14390.333333333334,1,False,False
3,3,1,"{'CHMAX': 'belowMean', 'CACH': 'belowMean'}",True,MMAX,34.38461538461539,"{'belowMean': 7, 'aboveMean': 8}",305.46283045120254,2,False,False
4,4,1,"{'CHMAX': 'belowMean', 'CACH': 'aboveMean'}",True,MMAX,88.625,"{'aboveMean': 9, 'belowMean': 10}",270.46875,2,False,False
5,5,2,"{'CHMAX': 'aboveMean', 'CACH': 'aboveMean'}",True,MMAX,208.5,"{'belowMean': 11, 'aboveMean': 12}",16735.916666666668,2,False,False
6,6,2,"{'CHMAX': 'aboveMean', 'CACH': 'belowMean'}",True,MMAX,84.5,"{'belowMean': 13, 'aboveMean': 14}",2040.888888888889,2,False,False
7,7,3,"{'CHMAX': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean'}",True,MYCT,29.813953488372093,"{'aboveMean': 15, 'belowMean': 16}",323.8268901640995,3,False,False
8,8,3,"{'CHMAX': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,MMIN,56.22222222222222,"{'belowMean': 17, 'aboveMean': 18}",123.04761904761904,3,False,False
9,9,4,"{'CHMAX': 'belowMean', 'CACH': 'aboveMean', 'MMAX': 'aboveMean'}",True,CHMIN,110.5,"{'belowMean': 19, 'aboveMean': 20}",212.0,3,False,False
10,10,4,"{'CHMAX': 'belowMean', 'CACH': 'aboveMean', 'MMAX': 'belowMean'}",True,MYCT,66.75,"{'belowMean': 21, 'aboveMean': 22}",272.66666666666663,3,False,False
11,11,5,"{'CHMAX': 'aboveMean', 'CACH': 'aboveMean', 'MMAX': 'belowMean'}",True,MMIN,153.16666666666666,"{'belowMean': 23, 'aboveMean': 24}",8140.555555555556,3,False,False
12,12,5,"{'CHMAX': 'aboveMean', 'CACH': 'aboveMean', 'MMAX': 'aboveMean'}",True,MMIN,236.16666666666666,"{'aboveMean': 25, 'belowMean': 26}",19300.38888888889,3,False,False
13,13,6,"{'CHMAX': 'aboveMean', 'CACH': 'belowMean', 'MMAX': 'belowMean'}",True,CHMIN,57.666666666666664,"{'belowMean': 27, 'aboveMean': 28}",308.1666666666667,3,False,False
14,14,6,"{'CHMAX': 'aboveMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMIN,111.33333333333333,"{'belowMean': 29, 'aboveMean': 30}",840.1666666666666,3,False,False
15,15,7,"{'CHMAX': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'aboveMean'}",True,CHMIN,26.59090909090909,{'belowMean': 31},356.6053719008264,4,False,False
16,16,7,"{'CHMAX': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'belowMean'}",True,MMIN,33.19047619047619,"{'belowMean': 32, 'aboveMean': 33}",289.45476190476194,4,False,False
