,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144
28,320.0,512.0,5000.0,4.0,1.0,5.0,77
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24
124,800.0,768.0,2000.0,0.0,0.0,0.0,20
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
47,810.0,1000.0,5000.0,0.0,1.0,1.0,20
201,180.0,512.0,4000.0,0.0,1.0,3.0,14
24,320.0,128.0,6000.0,0.0,1.0,12.0,23
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32
48,320.0,512.0,8000.0,4.0,1.0,5.0,40
22,143.0,2300.0,6200.0,0.0,6.0,64.0,61
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11
162,56.0,4000.0,8000.0,0.0,1.0,8.0,34
3,29.0,8000.0,32000.0,32.0,8.0,32.0,172
57,800.0,256.0,8000.0,0.0,1.0,4.0,12
20,143.0,1500.0,6300.0,0.0,5.0,32.0,30
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93
36,50.0,500.0,2000.0,8.0,1.0,4.0,20
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
