,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
182,240.0,512.0,2000.0,8.0,1.0,5.0,11
164,56.0,4000.0,16000.0,0.0,1.0,8.0,46
46,810.0,512.0,512.0,8.0,1.0,1.0,18
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
181,240.0,512.0,1000.0,8.0,1.0,3.0,6
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248
74,300.0,768.0,3000.0,6.0,6.0,24.0,44
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105
146,60.0,4000.0,16000.0,64.0,5.0,8.0,93
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26
70,75.0,2000.0,8000.0,8.0,3.0,24.0,62
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
170,200.0,1000.0,2000.0,0.0,1.0,2.0,25
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
196,50.0,2000.0,32000.0,112.0,52.0,104.0,307
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49
9,23.0,32000.0,64000.0,128.0,32.0,64.0,1144
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
159,56.0,1000.0,4000.0,0.0,1.0,6.0,17
58,800.0,256.0,8000.0,0.0,1.0,4.0,14
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
117,225.0,1000.0,4000.0,2.0,3.0,6.0,24
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11
207,480.0,512.0,8000.0,32.0,0.0,0.0,67
28,320.0,512.0,5000.0,4.0,1.0,5.0,77
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32
139,115.0,2000.0,4000.0,2.0,1.0,5.0,40
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
204,124.0,1000.0,8000.0,0.0,1.0,8.0,42
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
160,56.0,2000.0,6000.0,0.0,1.0,8.0,21
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
67,105.0,256.0,2000.0,0.0,3.0,10.0,26
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
11,400.0,512.0,3500.0,4.0,1.0,6.0,40
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
177,160.0,512.0,2000.0,2.0,3.0,8.0,32
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
57,800.0,256.0,8000.0,0.0,1.0,4.0,12
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
119,25.0,2000.0,12000.0,16.0,3.0,5.0,66
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70
105,400.0,2000.0,4000.0,0.0,1.0,1.0,32
10,400.0,1000.0,3000.0,0.0,1.0,2.0,38
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
147,50.0,4000.0,16000.0,64.0,5.0,10.0,111
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
144,60.0,4000.0,16000.0,32.0,1.0,6.0,86
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116
15,200.0,512.0,16000.0,0.0,4.0,32.0,35
59,800.0,256.0,8000.0,0.0,1.0,4.0,20
90,140.0,2000.0,32000.0,32.0,1.0,54.0,141
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
