,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,CHMIN,116.79761904761905,"{'belowMean': 1, 'aboveMean': 2}",18084.62368885176,0,False,False
1,1,0,{'CHMIN': 'belowMean'},True,CACH,53.31578947368421,"{'belowMean': 3, 'aboveMean': 4}",1011.5438596491229,1,False,False
2,2,0,{'CHMIN': 'aboveMean'},True,MMAX,250.8148148148148,"{'belowMean': 5, 'aboveMean': 6}",43433.06995884773,1,False,False
3,3,1,"{'CHMIN': 'belowMean', 'CACH': 'belowMean'}",True,MMAX,36.333333333333336,"{'belowMean': 7, 'aboveMean': 8}",353.41246612466125,2,False,False
4,4,1,"{'CHMIN': 'belowMean', 'CACH': 'aboveMean'}",True,MMAX,117.0,"{'belowMean': 9, 'aboveMean': 10}",1867.552380952381,2,False,False
5,5,2,"{'CHMIN': 'aboveMean', 'MMAX': 'belowMean'}",True,CACH,121.11111111111111,"{'belowMean': 11, 'aboveMean': 12}",8058.814814814814,2,False,False
6,6,2,"{'CHMIN': 'aboveMean', 'MMAX': 'aboveMean'}",True,CHMAX,315.6666666666667,"{'aboveMean': 13, 'belowMean': 14}",44391.105339105336,2,False,False
7,7,3,"{'CHMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean'}",True,MYCT,32.75609756097561,"{'belowMean': 15, 'aboveMean': 16}",227.8769401330377,3,False,False
8,8,3,"{'CHMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,CHMAX,73.0,"{'belowMean': 17, 'aboveMean': 18}",1138.6666666666667,3,False,False
9,9,4,"{'CHMIN': 'belowMean', 'CACH': 'aboveMean', 'MMAX': 'belowMean'}",True,CHMAX,77.4,"{'belowMean': 19, 'aboveMean': 20}",593.3333333333333,3,False,False
10,10,4,"{'CHMIN': 'belowMean', 'CACH': 'aboveMean', 'MMAX': 'aboveMean'}",True,CHMAX,145.28571428571428,"{'belowMean': 21, 'aboveMean': 22}",1163.0285714285715,3,False,False
11,11,5,"{'CHMIN': 'aboveMean', 'MMAX': 'belowMean', 'CACH': 'belowMean'}",True,CHMAX,58.0,"{'belowMean': 23, 'aboveMean': 24}",864.0,3,False,False
12,12,5,"{'CHMIN': 'aboveMean', 'MMAX': 'belowMean', 'CACH': 'aboveMean'}",True,MMIN,152.66666666666666,"{'belowMean': 25, 'aboveMean': 26}",8286.222222222223,3,False,False
