,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
58,800.0,256.0,8000.0,0.0,1.0,4.0,14
180,160.0,2000.0,8000.0,32.0,1.0,13.0,109
91,140.0,2000.0,32000.0,32.0,1.0,54.0,189
24,320.0,128.0,6000.0,0.0,1.0,12.0,23
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32
108,900.0,512.0,1000.0,0.0,1.0,2.0,11
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33
204,124.0,1000.0,8000.0,0.0,1.0,8.0,42
53,200.0,1000.0,8000.0,0.0,1.0,2.0,36
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
43,50.0,2000.0,16000.0,8.0,3.0,6.0,60
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45
129,50.0,2000.0,16000.0,24.0,1.0,6.0,80
75,300.0,768.0,12000.0,6.0,6.0,24.0,50
113,225.0,2000.0,4000.0,8.0,3.0,6.0,34
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150
76,300.0,768.0,4500.0,0.0,1.0,24.0,45
87,140.0,2000.0,4000.0,8.0,1.0,20.0,35
152,35.0,8000.0,32000.0,64.0,8.0,24.0,370
28,320.0,512.0,5000.0,4.0,1.0,5.0,77
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50
46,810.0,512.0,512.0,8.0,1.0,1.0,18
153,38.0,16000.0,32000.0,128.0,16.0,32.0,510
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27
35,64.0,5240.0,20970.0,30.0,12.0,24.0,208
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
