,Unnamed: 0,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,0,-1,{},True,MMIN,89.67469879518072,"{'aboveMean': 1, 'belowMean': 2}",8031.917693801522,0,False,False
1,1,1,0,{'MMIN': 'aboveMean'},True,CHMAX,220.73684210526315,"{'aboveMean': 3, 'belowMean': 4}",16004.22009569378,1,False,False
2,2,2,0,{'MMIN': 'belowMean'},True,CACH,50.765625,"{'aboveMean': 5, 'belowMean': 6}",2163.7535807291665,1,True,True
3,3,3,1,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMAX,301.27272727272725,"{'aboveMean': 7, 'belowMean': 8}",23998.218181818185,2,False,False
4,4,4,1,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,CACH,110.0,"{'aboveMean': 9, 'belowMean': 10}",458.98333333333335,2,False,False
5,5,5,2,"{'MMIN': 'belowMean', 'CACH': 'aboveMean'}",True,CHMAX,101.375,"{'belowMean': 11, 'aboveMean': 12}",5483.984375,2,True,True
6,6,6,2,"{'MMIN': 'belowMean', 'CACH': 'belowMean'}",True,MMAX,33.895833333333336,"{'aboveMean': 13, 'belowMean': 14}",307.2564484126984,2,False,False
7,7,7,3,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'aboveMean'}",True,CACH,319.4,{'aboveMean': 15},26398.04,3,False,False
8,8,8,3,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'belowMean'}",True,,120.0,{},0.0,3,False,True
9,9,9,4,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CACH': 'aboveMean'}",True,CHMIN,114.6,"{'belowMean': 16, 'aboveMean': 17}",407.2,3,False,False
10,10,10,4,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CACH': 'belowMean'}",True,CHMIN,102.33333333333331,{'aboveMean': 18},544.2222222222223,3,False,False
11,11,11,5,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'belowMean'}",True,MMAX,55.875,"{'belowMean': 19, 'aboveMean': 20}",363.6875,3,False,False
12,12,12,5,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'aboveMean'}",True,CHMIN,146.875,"{'aboveMean': 21, 'belowMean': 22}",10366.85,3,True,True
13,13,13,6,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,MYCT,54.333333333333336,"{'aboveMean': 23, 'belowMean': 24}",196.80000000000004,3,False,False
