,nodeID,parentNode,dataSetFilters,evaluated,nodeFeature,nodePrediction,childrenNodes,gainOrMSE,treeLevel,pruned,isLeaf
0,0,-1,{},True,MMIN,90.6904761904762,"{'belowMean': 1, 'aboveMean': 2}",5490.526288227901,0,False,False
1,1,0,{'MMIN': 'belowMean'},True,CACH,49.53225806451613,"{'belowMean': 3, 'aboveMean': 4}",1032.659677419355,1,False,False
2,2,0,{'MMIN': 'aboveMean'},True,CHMAX,206.6818181818182,"{'aboveMean': 5, 'belowMean': 6}",11473.307575757575,1,False,False
3,3,1,"{'MMIN': 'belowMean', 'CACH': 'belowMean'}",True,MMAX,36.0,"{'belowMean': 7, 'aboveMean': 8}",286.118006993007,2,False,False
4,4,1,"{'MMIN': 'belowMean', 'CACH': 'aboveMean'}",True,CHMAX,119.9,"{'aboveMean': 9, 'belowMean': 10}",2288.6,2,False,False
5,5,2,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMAX,263.6666666666667,"{'belowMean': 11, 'aboveMean': 12}",9045.962962962962,2,False,False
6,6,2,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean'}",True,CACH,138.3,"{'aboveMean': 13, 'belowMean': 14}",2364.5875,2,False,False
7,7,3,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean'}",True,MYCT,30.59090909090909,"{'belowMean': 15, 'aboveMean': 16}",202.1469597940186,3,False,False
8,8,3,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean'}",True,MYCT,65.75,"{'belowMean': 17, 'aboveMean': 18}",295.25,3,False,False
9,9,4,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'aboveMean'}",True,MMAX,162.2,"{'belowMean': 19, 'aboveMean': 20}",3084.1,3,False,False
10,10,4,"{'MMIN': 'belowMean', 'CACH': 'aboveMean', 'CHMAX': 'belowMean'}",True,MYCT,77.6,"{'belowMean': 21, 'aboveMean': 22}",435.35,3,False,False
11,11,5,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'belowMean'}",True,CACH,100.0,"{'aboveMean': 23, 'belowMean': 24}",2.6666666666666665,3,False,False
12,12,5,"{'MMIN': 'aboveMean', 'CHMAX': 'aboveMean', 'MMAX': 'aboveMean'}",True,CACH,318.22222222222223,"{'aboveMean': 25, 'belowMean': 26}",11631.986111111111,3,False,False
13,13,6,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CACH': 'aboveMean'}",True,CHMIN,156.375,"{'belowMean': 27, 'aboveMean': 28}",2113.15,3,False,False
14,14,6,"{'MMIN': 'aboveMean', 'CHMAX': 'belowMean', 'CACH': 'belowMean'}",True,CHMIN,66.0,"{'belowMean': 29, 'aboveMean': 30}",0.0,3,False,False
15,15,7,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'belowMean'}",True,CHMAX,35.851851851851855,"{'belowMean': 31, 'aboveMean': 32}",229.10956790123456,4,False,False
16,16,7,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'belowMean', 'MYCT': 'aboveMean'}",True,CHMAX,22.235294117647054,"{'belowMean': 33, 'aboveMean': 34}",142.22058823529412,4,False,False
17,17,8,"{'MMIN': 'belowMean', 'CACH': 'belowMean', 'MMAX': 'aboveMean', 'MYCT': 'belowMean'}",True,CHMAX,77.0,"{'aboveMean': 35, 'belowMean': 36}",124.53333333333336,4,False,False
