,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36
36,50.0,500.0,2000.0,8.0,1.0,4.0,20
5,26.0,8000.0,32000.0,64.0,8.0,32.0,318
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16
88,140.0,2000.0,32000.0,32.0,1.0,20.0,134
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138
140,92.0,2000.0,8000.0,32.0,1.0,6.0,62
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
41,50.0,2000.0,16000.0,8.0,3.0,5.0,40
77,300.0,384.0,12000.0,6.0,1.0,24.0,53
116,180.0,2000.0,16000.0,16.0,1.0,6.0,66
143,75.0,4000.0,16000.0,16.0,1.0,6.0,66
176,160.0,512.0,4000.0,2.0,1.0,5.0,30
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
165,38.0,4000.0,8000.0,32.0,16.0,32.0,51
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
135,50.0,2000.0,16000.0,24.0,6.0,16.0,54
83,330.0,1000.0,2000.0,0.0,1.0,2.0,16
30,25.0,1310.0,2620.0,131.0,12.0,24.0,274
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22
172,200.0,2000.0,8000.0,64.0,1.0,5.0,41
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
49,200.0,512.0,8000.0,8.0,1.0,8.0,62
150,40.0,8000.0,16000.0,32.0,8.0,16.0,214
72,175.0,256.0,2000.0,0.0,3.0,24.0,22
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37
11,400.0,512.0,3500.0,4.0,1.0,6.0,40
15,200.0,512.0,16000.0,0.0,4.0,32.0,35
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
51,700.0,256.0,2000.0,0.0,1.0,1.0,24
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18
60,800.0,256.0,8000.0,0.0,1.0,4.0,16
200,180.0,262.0,4000.0,0.0,1.0,3.0,12
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33
76,300.0,768.0,4500.0,0.0,1.0,24.0,45
179,160.0,1000.0,8000.0,16.0,1.0,14.0,60
37,50.0,1000.0,4000.0,8.0,1.0,5.0,29
186,52.0,4000.0,16000.0,32.0,4.0,12.0,130
207,480.0,512.0,8000.0,32.0,0.0,0.0,67
21,143.0,3100.0,6200.0,0.0,5.0,20.0,33
201,180.0,512.0,4000.0,0.0,1.0,3.0,14
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38
101,115.0,512.0,6000.0,16.0,1.0,6.0,45
181,240.0,512.0,1000.0,8.0,1.0,3.0,6
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
173,250.0,512.0,4000.0,0.0,1.0,7.0,25
158,84.0,1000.0,2000.0,0.0,1.0,6.0,12
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40
22,143.0,2300.0,6200.0,0.0,6.0,64.0,61
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50
81,300.0,1000.0,4000.0,8.0,3.0,64.0,38
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
16,167.0,524.0,2000.0,8.0,4.0,15.0,19
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12
14,350.0,64.0,64.0,0.0,1.0,4.0,10
203,180.0,512.0,4000.0,0.0,1.0,3.0,21
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26
45,133.0,1000.0,8000.0,9.0,3.0,12.0,72
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
44,133.0,1000.0,12000.0,9.0,3.0,12.0,72
99,480.0,96.0,512.0,0.0,1.0,1.0,6
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
157,112.0,1000.0,1000.0,0.0,1.0,4.0,8
104,600.0,768.0,2000.0,0.0,1.0,1.0,16
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
25,320.0,512.0,2000.0,4.0,1.0,3.0,69
149,72.0,2000.0,8000.0,16.0,6.0,8.0,105
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
