,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
1,29.0,8000.0,32000.0,32.0,8.0,32.0,269
6,23.0,16000.0,32000.0,64.0,16.0,32.0,367
8,23.0,16000.0,64000.0,64.0,16.0,32.0,636
14,350.0,64.0,64.0,0.0,1.0,4.0,10
23,110.0,3100.0,6200.0,0.0,6.0,64.0,76
24,320.0,128.0,6000.0,0.0,1.0,12.0,23
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
32,50.0,2620.0,10480.0,30.0,12.0,24.0,32
34,56.0,5240.0,20970.0,30.0,12.0,24.0,106
36,50.0,500.0,2000.0,8.0,1.0,4.0,20
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
49,200.0,512.0,8000.0,8.0,1.0,8.0,62
52,140.0,1000.0,16000.0,16.0,1.0,3.0,138
55,110.0,1000.0,12000.0,16.0,1.0,2.0,60
57,800.0,256.0,8000.0,0.0,1.0,4.0,12
58,800.0,256.0,8000.0,0.0,1.0,4.0,14
59,800.0,256.0,8000.0,0.0,1.0,4.0,20
62,125.0,512.0,1000.0,0.0,8.0,20.0,36
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259
67,105.0,256.0,2000.0,0.0,3.0,10.0,26
68,105.0,1000.0,4000.0,0.0,3.0,24.0,32
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
73,300.0,768.0,3000.0,0.0,6.0,24.0,36
76,300.0,768.0,4500.0,0.0,1.0,24.0,45
77,300.0,384.0,12000.0,6.0,1.0,24.0,53
78,300.0,192.0,768.0,6.0,6.0,24.0,36
79,180.0,768.0,12000.0,6.0,1.0,31.0,84
80,330.0,1000.0,3000.0,0.0,2.0,4.0,16
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
93,57.0,4000.0,16000.0,1.0,6.0,12.0,132
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465
98,26.0,8000.0,16000.0,0.0,8.0,16.0,185
101,115.0,512.0,6000.0,16.0,1.0,6.0,45
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11
108,900.0,512.0,1000.0,0.0,1.0,2.0,11
109,900.0,1000.0,4000.0,4.0,1.0,2.0,18
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22
111,900.0,2000.0,4000.0,0.0,3.0,6.0,37
112,225.0,2000.0,4000.0,8.0,3.0,6.0,40
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50
115,185.0,2000.0,16000.0,16.0,1.0,6.0,76
118,25.0,2000.0,12000.0,8.0,1.0,4.0,49
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45
127,50.0,2000.0,8000.0,8.0,1.0,6.0,56
130,50.0,8000.0,16000.0,48.0,1.0,10.0,136
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
134,50.0,2000.0,16000.0,12.0,3.0,16.0,45
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50
141,92.0,2000.0,8000.0,32.0,1.0,6.0,60
142,92.0,2000.0,8000.0,4.0,1.0,6.0,50
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
151,40.0,8000.0,32000.0,64.0,8.0,24.0,277
152,35.0,8000.0,32000.0,64.0,8.0,24.0,370
154,48.0,4000.0,24000.0,32.0,8.0,24.0,214
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
161,56.0,2000.0,8000.0,0.0,1.0,8.0,24
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50
176,160.0,512.0,4000.0,2.0,1.0,5.0,30
180,160.0,2000.0,8000.0,32.0,1.0,13.0,109
183,105.0,2000.0,4000.0,8.0,3.0,8.0,22
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
187,70.0,4000.0,12000.0,8.0,6.0,8.0,75
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248
193,116.0,2000.0,8000.0,32.0,5.0,28.0,70
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114
195,50.0,2000.0,32000.0,48.0,26.0,52.0,208
198,30.0,8000.0,64000.0,96.0,12.0,176.0,915
199,30.0,8000.0,64000.0,128.0,12.0,176.0,1150
201,180.0,512.0,4000.0,0.0,1.0,3.0,14
202,180.0,262.0,4000.0,0.0,1.0,3.0,18
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45
