,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,Class
202,180.0,262.0,4000.0,0.0,1.0,3.0,18
171,200.0,1000.0,4000.0,0.0,1.0,4.0,30
184,105.0,2000.0,6000.0,16.0,6.0,16.0,33
125,50.0,2000.0,4000.0,0.0,3.0,6.0,27
166,38.0,4000.0,8000.0,32.0,16.0,32.0,116
107,900.0,1000.0,1000.0,0.0,1.0,2.0,11
89,140.0,2000.0,8000.0,32.0,1.0,54.0,66
194,50.0,2000.0,32000.0,24.0,6.0,26.0,114
16,167.0,524.0,2000.0,8.0,4.0,15.0,19
114,180.0,2000.0,8000.0,8.0,1.0,6.0,50
205,98.0,1000.0,8000.0,32.0,2.0,8.0,46
49,200.0,512.0,8000.0,8.0,1.0,8.0,62
168,38.0,8000.0,24000.0,160.0,4.0,8.0,140
206,125.0,2000.0,8000.0,0.0,2.0,14.0,52
42,50.0,2000.0,16000.0,8.0,3.0,6.0,52
2,29.0,8000.0,32000.0,32.0,8.0,32.0,220
106,400.0,4000.0,8000.0,0.0,1.0,1.0,32
124,800.0,768.0,2000.0,0.0,0.0,0.0,20
123,1500.0,768.0,2000.0,0.0,0.0,0.0,18
82,300.0,1000.0,16000.0,8.0,2.0,112.0,38
54,110.0,1000.0,4000.0,16.0,1.0,2.0,26
156,30.0,16000.0,32000.0,256.0,16.0,24.0,510
77,300.0,384.0,12000.0,6.0,1.0,24.0,53
175,250.0,1000.0,16000.0,1.0,1.0,8.0,50
33,50.0,2620.0,10480.0,30.0,12.0,24.0,63
94,57.0,4000.0,24000.0,64.0,12.0,16.0,237
108,900.0,512.0,1000.0,0.0,1.0,2.0,11
188,59.0,4000.0,12000.0,32.0,6.0,12.0,113
65,75.0,2000.0,16000.0,128.0,1.0,38.0,259
29,320.0,256.0,5000.0,4.0,1.0,6.0,27
197,50.0,4000.0,32000.0,112.0,52.0,104.0,397
103,1100.0,768.0,2000.0,0.0,1.0,1.0,13
85,140.0,2000.0,4000.0,0.0,3.0,6.0,29
46,810.0,512.0,512.0,8.0,1.0,1.0,18
167,38.0,8000.0,16000.0,64.0,4.0,8.0,100
174,250.0,512.0,4000.0,0.0,4.0,7.0,50
136,50.0,2000.0,16000.0,24.0,6.0,16.0,65
69,105.0,2000.0,4000.0,8.0,3.0,19.0,32
132,100.0,1000.0,8000.0,24.0,2.0,6.0,26
63,75.0,2000.0,8000.0,64.0,1.0,38.0,144
4,29.0,8000.0,16000.0,32.0,8.0,16.0,132
26,320.0,256.0,6000.0,0.0,1.0,6.0,33
131,100.0,1000.0,8000.0,0.0,2.0,6.0,16
100,203.0,1000.0,2000.0,0.0,1.0,5.0,24
19,110.0,5000.0,5000.0,142.0,8.0,64.0,120
180,160.0,2000.0,8000.0,32.0,1.0,13.0,109
96,26.0,16000.0,32000.0,64.0,8.0,24.0,465
39,50.0,1000.0,4000.0,8.0,3.0,5.0,26
64,75.0,2000.0,16000.0,64.0,1.0,38.0,144
27,320.0,256.0,3000.0,4.0,1.0,3.0,27
145,60.0,2000.0,16000.0,64.0,5.0,8.0,74
126,50.0,2000.0,8000.0,8.0,3.0,6.0,45
191,26.0,8000.0,32000.0,64.0,12.0,16.0,248
178,160.0,1000.0,4000.0,8.0,1.0,14.0,38
99,480.0,96.0,512.0,0.0,1.0,1.0,6
17,143.0,512.0,5000.0,0.0,7.0,32.0,28
0,125.0,256.0,6000.0,256.0,16.0,128.0,198
155,38.0,8000.0,32000.0,64.0,8.0,24.0,326
128,50.0,2000.0,16000.0,24.0,1.0,6.0,70
71,75.0,3000.0,8000.0,8.0,3.0,48.0,64
40,50.0,1000.0,8000.0,8.0,3.0,5.0,36
148,72.0,4000.0,16000.0,64.0,8.0,16.0,143
12,60.0,2000.0,8000.0,65.0,1.0,8.0,92
97,26.0,8000.0,32000.0,0.0,8.0,24.0,277
13,50.0,4000.0,16000.0,65.0,1.0,8.0,138
208,480.0,1000.0,4000.0,0.0,0.0,0.0,45
38,50.0,2000.0,8000.0,8.0,1.0,5.0,71
110,900.0,1000.0,4000.0,8.0,1.0,2.0,22
1,29.0,8000.0,32000.0,32.0,8.0,32.0,269
207,480.0,512.0,8000.0,32.0,0.0,0.0,67
78,300.0,192.0,768.0,6.0,6.0,24.0,36
67,105.0,256.0,2000.0,0.0,3.0,10.0,26
18,143.0,1000.0,2000.0,0.0,5.0,16.0,31
120,17.0,4000.0,16000.0,8.0,6.0,12.0,100
169,38.0,4000.0,16000.0,128.0,16.0,32.0,212
122,1500.0,768.0,1000.0,0.0,0.0,0.0,12
102,1100.0,512.0,1500.0,0.0,1.0,1.0,7
138,115.0,2000.0,8000.0,16.0,1.0,3.0,50
84,330.0,1000.0,4000.0,0.0,3.0,6.0,22
200,180.0,262.0,4000.0,0.0,1.0,3.0,12
79,180.0,768.0,12000.0,6.0,1.0,31.0,84
185,105.0,2000.0,8000.0,16.0,4.0,14.0,58
189,59.0,8000.0,16000.0,64.0,12.0,24.0,188
86,140.0,2000.0,4000.0,0.0,4.0,8.0,40
